"","condition_FL_vs_ctl","condition_FS_vs_ctl","condition_LL_vs_ctl","condition_LS_vs_ctl","condition_RL_vs_ctl","condition_RS_vs_ctl","condition_SL_vs_ctl","condition_SS_vs_ctl","condition_YS_vs_ctl"
"BFA1",0.705680709065534,0.0459850427889042,0.77339744796705,-0.209851624347951,0.597697075036527,0.151123128163488,0.843788119433244,0.0123573234165604,0.00822138325371769
"tT(AGU)6",-0.615688300355808,-0.667715314428235,0.03837023440232,0.0335145303907783,-0.271635245107492,-0.240967138778534,-0.0837206112320965,-0.872827041942381,-0.296600239221839
"CAALFM_C100270WA",-0.280183341756521,-0.345903730589126,-0.874806526367283,0.391414567244407,0.0793609221309151,-0.195659985210655,-0.00868796380925965,-1.27029934158592,-0.00884724485187647
"RFC52",NA,NA,NA,NA,NA,NA,NA,NA,NA
"POL93",-0.147696899011903,-1.29843209141427,-0.223340095119586,-0.1529232230374,0.074833206580078,-0.564527996198362,0.0414663678423498,-1.60207607662314,-0.312356060239791
"CAALFM_C100310WA",1.30394788693111,0.601107024730472,2.20397943978372,3.34581754574993,1.34069899040428,2.21139179031274,2.30960435583268,1.89335921624689,0.85814777779893
"CAALFM_C100320WA",0.350654482927865,-0.0580050194009167,0.854878809388192,0.286032142329098,0.526109485963119,0.0985841842466049,0.5761837414096,-0.0871433767354713,-0.0942294965410381
"CAALFM_C100330CA",-0.30008899226741,-0.613139548647925,-0.270295786302061,-0.534254417258769,-0.173141281021363,-0.517359861048247,-0.300562207900979,-0.499117489990279,-0.250219596387235
"HBR1",-1.08988728272123,-0.84356405994181,-1.75868822837031,-1.20272014008655,-0.823906204423363,-1.12460488867709,-1.85560572582983,-1.10486192113463,-0.17944602102737
"HMX1",-2.29842940280445,1.37542920658663,-1.86991715995647,-0.998746370140641,-2.77473913953797,0.210486537814607,-2.28687204662258,0.328902207503567,0.32756674142535
"CDC13",-0.108149072605729,-0.769480138779063,0.130229594619803,-1.61996337644353,-0.2647706907493,-0.431898684079647,0.059056565613146,-1.08996327229053,-0.0532588168761317
"CAALFM_C100370WA",-0.200826486938509,-0.386331176501915,-0.316752717267236,0.719386808096071,-0.190719100936298,-0.393660257223139,-0.533980084383712,-0.507993892904762,0.0521886184522843
"CAALFM_C100380CA",-0.395212372565475,0.276316585525058,-0.316917876283677,0.623969198560437,-0.0107949891010171,0.270746501494606,-0.119055808081414,0.691522394860811,0.18015828029711
