"","condition_RL3_vs_ctl"
"CAALFM_C100020CA",0.243135948376095
"CAALFM_C100030CA",1.24324906653853
"CTA2",4.83532974177028
"TUP1",1.04019399147355
"MVD",1.13842839889133
"RCA1",-0.371966486789241
"CAALFM_C100090WA",-0.277724668926364
"CAALFM_C100100CA",-0.411330171592322
"CCT8",-0.324753065251949
"TRP1",-0.220636607122784
"VPS53",0.765365917816712
"KEL1",0.874738011457267
"RIM8",-0.807333741469327
"CAALFM_C100160CA",-3.18266521850688
"LEU4",-1.21792453659838
"RPL16A",-0.667611480092251
"CAALFM_C100190CA",-3.3519305988933
"CAALFM_C100200CA",0.449275570962184
"CAALFM_C100210CA",0.752277398460826
"PHR2",-4.46315181737934
"BFA1",0.168548591255373
"tT(AGU)6",-0.161893776121579
"CAALFM_C100270WA",-0.0781389483542139
"RFC52",NA
"POL93",0.0171046604388408
"CAALFM_C100310WA",3.09085476711044
"CAALFM_C100320WA",1.07581567282172
"CAALFM_C100330CA",0.0007317092454983
"HBR1",-0.802820837435083
"HMX1",-0.896916796881827
"CDC13",-0.709287555036263
"CAALFM_C100370WA",-0.368962082608612
"CAALFM_C100380CA",0.0976951591531457
"ENA2",2.44939622701851
"SVF1",-1.15319901747333
"CAALFM_C100410CA",4.45009652508658
"CAALFM_C100420WA",3.93967508783916
"CAALFM_C100430WA",0.300632600138831
"UBP6",-0.0863904845941552
"CAALFM_C100450CA",0.585124733839682
"CAALFM_C100460WA",0.506232545953301
"CAALFM_C100470CA",-0.387385441416138
"GCN20",-0.977238158769304
"TTR1",-0.458609374442401
"GLO1",2.25197242195992
"CAALFM_C100510WA",-0.562607145535232
"CAALFM_C100520WA",-0.216180296543665
"CAALFM_C100530CA",1.76597132620899
"CAALFM_C100540CA",-1.35423524766995
"CIS2",-0.411171072289116
"CNS1",-1.23875603587257
"CAALFM_C100570CA",-0.12977503130664
"CAALFM_C100580WA",2.11347745316413
"TUF1",-0.608682218045406
"APC1",0.233496642970241
"PSD1",0.166588034119291
"MOB2",0.00898391859163396
"CAALFM_C100630WA",1.52530398738789
"RPO41",-1.38870531850635
"SNF7",-0.198414430982402
"CAALFM_C100660CA",-0.0291824918927819
"UGA32",3.08891967132533
"ASM3",0.132676163392295
"RIC1",2.58772908846938
"CAALFM_C100700WA",-0.667946467849284
"TUB2",-0.157674646619867
"tP(UGG)3",0.533232696564412
"CMP1",0.0330259057898347
"SPE1",-0.664683533143764
"VPS27",1.26799247186265
"CAALFM_C100760WA",0.694201003325017
"ROT1",-1.32080375410199
"HGC1",2.51057851383808
"CAALFM_C100790WA",-0.606851685609746
"ERG2",0.452822450348458
"CAALFM_C100810WA",0.332936402175554
"CAALFM_C100820WA",0.722336165803833
"CAALFM_C100830WA",0.929811922134108
"NRM1",-0.494042398817135
"IHD2",1.25609757877157
"CAALFM_C100860WA",0.10129034387566
"LRO1",0.358452898115258
"CAALFM_C100880WA",4.66439079964052
"CAALFM_C100890WA",0.722839150865774
"RRS1",-1.94311143863408
"CAALFM_C100910WA",0.605420258339693
"CAALFM_C100920WA",0.93456814302658
"SIN3",-0.59528217255103
"RPB11",-0.170455976327322
"CDC5",0.145380354312038
"SET1",-0.367309770693437
"CAALFM_C100970WA",0.520486426448244
"CAALFM_C100980WA",0.0529372815105919
"NMA111",-1.91056600543038
"CAALFM_C101000CA",0.343513277615588
"CAALFM_C101010WA",-0.558471046686824
"tA(AGC)4",0.0465176945102437
"HMT1",-2.37051973202887
"CAALFM_C101040WA",-0.0536589128922764
"CAALFM_C101050CA",1.11418762516449
"MBF1",0.178514048963458
"CAALFM_C101070CA",-0.281189237530524
"CAALFM_C101080WA",-0.0657498956374753
"CAALFM_C101090CA",-0.30072561045291
"CCH1",0.180009331352664
"ZPR1",-2.21160112253607
"CAALFM_C101130WA",-1.25668970821841
"CAALFM_C101140CA",1.53337657678438
"CAALFM_C101150CA",-1.23356574008756
"CAALFM_C101160CA",-1.48439049077627
"ZCF17",-0.893628650510423
"CAALFM_C101180CA",1.10577928247348
"CAALFM_C101190CA",1.18853346812334
"STB5",1.51313115239512
"CAALFM_C101210WA",-0.770465957164492
"CAALFM_C101220CA",-0.570795839089382
"IFD3",2.74513160319987
"CAALFM_C101250WA",1.35654704767265
"TRS20",0.697000507640109
"CTA9",0.685397150600656
"MED22",0.517060485970239
"CAALFM_C101290CA",1.21253972385967
"CAALFM_C101300WA",0.844484487078423
"MRS7",-0.509455246303652
"DUT1",-0.516585787423672
"CAALFM_C101340CA",1.52930144471751
"TIF",-1.149187667166
"CAALFM_C101360CA",2.93214246286
"RPS21B",-0.258062103223555
"TRM2",-1.78198038687975
"CAALFM_C101390CA",0.197668712880368
"CAALFM_C101400CA",1.09285396021935
"CRL1",-0.0293899493431053
"POX18",1.46002315171676
"ABC1",-1.13516289212077
"CAALFM_C101460WA",0.802148611964042
"CAALFM_C101470WA",-1.1959086391124
"RPS21",-0.558447582954495
"CAALFM_C101490WA",4.14432838883931
"CAALFM_C101510WA",-0.467543797416258
"SOD2",2.7421631360184
"CAALFM_C101530CA",-1.10999183628018
"CAALFM_C101540WA",1.01053309797777
"VPS17",0.441079477135948
"SIZ1",-0.495529787883564
"RPB7",-0.192041753435037
"CAALFM_C101580WA",-0.321168109600273
"CAALFM_C101590CA",-0.842461237976926
"MRP20",-0.523536587272871
"CAALFM_C101610CA",1.73930742601912
"CAALFM_C101620CA",1.60065996657151
"CAALFM_C101630WA",0.326650781586097
"RPS42",-1.5588513738108
"ISN1",1.08018170492513
"tS(UGA)1",0.0285579457928631
"ESP1",0.34856527473235
