"","condition_YS3_vs_ctl"
"CAALFM_C100020CA",-0.926056102470412
"CAALFM_C100030CA",0.634224219953348
"CTA2",2.05079985710832
"TUP1",0.332784429785774
"MVD",0.694781532978788
"RCA1",-0.413031286548464
"CAALFM_C100090WA",0.0180135577628755
"CAALFM_C100100CA",-0.40224686454897
"CCT8",-0.322980156760114
"TRP1",-0.374916986906548
"VPS53",0.446262397702604
"KEL1",0.530421121279467
"RIM8",-0.85859692928184
"CAALFM_C100160CA",-1.38366760719127
"LEU4",-0.830907433858092
"RPL16A",0.109816424237288
"CAALFM_C100190CA",-3.724240448281
"CAALFM_C100200CA",-0.0159260106481571
"CAALFM_C100210CA",0.559508707847331
"PHR2",-1.14526299169552
"BFA1",-0.168054942608444
"tT(AGU)6",-0.368878672706221
"CAALFM_C100270WA",-2.701531771111
"RFC52",NA
"POL93",-3.12943998875483
"CAALFM_C100310WA",1.32628349893212
"CAALFM_C100320WA",0.576263083140849
"CAALFM_C100330CA",-0.0751828519617119
"HBR1",-0.330242576929859
"HMX1",-1.9193584533201
"CDC13",-1.80994731054812
"CAALFM_C100370WA",0.185080406961293
"CAALFM_C100380CA",0.459517308950423
"ENA2",1.14835613460526
"SVF1",-0.677408587508901
"CAALFM_C100410CA",4.40869941320382
"CAALFM_C100420WA",3.9334999568661
"CAALFM_C100430WA",0.262354803641803
"UBP6",0.0250018976790799
"CAALFM_C100450CA",0.886364558180956
"CAALFM_C100460WA",0.670428045133228
"CAALFM_C100470CA",-0.420440245750674
"GCN20",-0.520862208541504
"TTR1",-1.16074127177788
"GLO1",2.48230904757436
"CAALFM_C100510WA",-0.11594723566513
"CAALFM_C100520WA",-0.387234359078663
"CAALFM_C100530CA",0.946007824146598
"CAALFM_C100540CA",-0.838945801026241
"CIS2",-0.613204664570062
"CNS1",-0.56376285182578
"CAALFM_C100570CA",0.0194159883497059
"CAALFM_C100580WA",1.0423541912093
"TUF1",-0.179718369522201
"APC1",-0.190506011618273
"PSD1",0.0740708267934586
"MOB2",-0.71509157748297
"CAALFM_C100630WA",0.827579977350509
"RPO41",-0.70574185528539
"SNF7",-0.376715194367159
"CAALFM_C100660CA",-0.292538140274918
"UGA32",2.29643607316388
"ASM3",-0.1376359855396
"RIC1",2.46616949262914
"CAALFM_C100700WA",-0.135880021510365
"TUB2",-0.57016777698991
"tP(UGG)3",-0.252606684565755
"CMP1",-0.0858984841898571
"SPE1",-0.536882008718926
"VPS27",1.02007977090552
"CAALFM_C100760WA",0.364605133387899
"ROT1",-0.346188385857602
"HGC1",-1.41530477102318
"CAALFM_C100790WA",-0.497062334815077
"ERG2",-0.0320912847819432
"CAALFM_C100810WA",0.236141834781977
"CAALFM_C100820WA",0.219722947038886
"CAALFM_C100830WA",0.294863795652883
"NRM1",-0.676675967875908
"IHD2",-2.14534119943964
"CAALFM_C100860WA",-0.553950634925337
"LRO1",-0.354837839443593
"CAALFM_C100880WA",4.00379898637113
"CAALFM_C100890WA",0.902248671949464
"RRS1",-1.23359077767066
"CAALFM_C100910WA",0.000583154946133346
"CAALFM_C100920WA",0.286497502139896
"SIN3",-0.310571027547682
"RPB11",-0.153409520231292
"CDC5",-0.194130636820241
"SET1",-0.468099785234594
"CAALFM_C100970WA",0.670497890009598
"CAALFM_C100980WA",0.173393738890629
"NMA111",-1.32232689651617
"CAALFM_C101000CA",0.236199822765039
"CAALFM_C101010WA",0.179467458158201
"tA(AGC)4",-0.0208764963172655
"HMT1",-1.44975275873079
"CAALFM_C101040WA",-1.30582928661634
"CAALFM_C101050CA",1.03380815776115
"MBF1",0.277534330260702
"CAALFM_C101070CA",-0.0846724829589826
"CAALFM_C101080WA",-0.0298817438574772
"CAALFM_C101090CA",0.294390062903417
"CCH1",0.4790232519471
"ZPR1",-0.976624200453905
"CAALFM_C101130WA",-0.257613645435976
"CAALFM_C101140CA",1.00288431322106
"CAALFM_C101150CA",-0.375221897126149
"CAALFM_C101160CA",-0.757275108051064
"ZCF17",-0.396326768920112
"CAALFM_C101180CA",0.130938306878478
"CAALFM_C101190CA",0.882752919309336
"STB5",1.4194497958038
"CAALFM_C101210WA",-0.933195724434005
"CAALFM_C101220CA",-2.43545433474192
"IFD3",2.26692320959796
"CAALFM_C101250WA",1.79898888047078
