"","condition_RS3_vs_ctl"
"CAALFM_C100020CA",-0.716768877784576
"CAALFM_C100030CA",0.912651641718347
"CTA2",3.48334453600109
"TUP1",0.324595678793337
"MVD",0.65290905138652
"RCA1",-0.61936431907229
"CAALFM_C100090WA",-0.0573005047825012
"CAALFM_C100100CA",-0.63611407945085
"CCT8",-0.500364955257278
"TRP1",-0.427632018218577
"VPS53",0.52169835266349
"KEL1",0.651997637481317
"RIM8",-1.58525424340452
"CAALFM_C100160CA",-1.90164294937719
"LEU4",-1.12989494797866
"RPL16A",-0.221866124720777
"CAALFM_C100190CA",-3.91900485511319
"CAALFM_C100200CA",0.100851153393508
"CAALFM_C100210CA",0.619544114377408
"PHR2",-3.79818037568903
"BFA1",-0.203922670962618
"tT(AGU)6",0.00365419588128443
"CAALFM_C100270WA",-1.42339594954217
"RFC52",NA
"POL93",-1.80159819431882
"CAALFM_C100310WA",1.97622745938269
"CAALFM_C100320WA",0.6722301103234
"CAALFM_C100330CA",-0.363753058613084
"HBR1",-0.401786365581295
"HMX1",-1.83909099278479
"CDC13",-1.797205829715
"CAALFM_C100370WA",-0.0587670352551379
"CAALFM_C100380CA",0.445514705403558
"ENA2",3.12778992203299
"SVF1",-0.663404425522724
"CAALFM_C100410CA",4.17013810498643
"CAALFM_C100420WA",3.83389057374808
"CAALFM_C100430WA",0.137826876164336
"UBP6",-0.0239161074846614
"CAALFM_C100450CA",0.748856105252919
"CAALFM_C100460WA",0.390960744284365
"CAALFM_C100470CA",-0.286006880252265
"GCN20",-0.614959501267194
"TTR1",-1.04124884213412
"GLO1",2.16023894781319
"CAALFM_C100510WA",-0.372866049487584
"CAALFM_C100520WA",-0.300481685512906
"CAALFM_C100530CA",1.13785692868959
"CAALFM_C100540CA",-1.16725028954684
"CIS2",-0.817662944739918
"CNS1",-0.649164753678751
"CAALFM_C100570CA",-0.145370226613353
"CAALFM_C100580WA",0.876673591572541
"TUF1",-0.723422098075238
"APC1",-0.0960851761244724
"PSD1",-0.0577310044125
"MOB2",-0.763473491843035
"CAALFM_C100630WA",1.37849189890514
"RPO41",-0.920373365953998
"SNF7",-0.502007929848969
"CAALFM_C100660CA",-0.576207429021005
"UGA32",2.63857685000854
"ASM3",0.576971541723878
"RIC1",2.40436309565663
"CAALFM_C100700WA",-0.342416462774389
"TUB2",-0.442950077875405
"tP(UGG)3",0.319748766160103
"CMP1",-0.159350651760792
"SPE1",-0.534871439722622
"VPS27",0.958086096211415
"CAALFM_C100760WA",0.445799396128879
"ROT1",-0.561679342195922
"HGC1",1.42332538029546
"CAALFM_C100790WA",-1.01754315730799
"ERG2",-0.0961250627176408
"CAALFM_C100810WA",-0.0416298139251844
"CAALFM_C100820WA",0.49605643195641
"CAALFM_C100830WA",0.973680976231937
"NRM1",-0.877310802375137
"IHD2",-0.253302046089773
"CAALFM_C100860WA",-0.673376170644601
"LRO1",0.0690371287981388
"CAALFM_C100880WA",5.4866475805428
"CAALFM_C100890WA",0.809985418216517
"RRS1",-1.07748344010075
"CAALFM_C100910WA",-0.248382988218349
"CAALFM_C100920WA",0.390383902758028
"SIN3",-0.449572631065064
"RPB11",-0.30283293006106
"CDC5",-0.217506095537626
"SET1",-0.492825944825272
"CAALFM_C100970WA",0.635115606291366
"CAALFM_C100980WA",-0.185177901631107
"NMA111",-1.24117861582102
"CAALFM_C101000CA",-0.0107672799047467
"CAALFM_C101010WA",-0.186325594611582
"tA(AGC)4",0.244205229432599
"HMT1",-1.57556815498356
"CAALFM_C101040WA",-0.64379065488681
"CAALFM_C101050CA",0.913389235221072
"MBF1",0.0751788094291543
"CAALFM_C101070CA",-0.176608519768709
"CAALFM_C101080WA",-0.134686990072554
"CAALFM_C101090CA",-0.125848702890688
"CCH1",0.125708435582395
"ZPR1",-1.04265603722555
"CAALFM_C101130WA",-0.780436148154965
"CAALFM_C101140CA",1.08978138570413
"CAALFM_C101150CA",-0.43716637957295
"CAALFM_C101160CA",-0.739161936713496
"ZCF17",-0.415224373621125
"CAALFM_C101180CA",0.363806432872869
"CAALFM_C101190CA",0.73368140035052
"STB5",0.979392877505133
"CAALFM_C101210WA",-0.578897865705808
"CAALFM_C101220CA",-0.850533376605127
"IFD3",2.91406183576041
"CAALFM_C101250WA",1.37657892721725
"TRS20",0.322326444964292
"CTA9",0.0234382100500999
"MED22",0.416243040059816
"CAALFM_C101290CA",0.533845609622599
"CAALFM_C101300WA",0.676603738728749
"MRS7",-0.09571372707469
"DUT1",-1.31576189197667
