"","condition_SS3_vs_ctl"
"CAALFM_C100020CA",-0.769146055999784
"CAALFM_C100030CA",1.14553685155494
"CTA2",2.73036973922874
"TUP1",0.226551925109568
"MVD",0.293011818900548
"RCA1",-0.481447134959666
"CAALFM_C100090WA",-0.387427846406959
"CAALFM_C100100CA",-0.768959705876304
"CCT8",-0.740780703218592
"TRP1",-0.652562314071594
"VPS53",0.502984521240432
"KEL1",0.681661167770306
"RIM8",-1.41554312843256
"CAALFM_C100160CA",-2.20647311566043
"LEU4",-1.09800457557824
"RPL16A",-0.459951362995603
"CAALFM_C100190CA",-1.10834376056645
"CAALFM_C100200CA",0.878799817007025
"CAALFM_C100210CA",0.531271522962139
"PHR2",-5.20016852624876
"BFA1",0.00938289820829356
"tT(AGU)6",-0.210819560318482
"CAALFM_C100270WA",-0.534081294725838
"RFC52",NA
"POL93",-0.945087194660129
"CAALFM_C100310WA",2.54965514377124
"CAALFM_C100320WA",0.616833401474478
"CAALFM_C100330CA",-0.256345168516582
"HBR1",-0.614445184756307
"HMX1",-1.51008906623108
"CDC13",-1.79087520144945
"CAALFM_C100370WA",-0.118954964049799
"CAALFM_C100380CA",0.141359165544235
"ENA2",2.77573489944995
"SVF1",-1.04852967593828
"CAALFM_C100410CA",4.84449498700483
"CAALFM_C100420WA",4.18044898918081
"CAALFM_C100430WA",0.500331866796229
"UBP6",-0.119945314748878
"CAALFM_C100450CA",0.773422464440058
"CAALFM_C100460WA",0.455525552287906
"CAALFM_C100470CA",-0.29319616149534
"GCN20",-0.857344522329318
"TTR1",-1.51301292474038
"GLO1",2.17998040334221
"CAALFM_C100510WA",-0.517831918825079
"CAALFM_C100520WA",-0.662257759037502
"CAALFM_C100530CA",1.15776550930158
"CAALFM_C100540CA",-0.971624696925504
"CIS2",-0.355851852768451
"CNS1",-0.691332768705734
"CAALFM_C100570CA",0.0678992834904769
"CAALFM_C100580WA",1.55037566782494
"TUF1",-0.703778690287526
"APC1",-0.00510905856183962
"PSD1",0.0232108582609561
"MOB2",-0.532845183778599
"CAALFM_C100630WA",1.68566683485667
"RPO41",-0.964569433015161
"SNF7",-0.472878646051419
"CAALFM_C100660CA",-0.328055351222131
"UGA32",3.38408179202594
"ASM3",0.775664676828359
"RIC1",2.64816752039886
"CAALFM_C100700WA",-0.264270176384877
"TUB2",-0.70013449022572
"tP(UGG)3",-0.746447612287065
"CMP1",-0.190818207454158
"SPE1",-0.697550241594032
"VPS27",0.888273410869642
"CAALFM_C100760WA",0.43872348062782
"ROT1",-0.859467653837586
"HGC1",-0.45260556773771
"CAALFM_C100790WA",-0.346055902513628
"ERG2",-0.310231277802504
"CAALFM_C100810WA",-0.364913772474124
"CAALFM_C100820WA",0.549912065575273
"CAALFM_C100830WA",0.985789678970854
"NRM1",-0.675176018929884
"IHD2",-0.501407703344498
"CAALFM_C100860WA",-0.140172030718035
"LRO1",0.246598034218807
"CAALFM_C100880WA",4.68353735009553
