"","condition_LL30_vs_ctl"
"CAALFM_C101890CA",0.182892122104304
"CAALFM_C101900CA",-0.423717404919261
"CAALFM_C101910WA",-2.67718731433666
"ROA1",-2.3778269248916
"CAALFM_C101930WA",2.65837196568555
"CAALFM_C101940CA",-0.175372603412262
"CAALFM_C101950CA",0.549537800247618
"CAALFM_C101970WA",-0.271141188925701
"HGT1",6.01602172975021
"HSP30",0.981051666894833
"CAALFM_C102000WA",0.733545860582523
"ZCF24",2.17339556104932
"CAALFM_C102020WA",1.49770654300558
"CAALFM_C102030CA",0.436097867883961
"CAALFM_C102040CA",2.56618807600806
"PHO91",0.298217364591274
"CAALFM_C102060WA",3.850583490155
"HSP31",0.794658479592044
"SET6",-1.89386155632443
"CAALFM_C102090CA",-1.53123926701404
"CAALFM_C102100WA",1.30615549094663
"HGT2",3.88768357975672
"SHA3",0.697224737842502
"GAL1",2.28184121280408
"GAL10",3.76816358539636
"CAALFM_C102160WA",1.02204321664585
"GAL102",1.42041587929088
"GAL7",-0.442216302115431
"ABP140",-2.21658126606727
"CAALFM_C102200CA",0.96256771531684
"CAALFM_C102210WA",0.179053783876846
"CAALFM_C102220CA",0.438056424789629
"SEP7",0.0116062166817948
"CAALFM_C102240WA",-0.484289223313154
"CWH8",-1.17973813965897
"AGE3",0.43734158585676
"CAALFM_C102270CA",0.688663859384346
"PSY2",-0.18243256846286
"CAALFM_C102290CA",-0.2297009105609
"CAALFM_C102300WA",0.299364077041047
"CAALFM_C102310CA",0.216528774265062
"CAALFM_C102320CA",0.314583779326925
"CAALFM_C102330CA",-0.589118118134707
"tR(CCG)1",0.00950714162841367
"TIM21",-0.788014709277982
"PGA5",-0.606381336282062
"CAALFM_C102370CA",-3.29417806951311
"CAALFM_C102380CA",-1.09015299435444
"CAALFM_C102390WA",-1.0334358282746
"MNN11",-0.583332656928422
"CAALFM_C102410CA",0.123905597574019
"GSC1",-0.715464201371192
"CAALFM_C102430CA",-0.818449331712079
"CAALFM_C102440CA",0.436780968048162
"CAALFM_C102450CA",-1.56912283900209
"RPL10",-0.494339832845379
"CAALFM_C102470WA",1.00270516864345
"PMM1",0.638483108723696
"CAALFM_C102490CA",-0.817190275415425
"CAALFM_C102500WA",1.13182285512736
"CAALFM_C102510WA",1.0074272378315
"SCW4",-0.308196444449327
"DIP5",0.492380541068457
"tR(UCU)4",0.605941516021722
"PUT4",0.0806372173485678
"HNM4",1.21418657529817
"SNZ1",8.71153512259807
"SNO1",7.62900248845736
"IML1",0.820979343355387
"HOM6",1.26843256102117
"EXG2",0.391816114806578
"TOM20",-0.62902084232606
"CAALFM_C102650WA",-0.36622247409438
"MGM101",-1.05593516187524
"CAALFM_C102670CA",1.19521517851434
"CAALFM_C102680CA",0.86061849163575
"CAALFM_C102690CA",0.625852836608267
"CAALFM_C102700CA",2.26645050583794
