"","condition_FS3_vs_ctl"
"CAALFM_C100020CA",-0.792884184496352
"CAALFM_C100030CA",1.19893417287268
"CTA2",3.62300895920626
"TUP1",0.410202828876975
"MVD",0.486069930020832
"RCA1",-0.425482675552485
"CAALFM_C100090WA",0.0765368410016803
"CAALFM_C100100CA",-0.604491856453596
"CCT8",-0.629086492042583
"TRP1",-0.471245139749039
"VPS53",0.489551297299746
"KEL1",0.660961559478983
"RIM8",-1.19683836379597
"CAALFM_C100160CA",-1.92685273877687
"LEU4",0.906359497293919
"RPL16A",-0.592986519793616
"CAALFM_C100190CA",-1.78804345534685
"CAALFM_C100200CA",1.05713332963913
"CAALFM_C100210CA",0.682158063520051
"PHR2",-2.70557234562434
"BFA1",-0.149042670556416
"tT(AGU)6",0.284804272667231
"CAALFM_C100270WA",1.57915348947569
"RFC52",NA
"POL93",0.90076499171744
"CAALFM_C100310WA",2.39743398095052
"CAALFM_C100320WA",0.437551389420695
"CAALFM_C100330CA",-0.478102631238154
"HBR1",-0.655681882467316
"HMX1",0.256199286212739
"CDC13",-1.52499763530389
"CAALFM_C100370WA",-0.0167013787451218
"CAALFM_C100380CA",0.265354092620865
"ENA2",3.16067151532173
"SVF1",-0.568991637405203
"CAALFM_C100410CA",3.85779171198009
"CAALFM_C100420WA",3.87775750838387
"CAALFM_C100430WA",0.479108093561097
"UBP6",-0.230551417399628
"CAALFM_C100450CA",0.495006811972215
"CAALFM_C100460WA",0.0330111881329347
"CAALFM_C100470CA",-0.0816438382736167
"GCN20",-0.921896967976955
"TTR1",-1.12458910182671
"GLO1",2.03651249017135
"CAALFM_C100510WA",-0.802908481175737
"CAALFM_C100520WA",-0.214827593716767
"CAALFM_C100530CA",1.38000585395691
"CAALFM_C100540CA",-0.939221454086856
"CIS2",-0.0351033008511716
"CNS1",-0.514221270961141
"CAALFM_C100570CA",-0.106568655632608
"CAALFM_C100580WA",1.53988697029068
"TUF1",-1.23831339811685
"APC1",-0.176378439405618
"PSD1",0.234105243481477
"MOB2",-0.228477280184281
"CAALFM_C100630WA",1.68808372734128
"RPO41",-0.990420590897056
"SNF7",-0.259825511911401
"CAALFM_C100660CA",-0.446311396475497
"UGA32",2.6034315180236
"ASM3",0.623895688659342
"RIC1",2.07619093211782
"CAALFM_C100700WA",-1.01175677410936
"TUB2",-0.346428816699172
"tP(UGG)3",0.1322814602879
"CMP1",-0.229076609573107
"SPE1",-0.90456750496849
"VPS27",1.16917363079789
"CAALFM_C100760WA",0.665683764699711
"ROT1",-0.674646410955985
"HGC1",2.58326951635704
"CAALFM_C100790WA",-1.12261934494209
"ERG2",-0.355975916408892
"CAALFM_C100810WA",-0.583990641689934
"CAALFM_C100820WA",0.432700396074376
"CAALFM_C100830WA",1.46070039203052
"NRM1",-1.17962246376789
"IHD2",0.578074891601224
"CAALFM_C100860WA",-0.022822012284832
"LRO1",0.171613141840932
"CAALFM_C100880WA",3.7421940067874
"CAALFM_C100890WA",0.602825991576074
"RRS1",-0.814117288745091
"CAALFM_C100910WA",-0.0950145428289647
"CAALFM_C100920WA",0.376695078332995
"SIN3",-0.524955794192738
"RPB11",-0.307384147953584
"CDC5",-0.223272984974653
"SET1",-0.687999791255028
"CAALFM_C100970WA",0.59343502049941
"CAALFM_C100980WA",-0.40788124139861
"NMA111",-1.09962179007704
"CAALFM_C101000CA",0.0205408129959287
"CAALFM_C101010WA",-0.668969292377084
"tA(AGC)4",0.625237341733306
"HMT1",-1.35648176602792
"CAALFM_C101040WA",-0.14305057765807
"CAALFM_C101050CA",0.760900353673996
"MBF1",-0.346719491006978
"CAALFM_C101070CA",-0.242955285509953
"CAALFM_C101080WA",-0.113072461229579
"CAALFM_C101090CA",-0.478855311957235
"CCH1",0.459887983269114
"ZPR1",-1.0539862330805
"CAALFM_C101130WA",0.578725902014603
"CAALFM_C101140CA",1.77216097204174
"CAALFM_C101150CA",-0.593237758887756
"CAALFM_C101160CA",-0.534201357768903
"ZCF17",-0.439597961020682
"CAALFM_C101180CA",0.372849902744771
"CAALFM_C101190CA",0.532827024644932
"STB5",0.778588265389603
"CAALFM_C101210WA",-0.116117397760127
"CAALFM_C101220CA",0.0132890405322086
"IFD3",3.05436580711762
"CAALFM_C101250WA",0.780893601754368
"TRS20",0.193675686788609
"CTA9",-0.181376850372177
"MED22",0.340430460806258
"CAALFM_C101290CA",1.06071424885235
"CAALFM_C101300WA",0.569022456477849
"MRS7",-0.544052478327208
"DUT1",-1.39635200350111
"CAALFM_C101340CA",0.729079562017402
"TIF",-0.986022651648987
"CAALFM_C101360CA",4.01050715175758
"RPS21B",-0.386481479077503
"TRM2",-0.459933144775958
"CAALFM_C101390CA",0.454356098636505
"CAALFM_C101400CA",1.27146456614036
"CRL1",0.345541076568863
"POX18",2.14411232598138
"ABC1",0.103521461170528
"CAALFM_C101460WA",0.659397145336625
"CAALFM_C101470WA",-0.760162301932647
"RPS21",-0.664857588024115
"CAALFM_C101490WA",4.33380673621323
"CAALFM_C101510WA",2.78377030391416
"SOD2",2.25635779551122
"CAALFM_C101530CA",-0.477656167746305
"CAALFM_C101540WA",0.910886036188727
"VPS17",0.396610303406176
"SIZ1",-0.598872918094126
"RPB7",-0.563309505299022
"CAALFM_C101580WA",-0.611656203643085
"CAALFM_C101590CA",-0.987216388707276
"MRP20",-0.604376796651325
"CAALFM_C101610CA",0.962705007841999
"CAALFM_C101620CA",1.54570606911184
"CAALFM_C101630WA",0.0909807357054209
"RPS42",-2.06871266977515
"ISN1",0.706737401844639
"tS(UGA)1",0.0483720439732242
"ESP1",-0.0916483025051203
"CAALFM_C101680CA",-0.596742404618553
"LSC1",0.606470976483545
"ARP8",0.235834247921412
"CAALFM_C101710WA",0.948314396497872
"CAALFM_C101720CA",-0.151963817161899
"tA(AGC)3",0.185421399825437
"CTN1",4.32001198004248
"CAALFM_C101750WA",-0.120163930939579
"FGR38",0.662990782780687
"MAK32",2.36294594993537
"HOL4",-0.270106952277372
"SWI4",-1.0114179410788
"CAALFM_C101800WA",-0.138668474457019
"UGA2",1.70539418625097
"CAALFM_C101820CA",0.0320390690672932
"UBC8",1.97933819919177
"CAALFM_C101840CA",0.958850838287799
"CAALFM_C101850CA",-0.135055672750753
"CAALFM_C101860WA",-1.16490644488987
"CYS4",-0.549678066010713
"PTR3",0.472341036146598
"CAALFM_C101890CA",-0.168761673042604
"CAALFM_C101900CA",-0.300606792762135
"CAALFM_C101910WA",-1.14241600303717
"ROA1",-0.876102965162475
"CAALFM_C101930WA",5.09257498733176
"CAALFM_C101940CA",-0.349019907246263
"CAALFM_C101950CA",1.16989372641952
"CAALFM_C101970WA",-1.11392424787769
"HGT1",6.30901668227781
"HSP30",-0.0534338478624175
"CAALFM_C102000WA",0.241149522972704
"ZCF24",1.09778435867016
"CAALFM_C102020WA",1.31822649696015
"CAALFM_C102030CA",0.277453095209752
"CAALFM_C102040CA",0.866749952354494
"PHO91",0.717865231494512
"CAALFM_C102060WA",4.12023115800151
"HSP31",-0.141938599393
"SET6",-0.222455520113512
"CAALFM_C102090CA",-0.345928309024866
"CAALFM_C102100WA",0.257018422706699
"HGT2",3.49314403486987
"SHA3",1.97956305380752
"GAL1",2.82175515934305
"GAL10",4.04385018434925
"CAALFM_C102160WA",0.334479374162713
"GAL102",0.941005951340977
"GAL7",0.335683611691406
"ABP140",-0.700457591834849
"CAALFM_C102200CA",1.36831392567057
"CAALFM_C102210WA",1.21627525486278
"CAALFM_C102220CA",1.35431326397085
"SEP7",-0.599288303009061
"CAALFM_C102240WA",-0.539322377141715
"CWH8",0.55905573958093
"AGE3",-0.0208462857488701
"CAALFM_C102270CA",1.32104504540288
"PSY2",-0.628792341351875
"CAALFM_C102290CA",0.0781598916691227
"CAALFM_C102300WA",-0.298402472063224
"CAALFM_C102310CA",0.138017566042916
"CAALFM_C102320CA",0.468897761385631
"CAALFM_C102330CA",-0.442889777952878
"tR(CCG)1",2.14253461182584
"TIM21",-0.211134905712031
"PGA5",-0.737445577153238
"CAALFM_C102370CA",-1.11360851289113
"CAALFM_C102380CA",-0.55801165786692
"CAALFM_C102390WA",-0.873100247407882
"MNN11",-0.945134884805511
"CAALFM_C102410CA",-0.158157978229265
"GSC1",-1.01609325374956
"CAALFM_C102430CA",-0.944354693016002
"CAALFM_C102440CA",0.939208335129138
"CAALFM_C102450CA",-0.203147853701613
"RPL10",-0.647153932137526
"CAALFM_C102470WA",0.625437382023174
"PMM1",-0.937920617388788
"CAALFM_C102490CA",-0.925479678604956
"CAALFM_C102500WA",-0.738289426256963
"CAALFM_C102510WA",-0.655462396712883
"SCW4",-0.797490185415412
"DIP5",0.605238400690502
"tR(UCU)4",1.97412949670055
"PUT4",1.6878348208668
"HNM4",1.08201211490891
"SNZ1",7.99605686946842
"SNO1",7.1159437351853
"IML1",1.05373378844042
"HOM6",1.27626719574028
"EXG2",-0.350102881313349
"TOM20",-1.03405722126103
"CAALFM_C102650WA",-0.628933660348989
"MGM101",-0.59544384749296
"CAALFM_C102670CA",0.428174771257569
"CAALFM_C102680CA",-0.196302244932522
"CAALFM_C102690CA",1.04933224889691
"CAALFM_C102700CA",4.60062310858593
"FRS2",-0.557168753327754
"CAALFM_C102720WA",-0.0412374715124999
"CAALFM_C102730WA",0.849022890450226
"CAALFM_C102740CA",0.44317814686311
"CAALFM_C102750CA",-0.575477986727203
"CAALFM_C102760WA",-0.133050385555111
"CAALFM_C102770WA",0.515584935512684
"CAALFM_C102780WA",3.92785349282407
"TIF34",-0.859659648939757
"CAALFM_C102800WA",-0.772384028539634
"RAD16",-1.70262481159105
"LYS2",3.31649980837459
"CAALFM_C102830WA",0.0230807893327286
"PDE2",0.656348982413241
"CAALFM_C102850WA",-0.346321953516291
"YKT6",0.2655612944955
"YPT7",0.43996143740395
"MIA40",-1.01642048731228
"CAALFM_C102890CA",0.28414873081866
"CAALFM_C102900CA",0.0680830477442487
"CAALFM_C102910CA",1.83968878164603
"CDC73",-0.202642608354916
"MST1",-0.623508987424926
"CAALFM_C102940CA",-0.410781735155549
"CAALFM_C102950WA",0.127063003150483
"CAALFM_C102960CA",0.20528189333969
"CAALFM_C102970WA",2.87778437661239
"GOR1",5.32454335508642
"XOG1",0.102962131083428
"HOL1",0.558839322069749
"RPP1A",-0.610974491634125
"RPL13",-0.584181332550143
"RPS16A",-0.505021318009547
"CAALFM_C103040WA",-0.419308384470388
"CAALFM_C103050WA",0.175917718285441
"TSR2",-0.476723450173336
"ORC1",-0.12665957804183
"TEM1",0.638648305193196
"RPS1",-0.695669442006186
"CAALFM_C103100WA",2.37891175736146
"RPL6",-0.515700653661379
"CAALFM_C103120WA",-0.00978614141491927
"GGA2",1.14303640206232
"CAALFM_C103140WA",2.28719137238431
"CAALFM_C103150CA",4.14468362750904
"COQ4",-0.0250613090281174
"CAALFM_C103170CA",0.806703566346631
"CAALFM_C103180WA",0.255775421578502
"ECM33",-0.191635413645601
"ARO80",-0.183207373823983
"CDC12",-0.355278239690322
"BMH1",0.433620826060336
"ARX1",-0.959668062383412
"CAALFM_C103240WA",0.961607126178824
"SPP1",0.126531938375674
"CAALFM_C103260WA",-0.49050002085813
"CAALFM_C103270WA",0.661094431152614
"CAALFM_C103280WA",-0.786845046485538
"NGG1",-0.213172572498333
"MAS1",-0.757892320943429
"CAALFM_C103310WA",-0.684427923699494
"EHD3",0.845302244240984
"CAALFM_C103330CA",0.531210230755979
"SEC62",-1.33418594596921
"RLI1",-1.38809186779635
"CAALFM_C103360WA",-0.156892230177861
"CAALFM_C103370WA",-1.54394330658042
"TPS2",2.03817168669257
"EHT1",-1.06645018278466
"CAALFM_C103400WA",0.601912899174822
"CAALFM_C103410WA",-0.0491124966105071
"tN(GUU)3",0.112704008863314
"CAALFM_C103430WA",0.446440388660842
"CAALFM_C103440CA",0.0101120648522369
"CAALFM_C103450CA",1.70986465203376
"CAALFM_C103460CA",-2.29084469377367
"CAALFM_C103470CA",-0.645005782993935
"AGE1",1.34350508408476
"CAALFM_C103490WA",1.73448766383764
"YPT1",-0.455696075391481
"CAALFM_C103510CA",2.84848030533575
"RPN3",-0.139617397598384
"MED17",-0.722633259209555
"CAALFM_C103540CA",-0.419742593793522
"COQ6",0.32162334460122
"SUA71",-0.788442279536451
"tL(UAA)3",0.0827278117143105
"CAALFM_C103580WA",0.386130302452436
"CAALFM_C103600WA",0.493503523045051
"IMP1",-0.208611071586766
"CAALFM_C103620CA",-1.26958185288384
"CAALFM_C103630WA",-0.539087717218088
"HFL1",-1.3082505302915
"MRPL27",-0.903772150498598
"CAALFM_C103660WA",1.27812760604313
"DAO1",4.10618384508921
"ENG1",0.998560220356144
"CAALFM_C103690WA",0.466340739709028
"tT(CGU)1",-0.241739888164334
"MSB1",-0.462273012609163
"CAALFM_C103720CA",3.10705437002414
"MNS1",0.830137236500373
"WAR1",-0.0656651173585048
"CAALFM_C103750WA",0.106682516600862
"STR2",0.0142840297411487
"SKO1",-1.18850637156887
"HMG1",-0.553536836476087
"CAALFM_C103790CA",-0.914811812138642
"RPP1",-0.0233689523657105
"ELA1",-0.683745116377687
"PDR16",-3.06909206588629
"CAALFM_C103830CA",-0.313828335171403
"CAALFM_C103840WA",-0.00798082545921805
"BNI4",-0.449451578544558
"CAALFM_C103870CA",-2.07280677601819
"CAALFM_C103880CA",-0.151828069814071
"CAALFM_C103890WA",-0.156121128487402
"SEN15",0.0372860899458458
"CAALFM_C103910CA",0.184102752967561
"CAALFM_C103920CA",0.147157624140727
"CAALFM_C103930WA",-0.357421294124404
"CAALFM_C103940WA",-0.307011485721238
"CAALFM_C103950CA",0.286336517212253
"CAALFM_C103960CA",-0.0523801069228446
"SPC19",-0.178214379872088
"CAALFM_C103990WA",-0.491589331619828
"KTR4",-0.0473089509704966
"CAALFM_C104010CA",-0.580811508719508
"CSH1",3.78123045004817
"CAALFM_C104030WA",0.368372949530645
"CAALFM_C104040CA",-0.689555942889072
"MFALPHA",1.47206184582152
"IFI3",2.72530145712942
"BET4",0.368917458066933
"MAD2",0.132430950565333
"CAALFM_C104090CA",-0.48197612864342
"POR1",1.81755386773388
"CAALFM_C104110WA",-0.39137334865169
"CAALFM_C104120CA",0.252138005345541
"ERB1",-0.806852788043308
"IFD6",-0.499464781424793
"CAALFM_C104150CA",0.0753348463229555
"CAALFM_C104160CA",-0.090330257748816
"HTA2",-0.407711464223144
"CAALFM_C104180WA",-0.401931172245889
"CAALFM_C104190CA",-0.0747326952683088
"CAALFM_C104200CA",0.738329970444346
"CDC3",-0.117753379723705
"CAALFM_C104220CA",0.439566763542055
"CAALFM_C104230WA",0.232335008917138
"HHF1",-0.546606440381227
"HHT21",-0.334268271796131
"CAALFM_C104270CA",-1.50020410498062
"CAALFM_C104280CA",0.00115283048420787
"ACS2",1.30405192110214
"SSA2",-0.140732359330571
"GIG1",0.0976972250787732
"GPM2",1.94247712507463
"RPN4",-0.916246014400965
"CAALFM_C104340CA",-0.0800538315774636
"CAALFM_C104350CA",0.258808339685736
"CAALFM_C104360CA",1.93929478175064
"CAALFM_C104370CA",-0.540330236763832
"SIT4",-0.329026648213743
"NOP4",-0.834278514964677
"APE2",0.235724859600677
"ESS1",0.156714161211506
"URA6",-0.382105878027727
"CAALFM_C104430CA",2.30973729854623
"CAALFM_C104440WA",NA
"FMA1",-2.00848341401593
"CAALFM_C104460CA",0.0760615893733727
"CAALFM_C104470CA",0.409449097322307
"TUS1",1.79858889903692
"CAALFM_C104490WA",-0.898815524410464
"ICL1",0.507038260708572
"CAALFM_C104510WA",-0.300394247590543
"PHO85",0.471629967292004
"CAALFM_C104530CA",-0.484669269697716
"VPS16",0.95715496941303
"ELC1",0.152184309736531
"CAALFM_C104560WA",2.66640492451323
"CHL4",-0.531516594704022
"CAALFM_C104580CA",0.0114143858935574
"CAALFM_C104590WA",0.0840940211515748
"CAALFM_C104600CA",-0.777699592896986
"ATP1",0.269373344668317
"CAALFM_C104620WA",-0.0828593966053533
"CAALFM_C104630CA",-0.328583651734546
"CAALFM_C104640WA",3.58364139738355
"DUR3",7.35192219985215
"DUR1%2C2",4.97503433697561
"HAT1",-0.399077316876293
"PIL1",3.3889610501927
"CAALFM_C104690CA",-0.297730117850954
"CAALFM_C104700CA",1.46741235519532
"CAALFM_C104710CA",-0.216915074074107
"CAALFM_C104720WA",-0.0388365872701421
"LYS21",-0.590810019534335
"LPG20",4.35848832717244
"IFE1",-0.247918264245272
"SYG1",0.383106279289596
"ERG3",-0.543938806706932
"CAALFM_C104780CA",0.0566985324096712
"CAALFM_C104790WA",-0.0844571970278284
"CAALFM_C104800CA",0.562313468943371
"TCO89",0.237911397052677
"CAALFM_C104820CA",-0.733086427805442
"SEC21",-0.594103238037755
"CAALFM_C104840CA",-0.246525998269323
"CAALFM_C104850CA",-0.0942814713483163
"CAALFM_C104860WA",0.628075154558219
"SAP7",-1.41897505654533
"MRPL37",-0.594261960862338
"YBN5",-1.02552225023495
"MNN15",1.19818286923313
"CAALFM_C104910CA",0.985585119754367
"CAALFM_C104930CA",2.43001920799991
"CAALFM_C104940CA",-0.55563537985351
"RPM2",-0.105012957526684
"CAALFM_C104960CA",0.384591010949395
"CAALFM_C104970WA",-1.06814881403863
"CAALFM_C104980CA",-0.0498662507657421
"CAALFM_C104990CA",0.538303278805344
"RHD1",-2.12922777485778
"CAALFM_C105010CA",0.729429260524426
"ARG2",1.21333167032734
"PSF2",-0.926557745549576
"RRP6",-0.638466366586966
"REI1",-0.517399372388185
"GPI7",0.885110141297063
"GPT1",1.69456840889614
"TRY2",0.01202939404023
"CAALFM_C105100WA",-0.694662287161575
"ARO4",-0.533965917938157
"CAALFM_C105120WA",0.768173121561648
"BRG1",3.19829229832514
"CAALFM_C105150CA",1.8995520942328
"CAALFM_C105160CA",6.49962039130102
"CUE5",2.49210734846621
"CAALFM_C105180CA",-0.605405985039791
"CAALFM_C105190CA",-0.523460798587742
"CAALFM_C105200CA",0.0643250480909357
"CAALFM_C105210CA",-0.905504543940783
"CAALFM_C105220CA",-0.635475061236001
"CAALFM_C105230WA",-0.33349524324405
"RPT1",-0.518172186372405
"CAALFM_C105250WA",NA
"SDH1",0.304042006461911
"CAALFM_C105270CA",-0.832836300138446
"CAALFM_C105280WA",0.402230814266797
"GRS1",-0.710273614215489
"PRD1",4.18878262019533
"tP(UGG)1",0.743038876119355
"CAALFM_C105320CA",-0.565345819688601
"CAALFM_C105330CA",-0.97036735276385
"ZCF2",0.0438016823812527
"YPT53",0.0165904569624027
"CAALFM_C105360CA",-0.521019211023062
"CAALFM_C105370CA",0.575368396697197
"CAALFM_C105380CA",-1.43439944956167
"CAALFM_C105390CA",-0.422867867593665
"CAALFM_C105400CA",-0.299516475274905
"TRP99",2.63501295013657
"CAALFM_C105420WA",0.00563351138731623
"SPT20",-0.150535029197779
"CAALFM_C105440CA",1.96866425861998
"CAALFM_C105450WA",NA
"KOG1",-0.182547666999597
"MTM1",-0.988803340101845
"CAALFM_C105480CA",-0.724617702785597
"CAALFM_C105490CA",0.0621130271732796
"RSM22",-0.833662791646872
"RPS27A",0.225326342608061
"CAALFM_C105520WA",1.25609291384133
"SSH1",-0.466735714570013
"CAALFM_C105540CA",0.453334307868174
"CAALFM_C105550CA",-0.0362685324958206
"RIB4",3.68544437641576
"tN(GUU)2",0.182779856145038
"tN(GUU)1",1.01887569030504
"tT(AGU)1",0.14290925081806
"GSL1",0.554978972039035
"CAALFM_C105610WA",0.487575970399371
"STE3",-0.559049991980793
"CAALFM_C105630CA",-1.26349908509358
"FAL1",-0.613908333488666
"CAALFM_C105650WA",-0.198798998301379
"CAALFM_C105660CA",-0.64171494417435
"CAALFM_C105670WA",2.11495435056136
"RIM1",1.00957084974954
"CAALFM_C105690CA",0.624596033117435
"AUT7",3.54284080052991
"UGA4",1.95119947508716
"CAALFM_C105720WA",-1.10599959107683
"CAALFM_C105730WA",-1.59843774782545
"CAALFM_C105740CA",-1.58469830483127
"CAALFM_C105750CA",-0.205844894919641
"PGA26",2.37353525249083
"PRC3",3.59325634885821
"CAALFM_C105780WA",-0.592330478907222
"CAALFM_C105790WA",-0.47257544474827
"CAALFM_C105800CA",-0.1930549019066
"GIM5",0.173331612360524
"RAD10",-0.223248040252051
"CAALFM_C105830WA",0.472349417789857
"PRN1",-0.796078314194269
"POL32",-1.42804776528984
"PRN2",0.0949792850396808
"PRN3",-0.0823664016202889
"PRN4",-0.209751368598308
"CAALFM_C105890WA",0.425007767771488
"CAALFM_C105900WA",-0.941481970241973
"SIP5",1.3954757636984
"CAALFM_C105920WA",0.372066000604495
"CAALFM_C105930CA",1.37665823293556
"PHO87",-1.39090755233293
"CAALFM_C105950CA",1.28836650365921
"PGA45",1.36617853378576
"CAALFM_C105970WA",0.638747824715125
"CAALFM_C105980WA",0.571060020731916
"CAALFM_C105990CA",5.14339326428533
"CAALFM_C106000WA",0.671110140125301
"CHS7",-0.540104588884105
"RGD1",0.0327007103210424
"CAALFM_C106030CA",0.113251738618234
"RTT101",0.276049551042601
"CAALFM_C106050CA",-0.310342793876211
"ACP1",-0.4905653798781
"CAALFM_C106070WA",-0.690897260572193
"ARC35",1.08140042904825
"CAALFM_C106090CA",-0.564408532280385
"MSI3",-1.08444272389922
"NPL4",-0.0208523712639859
"CAALFM_C106120CA",-0.547449142264411
"HAC1",0.275686534135609
"CAALFM_C106150WA",0.414613058952311
"CAALFM_C106160WA",0.310346882144484
"TLO34",4.33935038849723
"CAALFM_C106190CA",NA
"CAALFM_C106200WA",-0.206927286771783
"BUD16",-0.377402473403413
"CAALFM_C106220CA",-1.4935492215209
"MDM34",0.0795251940611981
"CAALFM_C106250WA",-0.667021829777159
"PGA50",0.260476411252304
"CAALFM_C106270WA",0.835466700903898
"UME6",3.13461994633987
"CAALFM_C106300WA",-0.16141157302362
"CAALFM_C106310WA",-1.58246387219652
"CAALFM_C106320WA",-0.0845413395942798
"CAALFM_C106340WA",4.10060586927394
"CAALFM_C106350WA",-1.69479412492164
"CAALFM_C106360WA",-0.224924078360574
"PBR1",-2.41428651724078
"CAALFM_C106380CA",0.043554622235457
"CAALFM_C106390WA",0.681679532195424
"CAALFM_C106400CA",-0.426192350242501
"CAALFM_C106410WA",0.147436196113054
"CAALFM_C106420CA",-0.105671253829891
"CAALFM_C106430CA",-1.29150770175232
"CAALFM_C106440CA",-0.293838011943439
"RPS14B",-0.645673588933076
"RPS22A",-0.611255705322543
"CAALFM_C106470WA",-0.102875370484548
"CAALFM_C106480CA",-0.576782743665649
"CAALFM_C106490CA",-0.63570164983694
"CAALFM_C106500WA",1.00850103267525
"CAALFM_C106510CA",-0.235367445295018
"BPH1",5.09255944960963
"CAALFM_C106530CA",-0.206616669989506
"CAALFM_C106540CA",-0.232298155754865
"GLT1",3.39486401655041
"CAALFM_C106560WA",0.26974740962233
"ANT1",0.826731089323814
"RPS23A",-0.587287818672106
"CAALFM_C106590CA",-0.370690112413153
"CAALFM_C106600WA",0.297694509006308
"HAK1",1.30087533669092
"CAALFM_C106620CA",-0.0924178776909853
"CAALFM_C106630WA",-1.78264407191429
"CAALFM_C106640CA",0.439214564986598
"CAALFM_C106650WA",0.19978813012624
"CAALFM_C106660WA",3.92836897736079
"CAALFM_C106670WA",-1.41284413038875
"VPS34",1.53836760325883
"CYK3",-0.0155245182902318
"CAALFM_C106700WA",-0.377361643515994
"CAALFM_C106710WA",0.254519491846005
"CAALFM_C106720CA",1.32453364837436
"RAC1",-0.220530976119377
"NOP6",-0.471190828019131
"CAALFM_C106750WA",1.32275425532067
"CAALFM_C106760CA",-0.465552042234173
"CAALFM_C106770WA",0.00634288582934891
"NPR1",1.62737829386109
"MRPL19",-0.802636608250324
"CAALFM_C106800WA",-0.361932658467023
"CAT1",-4.2580026311547
"CAALFM_C106820WA",-1.2064102780029
"CAALFM_C106830WA",0.347930541427625
"CAALFM_C106840CA",0.267996574649398
"PCL7",0.306711950004623
"CAALFM_C106860WA",1.32077672747014
"CAALFM_C106870CA",4.73300105489171
"SPO22",-1.05615434848781
"CAALFM_C106890CA",-0.762330276153167
"MMD1",4.23500067093456
"CAALFM_C106910CA",-0.391103994371027
"CAALFM_C106920CA",-0.646051956812937
"PGA63",-0.734985772216534
