"","condition_FL30_vs_ctl"
"CAALFM_C100020CA",0.980368635531166
"CAALFM_C100030CA",1.53125950577587
"CTA2",2.15134521680012
"TUP1",0.609228732005829
"MVD",-0.359186180230422
"RCA1",-0.436123369617334
"CAALFM_C100090WA",0.0109322174429392
"CAALFM_C100100CA",-0.425758535729663
"CCT8",-0.55316888205146
"TRP1",-0.436052809775131
"VPS53",0.36304228825824
"KEL1",0.973275996737669
"RIM8",0.757445608368229
"CAALFM_C100160CA",-1.94221351523882
"LEU4",-0.728338831041002
"RPL16A",-0.392182400770271
"CAALFM_C100190CA",1.65270703902843
"CAALFM_C100200CA",1.11375558740169
"CAALFM_C100210CA",0.766695412129656
"PHR2",-1.8615953221707
"BFA1",0.793782785523674
"tT(AGU)6",-0.576459845974354
"CAALFM_C100270WA",-0.229686731344531
"RFC52",NA
"POL93",-0.0789043803852702
"CAALFM_C100310WA",1.3810958825598
"CAALFM_C100320WA",0.420683937979703
"CAALFM_C100330CA",-0.210486233663539
"HBR1",-1.01139504502203
"HMX1",-2.24987856170655
"CDC13",-0.0558767408764468
"CAALFM_C100370WA",-0.1407048140464
"CAALFM_C100380CA",-0.324148598965463
"ENA2",0.681630679861975
"SVF1",-0.353403421579249
"CAALFM_C100410CA",1.89914089935501
"CAALFM_C100420WA",3.63051471918064
"CAALFM_C100430WA",0.420254831167148
"UBP6",0.09133504871128
"CAALFM_C100450CA",0.0948941059710141
"CAALFM_C100460WA",0.0760632805371227
"CAALFM_C100470CA",0.153438242498039
"GCN20",-0.563098943856588
"TTR1",1.10604397624087
"GLO1",1.2999084444004
"CAALFM_C100510WA",-0.391219425465239
"CAALFM_C100520WA",-0.342977515670033
"CAALFM_C100530CA",2.0740301634379
"CAALFM_C100540CA",-0.378833130178448
"CIS2",0.92890609240797
"CNS1",-1.38564349802336
"CAALFM_C100570CA",-0.475342713567815
"CAALFM_C100580WA",1.01222655464561
"TUF1",-0.777503566876823
"APC1",-0.0771034711988761
"PSD1",0.154364622186324
"MOB2",0.575896182891677
"CAALFM_C100630WA",2.30988209882103
"RPO41",-1.0298483766712
"SNF7",0.0952142859040701
"CAALFM_C100660CA",0.360423162746829
"UGA32",1.81376314820605
"ASM3",-0.221739092926304
"RIC1",2.18917612333084
"CAALFM_C100700WA",-0.139082537866456
"TUB2",-0.289397454393448
"tP(UGG)3",0.54362406941925
"CMP1",1.05200275939286
"SPE1",-0.605946497168917
"VPS27",0.613385561786617
"CAALFM_C100760WA",0.108662854493127
"ROT1",-0.592286608607088
"HGC1",4.48167035777903
"CAALFM_C100790WA",-0.315414398353516
"ERG2",-0.00413482199665191
"CAALFM_C100810WA",0.0661108462912654
"CAALFM_C100820WA",0.518576882319964
"CAALFM_C100830WA",-0.359222039701041
"NRM1",-2.02774428216083
"IHD2",-1.30211211771652
"CAALFM_C100860WA",0.401016721263353
"LRO1",0.0786776652502801
"CAALFM_C100880WA",2.44249311633402
"CAALFM_C100890WA",-0.0991077284811739
"RRS1",-1.2878916138944
"CAALFM_C100910WA",0.390128472333794
"CAALFM_C100920WA",0.946177482630816
"SIN3",-0.337537014509045
"RPB11",-0.224188017536842
"CDC5",-0.432427557194516
"SET1",-0.535829782989331
"CAALFM_C100970WA",-0.117953955464679
"CAALFM_C100980WA",-0.436425159042916
"NMA111",-0.899666600335158
"CAALFM_C101000CA",-0.250601256183798
"CAALFM_C101010WA",-0.254725139043379
"tA(AGC)4",-0.0252918192057897
"HMT1",-1.74214161641912
"CAALFM_C101040WA",0.727791301662588
"CAALFM_C101050CA",0.148338839144223
"MBF1",0.468965969099655
"CAALFM_C101070CA",-0.0299446752865599
"CAALFM_C101080WA",-0.526079636972248
"CAALFM_C101090CA",-0.446688963684925
"CCH1",0.190963155631301
"ZPR1",-1.46572277135723
"CAALFM_C101130WA",-0.00420821176863445
"CAALFM_C101140CA",2.01779743085187
"CAALFM_C101150CA",-0.502814093336863
"CAALFM_C101160CA",-0.882946285059963
"ZCF17",-0.804336446997332
"CAALFM_C101180CA",1.25152065978566
"CAALFM_C101190CA",0.598159313238317
"STB5",1.2268289311001
"CAALFM_C101210WA",0.0354481573447944
"CAALFM_C101220CA",1.94633343706424
"IFD3",1.4780637623479
"CAALFM_C101250WA",0.225299881109547
"TRS20",0.893364682325387
"CTA9",0.182093029315698
"MED22",0.451244911136162
"CAALFM_C101290CA",0.561794595624084
"CAALFM_C101300WA",0.236931075934443
"MRS7",0.0641585688432127
"DUT1",-2.81256461609516
"CAALFM_C101340CA",0.944519004056916
"TIF",-0.583559788981617
"CAALFM_C101360CA",1.7717208022574
"RPS21B",-0.221816996935656
"TRM2",-0.782555226804897
"CAALFM_C101390CA",0.992212626540644
"CAALFM_C101400CA",0.241567153696128
"CRL1",-1.17093157525068
"POX18",0.988756544426297
"ABC1",-0.164212287994352
"CAALFM_C101460WA",0.128791957108108
"CAALFM_C101470WA",-0.743411227624196
"RPS21",-0.494636344570187
"CAALFM_C101490WA",1.22385934493743
"CAALFM_C101510WA",2.69171295741386
"SOD2",0.156939342271072
"CAALFM_C101530CA",-1.37154962407481
"CAALFM_C101540WA",0.814660077719989
"VPS17",0.73410054381229
"SIZ1",-0.117633591772799
"RPB7",-0.408371896671381
"CAALFM_C101580WA",-0.582960970676423
"CAALFM_C101590CA",-0.416573803536939
"MRP20",-0.663055513512135
"CAALFM_C101610CA",2.03073375335776
"CAALFM_C101620CA",0.867031523137255
"CAALFM_C101630WA",-0.393902662631299
"RPS42",-0.283081813498171
"ISN1",2.00013063750287
"tS(UGA)1",0.167726059012408
"ESP1",-0.264460628219738
"CAALFM_C101680CA",-0.564530743160601
"LSC1",0.0771783903771795
"ARP8",0.0341647788549242
"CAALFM_C101710WA",0.522075245568981
"CAALFM_C101720CA",-0.31491840953241
"tA(AGC)3",0.0759155645190315
"CTN1",0.769369541281578
"CAALFM_C101750WA",-1.13699989343298
"FGR38",1.91765788294361
"MAK32",1.45369186157565
"HOL4",-0.534155729636664
"SWI4",-1.91243073122389
"CAALFM_C101800WA",-0.223844766867933
"UGA2",1.22159663431465
"CAALFM_C101820CA",-0.285042879469205
"UBC8",1.15362472973612
