"","condition_FL3_vs_ctl"
"CAALFM_C101890CA",0.0470676893139162
"CAALFM_C101900CA",-0.454156806997268
"CAALFM_C101910WA",-1.51523756009167
"ROA1",-0.565483094840847
"CAALFM_C101930WA",4.22711702703026
"CAALFM_C101940CA",-0.250932074352203
"CAALFM_C101950CA",0.848891789663814
"CAALFM_C101970WA",-0.558173792741273
"HGT1",7.01120211574986
"HSP30",2.85490522825762
"CAALFM_C102000WA",0.573153044432101
"ZCF24",1.94669272732318
"CAALFM_C102020WA",1.36945821881407
"CAALFM_C102030CA",0.261481992552485
"CAALFM_C102040CA",2.30779976323462
"PHO91",0.159435455961673
"CAALFM_C102060WA",5.08092140949889
"HSP31",1.00646677486544
"SET6",-1.51629151292873
"CAALFM_C102090CA",-1.2777082679023
"CAALFM_C102100WA",0.850285239569763
"HGT2",5.28036667928659
"SHA3",0.879630326953319
"GAL1",4.77551208927486
"GAL10",5.97042570016671
"CAALFM_C102160WA",0.679008969390987
"GAL102",1.44999535093543
"GAL7",1.04905166203781
"ABP140",-1.56283273965644
"CAALFM_C102200CA",1.26744105749525
"CAALFM_C102210WA",1.30760973789323
"CAALFM_C102220CA",1.37542883438039
"SEP7",-0.342553077489995
"CAALFM_C102240WA",-0.533391406029257
"CWH8",1.02500807201895
"AGE3",0.485941396103989
"CAALFM_C102270CA",6.41903247796772
"PSY2",-0.425009822839617
"CAALFM_C102290CA",0.235711469015389
"CAALFM_C102300WA",0.0731095451762798
"CAALFM_C102310CA",0.263905877563994
"CAALFM_C102320CA",0.875287481287238
"CAALFM_C102330CA",-0.732677503253994
"tR(CCG)1",0.28995989673285
"TIM21",-0.141413975133681
"PGA5",-0.2255107740455
"CAALFM_C102370CA",-0.617398550811902
"CAALFM_C102380CA",-0.427703478079151
"CAALFM_C102390WA",-0.861674779404115
"MNN11",-0.544248084484799
"CAALFM_C102410CA",0.284571194858784
"GSC1",-1.28827135344333
"CAALFM_C102430CA",-1.20187327799639
"CAALFM_C102440CA",1.13582296356445
"CAALFM_C102450CA",-0.998791687938308
"RPL10",-0.707299490922312
"CAALFM_C102470WA",0.809788596858369
"PMM1",-0.68438922101052
"CAALFM_C102490CA",-0.256331782486532
"CAALFM_C102500WA",0.251022921088476
"CAALFM_C102510WA",-0.195907215273956
"SCW4",-0.519825510596531
"DIP5",0.397958424661469
"tR(UCU)4",7.24209676191406
"PUT4",0.430953611408712
"HNM4",-0.533037663192545
"SNZ1",7.46281454955687
"SNO1",6.7598690215122
"IML1",0.962835403861722
"HOM6",0.539731719876011
"EXG2",0.438855713747003
"TOM20",-1.08775911850382
"CAALFM_C102650WA",-0.0750363411459185
"MGM101",-0.735596528225178
"CAALFM_C102670CA",-0.013773103820937
"CAALFM_C102680CA",0.28453412000076
"CAALFM_C102690CA",0.756805481369156
"CAALFM_C102700CA",5.07598644410682
"FRS2",-0.831504108295142
"CAALFM_C102720WA",0.00552475951254581
"CAALFM_C102730WA",1.19293086947637
"CAALFM_C102740CA",0.632875076954461
"CAALFM_C102750CA",-0.513403551926334
"CAALFM_C102760WA",0.0398972030564519
"CAALFM_C102770WA",0.373915595218368
"CAALFM_C102780WA",3.48082753107713
"TIF34",-1.29891042028428
"CAALFM_C102800WA",-0.744641447112524
"RAD16",-2.02862338248213
"LYS2",1.91582779765687
"CAALFM_C102830WA",0.345776437363098
"PDE2",-0.322477702554895
"CAALFM_C102850WA",-1.00027183921177
"YKT6",0.416574674326827
"YPT7",0.384759730449548
"MIA40",-0.830148460592418
"CAALFM_C102890CA",0.21249694677372
"CAALFM_C102900CA",-0.394635212628611
"CAALFM_C102910CA",1.56853563683453
"CDC73",-0.259594432077916
"MST1",-0.448505452036722
"CAALFM_C102940CA",-0.195547749679111
"CAALFM_C102950WA",0.458362637364043
"CAALFM_C102960CA",-0.0890101043412426
"CAALFM_C102970WA",2.10151348060358
"GOR1",4.05050564517339
"XOG1",-0.181723058315252
"HOL1",0.312099863238508
"RPP1A",-0.706011973272426
"RPL13",-0.767214717444585
"RPS16A",-0.606673474432481
"CAALFM_C103040WA",-0.625970905422261
"CAALFM_C103050WA",-0.0724169187354853
"TSR2",-1.23044122848929
"ORC1",0.0702945701452695
"TEM1",1.01451253055334
"RPS1",-0.829386449327293
"CAALFM_C103100WA",2.42574922393332
"RPL6",-0.790051962952734
"CAALFM_C103120WA",0.248373546187781
"GGA2",1.13393606852823
"CAALFM_C103140WA",2.32102810145655
"CAALFM_C103150CA",4.52447789369229
"COQ4",1.0444248764748
"CAALFM_C103170CA",1.14103015939801
"CAALFM_C103180WA",0.21942208417795
"ECM33",0.0733116462009735
"ARO80",0.146116555869572
"CDC12",0.119665397934615
"BMH1",0.52672040428898
"ARX1",-2.06928550525096
"CAALFM_C103240WA",0.418331624776275
"SPP1",-0.0626534240802366
"CAALFM_C103260WA",-0.734813959185628
"CAALFM_C103270WA",1.58762451742585
"CAALFM_C103280WA",-0.633163381556408
"NGG1",-0.130088169479222
"MAS1",-0.568783267157564
"CAALFM_C103310WA",-0.362262815817825
"EHD3",2.86661868264447
"CAALFM_C103330CA",0.530567398441205
"SEC62",-0.741677011230835
"RLI1",-1.53614184014669
"CAALFM_C103360WA",-0.190092208405551
"CAALFM_C103370WA",-2.28708248237094
"TPS2",2.2033234603495
"EHT1",-1.74507524284431
"CAALFM_C103400WA",0.0319665748234567
"CAALFM_C103410WA",0.144243482810395
"tN(GUU)3",0.495903116196184
"CAALFM_C103430WA",0.711217604541541
"CAALFM_C103440CA",-0.0744533515983834
"CAALFM_C103450CA",2.16592961512106
"CAALFM_C103460CA",-1.87120364100011
"CAALFM_C103470CA",-0.351118550466204
"AGE1",1.64505820330778
"CAALFM_C103490WA",2.83335400354339
"YPT1",-0.34251675137084
"CAALFM_C103510CA",4.04861320331103
"RPN3",-0.0755363832236703
"MED17",-0.587830937071682
"CAALFM_C103540CA",-0.156914635125293
"COQ6",0.760089754141221
"SUA71",-1.13953531469243
"tL(UAA)3",0.117706384286981
"CAALFM_C103580WA",0.304482568754767
"CAALFM_C103600WA",0.843348446919509
"IMP1",-0.098829377919662
"CAALFM_C103620CA",-0.547076144986659
"CAALFM_C103630WA",-0.870834067490534
"HFL1",-0.879620610762312
"MRPL27",-0.791166145737572
"CAALFM_C103660WA",1.14569492638204
"DAO1",4.26798630061115
"ENG1",0.915558101502309
"CAALFM_C103690WA",0.706076800778637
"tT(CGU)1",0.259181000559199
"MSB1",-0.28552235576939
"CAALFM_C103720CA",3.64529749824763
"MNS1",1.22574602041243
"WAR1",-0.329077260344643
"CAALFM_C103750WA",0.945737508254152
"STR2",-0.517334596551594
"SKO1",-1.0958227041287
"HMG1",-0.254925049517469
"CAALFM_C103790CA",-1.64976732826974
"RPP1",-0.856959831860289
"ELA1",-0.76234003782643
"PDR16",-0.777254930967312
"CAALFM_C103830CA",-1.06421634097362
"CAALFM_C103840WA",-0.707272438441247
"BNI4",-0.364740652265255
"CAALFM_C103870CA",-0.0366410499031366
"CAALFM_C103880CA",0.018511905094547
"CAALFM_C103890WA",-0.139748275659877
"SEN15",-0.442497870216593
"CAALFM_C103910CA",0.140545370422734
"CAALFM_C103920CA",0.24260501122393
"CAALFM_C103930WA",-0.133105797557964
"CAALFM_C103940WA",0.635593665843411
"CAALFM_C103950CA",0.694043933235578
"CAALFM_C103960CA",0.255403639725933
"SPC19",-0.173643257998827
"CAALFM_C103990WA",-0.0398537936127795
"KTR4",-0.375154828872316
"CAALFM_C104010CA",1.05484589761192
"CSH1",4.388005846483
"CAALFM_C104030WA",0.385903974691901
"CAALFM_C104040CA",-1.60447263243256
"MFALPHA",4.26322284613702
"IFI3",3.06311054895698
"BET4",0.856323235886815
"MAD2",0.358210053642797
"CAALFM_C104090CA",-0.841415341966541
"POR1",1.90511260928778
"CAALFM_C104110WA",-0.113165924012694
"CAALFM_C104120CA",0.513174645972166
"ERB1",-1.42490868493126
"IFD6",2.24757079765772
"CAALFM_C104150CA",0.317147088479694
"CAALFM_C104160CA",0.289580133543362
"HTA2",-0.384833009851062
"CAALFM_C104180WA",-0.0818853649408858
"CAALFM_C104190CA",0.253548153617118
"CAALFM_C104200CA",1.11632680715774
"CDC3",0.539380435051167
"CAALFM_C104220CA",0.708305245448035
"CAALFM_C104230WA",0.322700489268585
"HHF1",-0.420808125618947
"HHT21",-0.259793395873435
"CAALFM_C104270CA",-1.22644709825313
"CAALFM_C104280CA",0.237752943180387
"ACS2",0.981353557702288
"SSA2",0.877535360992183
"GIG1",1.38149369732073
"GPM2",2.64619076799092
"RPN4",-0.774585614655835
"CAALFM_C104340CA",0.131385776015696
"CAALFM_C104350CA",-0.585119348610066
"CAALFM_C104360CA",2.33021598912451
"CAALFM_C104370CA",-0.564822210135998
"SIT4",-0.72087070319799
"NOP4",-1.98722195873297
"APE2",0.728060414333484
"ESS1",-0.307487787490149
"URA6",0.109979155603632
"CAALFM_C104430CA",2.51232997323709
"CAALFM_C104440WA",NA
"FMA1",0.2776103830262
"CAALFM_C104460CA",1.76768234785474
"CAALFM_C104470CA",-0.258594174241817
"TUS1",2.44860465989409
"CAALFM_C104490WA",-0.868061393987874
"ICL1",2.46262855794325
"CAALFM_C104510WA",-0.79374011755867
"PHO85",0.50855416135552
"CAALFM_C104530CA",-0.699966751026089
"VPS16",1.12134445683729
"ELC1",0.356655865589961
"CAALFM_C104560WA",2.90872034769994
"CHL4",-0.171091271060996
"CAALFM_C104580CA",0.0295370735898087
"CAALFM_C104590WA",1.60223732772044
"CAALFM_C104600CA",-0.744828760767343
"ATP1",0.235725142935409
"CAALFM_C104620WA",-0.115324035389545
"CAALFM_C104630CA",-0.257873046249476
"CAALFM_C104640WA",3.03270650142505
"DUR3",-0.173535656447527
"DUR1%2C2",-0.524830287540985
"HAT1",0.112003025969748
"PIL1",3.28635638109232
"CAALFM_C104690CA",-0.0851718586930548
"CAALFM_C104700CA",1.94077279120534
"CAALFM_C104710CA",-1.15978674537019
"CAALFM_C104720WA",0.0298332572131458
"LYS21",-0.658315363538913
"LPG20",4.64369218360584
"IFE1",-0.613141470962265
"SYG1",-0.0445231294518169
"ERG3",0.133219836508627
"CAALFM_C104780CA",0.19203265561102
"CAALFM_C104790WA",-0.269212853655539
"CAALFM_C104800CA",1.27151349318666
"TCO89",0.507620630305441
"CAALFM_C104820CA",-0.918275074928713
"SEC21",-0.378222998349115
"CAALFM_C104840CA",-0.366410387463168
"CAALFM_C104850CA",-0.558452728894221
"CAALFM_C104860WA",1.03338439906502
"SAP7",-1.77012039664111
"MRPL37",-0.656063731248638
"YBN5",-1.0365337041028
"MNN15",0.532154661477163
"CAALFM_C104910CA",0.8459597151968
"CAALFM_C104930CA",2.14385565720692
"CAALFM_C104940CA",-1.00165524051384
"RPM2",-0.402364053229246
"CAALFM_C104960CA",0.463790703495803
"CAALFM_C104970WA",-1.01413505502937
"CAALFM_C104980CA",-0.265420388743686
"CAALFM_C104990CA",0.433873053602738
"RHD1",-4.29775128464585
"CAALFM_C105010CA",0.358323972753577
"ARG2",0.790400523856081
"PSF2",-0.478200433125345
"RRP6",-1.47756975492564
"REI1",-1.52354139165852
"GPI7",1.11060388326082
"GPT1",0.0431377174924989
"TRY2",-0.615180621045411
"CAALFM_C105100WA",-0.373448094052492
"ARO4",-1.29733917168221
"CAALFM_C105120WA",0.442341507307955
"BRG1",2.04674477130469
"CAALFM_C105150CA",1.6820160182244
"CAALFM_C105160CA",8.42381519919659
"CUE5",2.82395740264382
"CAALFM_C105180CA",-0.156204246227449
"CAALFM_C105190CA",-0.178612927963132
"CAALFM_C105200CA",0.341825902855787
"CAALFM_C105210CA",-0.809347754738929
"CAALFM_C105220CA",-1.39934734607662
"CAALFM_C105230WA",-0.139250069781019
"RPT1",-0.507942527933981
"CAALFM_C105250WA",NA
"SDH1",0.350979028938262
"CAALFM_C105270CA",-0.833020982018338
"CAALFM_C105280WA",0.416649434481503
"GRS1",-0.975336628754782
"PRD1",4.5991579928247
"tP(UGG)1",0.72429418061145
"CAALFM_C105320CA",-0.0211394394764688
"CAALFM_C105330CA",-0.712746931605982
"ZCF2",-0.577770438529203
"YPT53",0.0608798782500315
"CAALFM_C105360CA",-1.12350580634847
"CAALFM_C105370CA",1.30373989916422
"CAALFM_C105380CA",-1.4328412370309
"CAALFM_C105390CA",-0.376448977260116
"CAALFM_C105400CA",0.358653473601965
"TRP99",2.92375145593357
"CAALFM_C105420WA",0.0663338589342349
"SPT20",0.125935203023969
"CAALFM_C105440CA",2.12582248392737
"CAALFM_C105450WA",NA
"KOG1",0.164043307840639
"MTM1",-0.854806585820605
"CAALFM_C105480CA",-1.02349446933931
"CAALFM_C105490CA",0.293590279751547
"RSM22",-1.45380188865753
"RPS27A",0.343936372256507
"CAALFM_C105520WA",1.11913614329381
"SSH1",-0.25797323984737
"CAALFM_C105540CA",0.260476530172956
"CAALFM_C105550CA",0.473017455233701
"RIB4",3.61231293533655
"tN(GUU)2",0.102011736985126
"tN(GUU)1",0.720840940802383
"tT(AGU)1",-0.0314253561332449
"GSL1",0.531942621789855
"CAALFM_C105610WA",0.216779750977802
"STE3",-0.966000136541238
"CAALFM_C105630CA",-1.73817242717019
"FAL1",-1.367558237461
"CAALFM_C105650WA",-0.788214627597991
"CAALFM_C105660CA",-0.720828671774244
"CAALFM_C105670WA",2.11331095826515
"RIM1",1.2657053303568
"CAALFM_C105690CA",0.2202738205742
"AUT7",3.38510595245104
"UGA4",0.117664281748225
"CAALFM_C105720WA",-1.345888100769
"CAALFM_C105730WA",-1.05300534339301
"CAALFM_C105740CA",-0.607592804742682
"CAALFM_C105750CA",-0.168752703125088
"PGA26",2.93313978026771
"PRC3",3.32659601321924
"CAALFM_C105780WA",-0.644546448253219
"CAALFM_C105790WA",0.11359236883601
"CAALFM_C105800CA",-0.137285059866392
"GIM5",0.0688660196950424
"RAD10",-0.0246685716015207
"CAALFM_C105830WA",0.80749278247601
"PRN1",0.220128709984392
