"","condition_YL3_vs_ctl"
"CAALFM_C101890CA",-0.608540984996111
"CAALFM_C101900CA",-0.327111707218383
"CAALFM_C101910WA",-0.804066207279022
"ROA1",-1.01683053948624
"CAALFM_C101930WA",0.983510257292038
"CAALFM_C101940CA",0.00565362442142993
"CAALFM_C101950CA",1.18660596337605
"CAALFM_C101970WA",-0.492524329107505
"HGT1",1.92111432974524
"HSP30",0.121721323820368
"CAALFM_C102000WA",0.352538474254715
"ZCF24",1.47418070946515
"CAALFM_C102020WA",1.07890368825945
"CAALFM_C102030CA",0.388888143929047
"CAALFM_C102040CA",2.29368980522186
"PHO91",-0.410403938874143
"CAALFM_C102060WA",4.45641298775786
"HSP31",0.270267802219132
"SET6",-0.8591291257084
"CAALFM_C102090CA",-0.751345641168042
"CAALFM_C102100WA",0.0581954477685875
"HGT2",2.55511308763457
"SHA3",-0.782948793970212
"GAL1",2.39363968978566
"GAL10",2.33784269961289
"CAALFM_C102160WA",0.27708029325792
"GAL102",0.54273376001771
"GAL7",0.397088471471196
"ABP140",-1.09731312534167
"CAALFM_C102200CA",0.561734961080812
"CAALFM_C102210WA",0.638427305337377
"CAALFM_C102220CA",0.445956643590543
"SEP7",-0.442426156944221
"CAALFM_C102240WA",-0.535488077869135
"CWH8",-0.162136103011355
"AGE3",0.786778099835305
"CAALFM_C102270CA",1.83285273728617
"PSY2",-0.511867223800206
"CAALFM_C102290CA",0.853587216959539
"CAALFM_C102300WA",0.410466856968726
"CAALFM_C102310CA",0.26112686056891
"CAALFM_C102320CA",0.798023961309947
"CAALFM_C102330CA",0.326877250926472
"tR(CCG)1",-0.267880316342637
"TIM21",0.863943393032743
"PGA5",0.536812352408366
"CAALFM_C102370CA",-0.941319700061627
"CAALFM_C102380CA",-0.442023303331376
"CAALFM_C102390WA",-1.09819430758921
"MNN11",-0.330768733715139
"CAALFM_C102410CA",0.541333456275682
"GSC1",-1.35361673721579
"CAALFM_C102430CA",-0.418814791721541
"CAALFM_C102440CA",1.53628697053129
"CAALFM_C102450CA",-0.126691298621533
"RPL10",0.000728522044692031
"CAALFM_C102470WA",0.33665537964722
"PMM1",-0.389791526730021
"CAALFM_C102490CA",0.43731164064732
"CAALFM_C102500WA",0.016585870536919
"CAALFM_C102510WA",-0.356560574621127
"SCW4",-2.29622535301022
"DIP5",0.118415455633202
"tR(UCU)4",-0.178792126160122
"PUT4",-0.125836653201051
"HNM4",-1.76254025107305
"SNZ1",7.33461750076269
"SNO1",6.86906261617788
"IML1",0.762662750064744
"HOM6",1.25058028924772
"EXG2",-1.01954934393901
"TOM20",-0.256683269500782
"CAALFM_C102650WA",0.546949206422229
"MGM101",-0.0870237844467902
"CAALFM_C102670CA",-1.00183562645248
"CAALFM_C102680CA",-0.972994518140645
"CAALFM_C102690CA",-0.0321127114779474
"CAALFM_C102700CA",2.93333598391379
"FRS2",-0.346016033796061
"CAALFM_C102720WA",0.182059171391248
"CAALFM_C102730WA",0.338587696508439
"CAALFM_C102740CA",0.242431969993476
"CAALFM_C102750CA",-0.154014151306171
"CAALFM_C102760WA",0.170465776151358
"CAALFM_C102770WA",0.186268291278422
"CAALFM_C102780WA",3.16082866203856
"TIF34",-0.624276900120174
"CAALFM_C102800WA",-1.58314316915648
"RAD16",-2.45298752121067
"LYS2",3.02803832688102
"CAALFM_C102830WA",0.474517086063895
"PDE2",-0.454003799837472
"CAALFM_C102850WA",-0.622689666182618
"YKT6",0.345108656185165
"YPT7",0.285924418208588
"MIA40",0.347094070130202
"CAALFM_C102890CA",0.297441798569239
"CAALFM_C102900CA",-0.404726278208549
"CAALFM_C102910CA",1.29821319416922
"CDC73",0.39368599973529
"MST1",0.329611214651161
"CAALFM_C102940CA",-0.329642659431023
"CAALFM_C102950WA",-0.140051164949195
"CAALFM_C102960CA",-0.00442012470961847
"CAALFM_C102970WA",2.89637760357506
"GOR1",4.38709811066704
"XOG1",-2.38402308112178
"HOL1",-0.174779835008816
"RPP1A",0.126197759448333
"RPL13",0.0720502307450733
"RPS16A",0.0987684621794549
"CAALFM_C103040WA",-0.733695187620426
"CAALFM_C103050WA",-0.112103443558357
"TSR2",-0.696743136186558
"ORC1",0.197464834653983
"TEM1",0.929282712465274
"RPS1",-0.0328572949484648
"CAALFM_C103100WA",1.89288116643411
"RPL6",-0.0487308362774805
"CAALFM_C103120WA",-0.650240668997909
"GGA2",1.16702944006405
"CAALFM_C103140WA",2.06541510244183
"CAALFM_C103150CA",3.93159619318648
"COQ4",1.22589028801847
"CAALFM_C103170CA",0.364569130094367
"CAALFM_C103180WA",0.442061767345094
"ECM33",-0.331149831358102
"ARO80",0.286329061397586
"CDC12",-0.493881280646865
"BMH1",0.735569530056883
"ARX1",-1.27991456591471
"CAALFM_C103240WA",0.82059226030513
"SPP1",-0.339590776972116
"CAALFM_C103260WA",-1.04477919011231
"CAALFM_C103270WA",-0.0382066513612441
"CAALFM_C103280WA",0.196365871972903
"NGG1",-0.259837641483345
"MAS1",0.152787972906759
"CAALFM_C103310WA",-0.0873198827759004
"EHD3",0.767470284619115
"CAALFM_C103330CA",-0.274747573980463
"SEC62",-0.998625920876443
"RLI1",-0.938266319141694
"CAALFM_C103360WA",0.21336695273128
"CAALFM_C103370WA",-1.04542918448747
"TPS2",1.10400174501068
"EHT1",-1.18590914920756
"CAALFM_C103400WA",-0.126829884881798
"CAALFM_C103410WA",0.258527580636203
"tN(GUU)3",0.506630032920371
"CAALFM_C103430WA",0.660713442820298
"CAALFM_C103440CA",0.075497123937097
"CAALFM_C103450CA",1.37515769489618
"CAALFM_C103460CA",-0.909144929701194
"CAALFM_C103470CA",-1.37967227124692
"AGE1",1.20128342535189
"CAALFM_C103490WA",2.12985928979768
"YPT1",-0.46681917036498
"CAALFM_C103510CA",3.03243063186056
"RPN3",0.163541336424685
"MED17",-0.333958236164386
"CAALFM_C103540CA",-0.233341284892148
"COQ6",0.980147827025463
"SUA71",-0.906095432002648
"tL(UAA)3",-0.0110381049440032
"CAALFM_C103580WA",-0.107435450502717
"CAALFM_C103600WA",0.649504966662095
"IMP1",-0.065374336217882
"CAALFM_C103620CA",0.524020621397371
"CAALFM_C103630WA",-0.777185207067457
"HFL1",-0.703155627167048
"MRPL27",-0.140849468864284
"CAALFM_C103660WA",0.498094235829013
"DAO1",4.28172571731914
"ENG1",1.20734196261208
"CAALFM_C103690WA",0.851354342084435
"tT(CGU)1",-0.0384189882473912
"MSB1",-0.686487557567863
"CAALFM_C103720CA",2.69429241360488
"MNS1",1.04698360345329
"WAR1",-0.13761934105961
"CAALFM_C103750WA",0.404028090945664
"STR2",-0.0334834114991373
"SKO1",-0.618853564998912
"HMG1",-0.0527436622554406
"CAALFM_C103790CA",-0.927132229975059
"RPP1",-0.592606224126808
"ELA1",-0.485576380845258
"PDR16",-1.5165290482835
"CAALFM_C103830CA",-0.545186623339954
"CAALFM_C103840WA",-0.0347094737132643
"BNI4",-0.779652617040448
"CAALFM_C103870CA",-1.14520765365858
