"","condition_RL30_vs_ctl"
"CAALFM_C100020CA",0.507178217031516
"CAALFM_C100030CA",1.22906629745268
"CTA2",3.50040707855056
"TUP1",0.537753225285785
"MVD",0.0483894230039106
"RCA1",-0.480112142900176
"CAALFM_C100090WA",-0.369500277711095
"CAALFM_C100100CA",-0.442169162252299
"CCT8",-0.486744787471661
"TRP1",-0.33394110023003
"VPS53",0.547684172427719
"KEL1",0.828854692758794
"RIM8",-0.216420577183005
"CAALFM_C100160CA",-1.55662510816952
"LEU4",-0.133500859026981
"RPL16A",-0.40642885880695
"CAALFM_C100190CA",-0.929599826554303
"CAALFM_C100200CA",-0.107525169703848
"CAALFM_C100210CA",0.925263252962872
"PHR2",-3.30052333831459
"BFA1",0.661797703282114
"tT(AGU)6",-0.2531878148678
"CAALFM_C100270WA",0.11482082157863
"RFC52",NA
"POL93",0.112900762125848
"CAALFM_C100310WA",1.40168988758348
"CAALFM_C100320WA",0.569461985139808
"CAALFM_C100330CA",-0.108606592232963
"HBR1",-0.772514359826253
"HMX1",-2.74902133616185
"CDC13",-0.260236849507302
"CAALFM_C100370WA",-0.162105293628805
"CAALFM_C100380CA",0.0376633065035025
"ENA2",3.76752371616379
"SVF1",-0.636227589856803
"CAALFM_C100410CA",2.50599244314056
"CAALFM_C100420WA",3.08847003855833
"CAALFM_C100430WA",0.153414007394699
"UBP6",-0.174885220227742
"CAALFM_C100450CA",0.140699971826423
"CAALFM_C100460WA",0.161796818186375
"CAALFM_C100470CA",-0.465143487653668
"GCN20",-0.44183403983924
"TTR1",-0.333273164290947
"GLO1",0.640166549114859
"CAALFM_C100510WA",-0.595170707061635
"CAALFM_C100520WA",-0.0354470438929097
"CAALFM_C100530CA",1.63817398598519
"CAALFM_C100540CA",-0.769009258803769
"CIS2",0.169011169788557
"CNS1",-0.982151546505442
"CAALFM_C100570CA",-0.0537994978628567
"CAALFM_C100580WA",1.24667248630017
"TUF1",-0.705837542330798
"APC1",0.110929536233876
"PSD1",0.024014910645216
"MOB2",0.235403209092532
"CAALFM_C100630WA",1.68457332161366
"RPO41",-1.04327450019419
"SNF7",0.0139800159101426
"CAALFM_C100660CA",0.186908884881774
"UGA32",2.40818116512213
"ASM3",0.429215757763218
"RIC1",2.1166984549314
"CAALFM_C100700WA",-0.0946789409083944
"TUB2",-0.268802472538834
"tP(UGG)3",-0.216853130596877
"CMP1",0.379921968176415
"SPE1",-0.286459770263012
"VPS27",0.685258637143474
"CAALFM_C100760WA",0.434411773756569
"ROT1",-0.0198524039592062
"HGC1",4.31571507409195
"CAALFM_C100790WA",-0.582863204742179
"ERG2",-0.00181228602301898
"CAALFM_C100810WA",0.403562847324728
"CAALFM_C100820WA",0.827511129587067
"CAALFM_C100830WA",0.754198514942111
"NRM1",-0.884882266889295
"IHD2",-0.116012059230337
"CAALFM_C100860WA",-0.405593354996574
"LRO1",0.440814982736107
"CAALFM_C100880WA",4.49911832270087
"CAALFM_C100890WA",0.393482263854128
"RRS1",-0.982758397321217
"CAALFM_C100910WA",-0.338198303251625
"CAALFM_C100920WA",0.967130291030641
"SIN3",-0.214074033831717
"RPB11",-0.216832931997872
"CDC5",-0.278514657148891
"SET1",-0.300280256247199
"CAALFM_C100970WA",-0.169555283793075
"CAALFM_C100980WA",-0.281446464431608
"NMA111",-1.16209495517223
"CAALFM_C101000CA",0.242169933118688
"CAALFM_C101010WA",-0.245024246725075
"tA(AGC)4",-0.00347435434542392
"HMT1",-1.39346532208734
"CAALFM_C101040WA",0.282343721268347
"CAALFM_C101050CA",0.354656980475398
"MBF1",0.353215476724665
"CAALFM_C101070CA",-0.397394738903351
"CAALFM_C101080WA",-0.567536570761438
"CAALFM_C101090CA",-0.461469974457792
"CCH1",0.110840977160462
"ZPR1",-1.13649179105536
"CAALFM_C101130WA",-0.465650914956901
"CAALFM_C101140CA",1.10235153954356
"CAALFM_C101150CA",-0.998106217673064
"CAALFM_C101160CA",-0.889674799537483
