"","condition_SL30_vs_ctl"
"CAALFM_C100020CA",0.914105037804325
"CAALFM_C100030CA",1.45028982675957
"CTA2",2.7428082284587
"TUP1",1.00207764616102
"MVD",-0.319060496816643
"RCA1",-0.39615341928446
"CAALFM_C100090WA",-0.515016321453707
"CAALFM_C100100CA",-0.540404632062142
"CCT8",-0.509560627144503
"TRP1",-0.685064848742718
"VPS53",1.20565407348326
"KEL1",1.97505758143482
"RIM8",-0.0967759333867929
"CAALFM_C100160CA",-4.003268552172
"LEU4",-3.76243159485694
"RPL16A",-1.16956490249198
"CAALFM_C100190CA",0.698662965504183
"CAALFM_C100200CA",0.89627582148405
"CAALFM_C100210CA",1.45009923968851
"PHR2",-4.39327960105244
"BFA1",0.907716361807531
"tT(AGU)6",-0.0501726595568664
"CAALFM_C100270WA",0.0328290147078721
"RFC52",NA
"POL93",0.0868775214089877
"CAALFM_C100310WA",2.36610656393663
"CAALFM_C100320WA",0.623089616020741
"CAALFM_C100330CA",-0.239088064388679
"HBR1",-1.80067722056536
"HMX1",-2.26014578127751
"CDC13",0.113486687100038
"CAALFM_C100370WA",-0.50031721646239
"CAALFM_C100380CA",-0.066984317558917
"ENA2",2.85397357350288
"SVF1",-0.515485369902681
"CAALFM_C100410CA",4.80148631473302
"CAALFM_C100420WA",4.58674418082914
"CAALFM_C100430WA",0.944119656112295
"UBP6",0.135671435770022
"CAALFM_C100450CA",0.0701281416788677
"CAALFM_C100460WA",0.387035501459904
"CAALFM_C100470CA",-1.1340945429066
"GCN20",-0.72891504718337
"TTR1",-0.464273596021527
"GLO1",1.18979580065386
"CAALFM_C100510WA",-0.638685297590942
"CAALFM_C100520WA",-0.678255452234274
"CAALFM_C100530CA",2.19042172448015
"CAALFM_C100540CA",-0.729931607987695
"CIS2",1.00813555864797
"CNS1",-2.21060001372124
"CAALFM_C100570CA",0.266766231116778
"CAALFM_C100580WA",2.29010430349746
"TUF1",-0.514200856953264
"APC1",0.404146746402919
"PSD1",0.958752054051152
"MOB2",0.613780092589468
"CAALFM_C100630WA",2.83241375789848
"RPO41",-1.76641826848341
"SNF7",0.0853754140473023
"CAALFM_C100660CA",0.700735954703314
"UGA32",4.08569204851113
"ASM3",1.67587667803576
"RIC1",2.8672891870872
"CAALFM_C100700WA",-0.140498836421633
"TUB2",-0.424288192292687
"tP(UGG)3",-0.567351481214981
"CMP1",0.734731460684044
"SPE1",-1.00782750957182
"VPS27",1.54120506668072
"CAALFM_C100760WA",0.464038719445581
"ROT1",-0.500950657580507
"HGC1",4.95256143789269
"CAALFM_C100790WA",0.0992184168536576
"ERG2",-0.174378785886657
"CAALFM_C100810WA",-0.392337628784513
"CAALFM_C100820WA",0.702713963411629
"CAALFM_C100830WA",1.60501997689965
"NRM1",-1.86493017024001
"IHD2",-0.521113451223374
"CAALFM_C100860WA",-0.0593518969539031
"LRO1",0.529184396145306
"CAALFM_C100880WA",4.22772547468534
"CAALFM_C100890WA",0.693948368648371
"RRS1",-3.09352496909485
"CAALFM_C100910WA",-0.976946788572123
"CAALFM_C100920WA",1.28460547078387
"SIN3",-0.121136204055898
"RPB11",-0.513814783855347
"CDC5",-1.02177914464107
"SET1",-0.338559700823337
"CAALFM_C100970WA",-0.177245700080047
"CAALFM_C100980WA",-0.341977378859204
"NMA111",-2.02125264146838
"CAALFM_C101000CA",0.398943018859932
"CAALFM_C101010WA",0.0472477655139924
"tA(AGC)4",0.0356890410727043
"HMT1",-2.86463133619239
"CAALFM_C101040WA",0.75806470843748
"CAALFM_C101050CA",0.135097403417921
"MBF1",0.514967469737588
"CAALFM_C101070CA",-0.561981615639293
"CAALFM_C101080WA",-0.440044224251225
"CAALFM_C101090CA",-0.604190601147067
"CCH1",0.131011315984071
"ZPR1",-2.85431073318316
"CAALFM_C101130WA",-0.575644066680355
"CAALFM_C101140CA",-0.0229535286551287
"CAALFM_C101150CA",-2.13760404802801
"CAALFM_C101160CA",-1.99974369275755
"ZCF17",-1.01087037666326
"CAALFM_C101180CA",0.0349777809731004
"CAALFM_C101190CA",1.40384736810112
"STB5",2.06172899366214
"CAALFM_C101210WA",-0.261499189358356
"CAALFM_C101220CA",0.139157616016721
"IFD3",4.79557655799328
"CAALFM_C101250WA",0.99830757348166
