"","condition_LS3_vs_ctl"
"CAALFM_C101890CA",-0.642948352764823
"CAALFM_C101900CA",-0.225628781907615
"CAALFM_C101910WA",-0.939320676419143
"ROA1",-2.45494556069164
"CAALFM_C101930WA",3.33328650630294
"CAALFM_C101940CA",-0.0675848234766874
"CAALFM_C101950CA",1.06506888332033
"CAALFM_C101970WA",-2.88604301060506
"HGT1",5.06493019661995
"HSP30",0.457285687490157
"CAALFM_C102000WA",0.0160489978793694
"ZCF24",1.41601056612646
"CAALFM_C102020WA",1.64716187126889
"CAALFM_C102030CA",0.364371787148779
"CAALFM_C102040CA",1.20707340244749
"PHO91",0.445985200353336
"CAALFM_C102060WA",4.01804650731042
"HSP31",0.0105972479158824
"SET6",-0.520067398405109
"CAALFM_C102090CA",-0.375575096183559
"CAALFM_C102100WA",0.337928626446226
"HGT2",2.46726397714896
"SHA3",0.662292012404746
"GAL1",2.64764920664198
"GAL10",3.17552476792574
"CAALFM_C102160WA",0.582517956104513
"GAL102",0.701421050012801
"GAL7",0.187696989833754
"ABP140",-0.788524234011505
"CAALFM_C102200CA",1.23546541013586
"CAALFM_C102210WA",0.984388303007679
"CAALFM_C102220CA",0.417657478186025
"SEP7",-0.475393089738221
"CAALFM_C102240WA",-0.514304144576301
"CWH8",1.21642859026032
"AGE3",0.116411857659986
"CAALFM_C102270CA",1.76435822495947
"PSY2",-0.453639539056053
"CAALFM_C102290CA",0.353593423436863
"CAALFM_C102300WA",-0.113691191645486
"CAALFM_C102310CA",0.255597696491524
"CAALFM_C102320CA",0.576324525474986
"CAALFM_C102330CA",-0.398778142716431
"tR(CCG)1",1.00322592635538
"TIM21",0.277698372042063
"PGA5",-0.220740500782552
"CAALFM_C102370CA",-1.09185998656796
"CAALFM_C102380CA",-0.738638115855267
"CAALFM_C102390WA",-1.13221787870603
"MNN11",-1.01147255153094
"CAALFM_C102410CA",-0.0594353717575566
"GSC1",-0.984447703588475
"CAALFM_C102430CA",-0.816753555002357
"CAALFM_C102440CA",1.2248280429332
"CAALFM_C102450CA",-0.482157132326884
"RPL10",-0.259861243972615
"CAALFM_C102470WA",0.431542002702937
"PMM1",-0.72491066039196
"CAALFM_C102490CA",-0.168450917564236
"CAALFM_C102500WA",-0.395019164785017
"CAALFM_C102510WA",-0.482739387572691
"SCW4",-0.789504783528981
"DIP5",-0.181099691900354
"tR(UCU)4",0.0391984291435796
"PUT4",0.126745882266937
"HNM4",-0.0588788669780288
"SNZ1",9.42988300819155
"SNO1",8.14135499352597
"IML1",1.0465653539447
"HOM6",1.02725628464286
"EXG2",-0.688166560510882
"TOM20",-0.801844227745417
"CAALFM_C102650WA",0.0148066612956342
"MGM101",-0.333704389153408
"CAALFM_C102670CA",0.27538860497455
"CAALFM_C102680CA",-0.334264837967662
"CAALFM_C102690CA",0.946339246200542
"CAALFM_C102700CA",4.48441677857616
"FRS2",-0.340558231552797
"CAALFM_C102720WA",0.0112257596976217
"CAALFM_C102730WA",0.559180633822848
"CAALFM_C102740CA",0.176802859856422
"CAALFM_C102750CA",-0.535185536207627
"CAALFM_C102760WA",0.0700107646851501
"CAALFM_C102770WA",0.546353194698089
"CAALFM_C102780WA",3.68512255435364
"TIF34",-0.772003352833159
"CAALFM_C102800WA",-0.648923512048338
"RAD16",-2.014851706445
"LYS2",2.91560620949453
"CAALFM_C102830WA",0.276969383830207
"PDE2",0.515561515728262
"CAALFM_C102850WA",-0.478624794173928
"YKT6",0.292280584794695
"YPT7",0.335409829782569
"MIA40",-0.524647636823727
"CAALFM_C102890CA",-0.042578062824499
"CAALFM_C102900CA",0.0188296452854128
"CAALFM_C102910CA",1.61163022030362
"CDC73",-0.130735352776651
"MST1",-0.0752369078858257
"CAALFM_C102940CA",-0.381956457763921
"CAALFM_C102950WA",0.224563283060543
"CAALFM_C102960CA",-0.124652658367048
"CAALFM_C102970WA",2.98364480042106
"GOR1",4.27853001985299
"XOG1",-0.529936201509743
"HOL1",0.597902501594034
"RPP1A",-0.361508356591158
"RPL13",-0.381474170675246
"RPS16A",-0.162619779311713
"CAALFM_C103040WA",-0.112590204219345
"CAALFM_C103050WA",0.139601611372374
"TSR2",-0.453537921443505
"ORC1",-0.00417779012842412
"TEM1",0.82295062910983
