"","condition_YS30_vs_ctl"
"CAALFM_C100020CA",0.129933015821897
"CAALFM_C100030CA",0.255025908509833
"CTA2",0.0386237871954991
"TUP1",0.242708471190658
"MVD",0.154411606636113
"RCA1",-0.0208043642555493
"CAALFM_C100090WA",-0.0793811034448545
"CAALFM_C100100CA",-0.661439060873333
"CCT8",-0.118767703867204
"TRP1",-0.117331718670577
"VPS53",0.107894320785615
"KEL1",0.165913837241583
"RIM8",-0.447391842804339
"CAALFM_C100160CA",-0.25278353384041
"LEU4",-1.85725659389701
"RPL16A",0.277572555584517
"CAALFM_C100190CA",-0.920936171138668
"CAALFM_C100200CA",1.04460084994171
"CAALFM_C100210CA",0.526034323967227
"PHR2",-0.299501646439235
"BFA1",0.0343656061682272
"tT(AGU)6",-0.323517439525398
"CAALFM_C100270WA",0.0128655053410607
"RFC52",NA
"POL93",-0.286555621385888
"CAALFM_C100310WA",0.891404412397616
"CAALFM_C100320WA",-0.0699430889383936
"CAALFM_C100330CA",-0.224193154446411
"HBR1",-0.162666644319031
"HMX1",0.398987362918695
"CDC13",-0.0555521879012913
"CAALFM_C100370WA",0.0863647125036668
"CAALFM_C100380CA",0.221453661043658
"ENA2",0.577364454498592
"SVF1",-0.462821121691118
"CAALFM_C100410CA",0.948790358840281
"CAALFM_C100420WA",3.17547241449491
"CAALFM_C100430WA",0.162531827959143
"UBP6",0.330449506836244
"CAALFM_C100450CA",0.510973087689477
"CAALFM_C100460WA",0.151454325551709
"CAALFM_C100470CA",-0.160142541165065
"GCN20",-0.331855301555235
"TTR1",0.710491550610728
"GLO1",1.03720864887623
"CAALFM_C100510WA",0.0720271459472822
"CAALFM_C100520WA",-0.428830303468952
"CAALFM_C100530CA",1.28132396320409
"CAALFM_C100540CA",-0.775513003398482
"CIS2",-0.00508739404435444
"CNS1",-0.662556792445144
"CAALFM_C100570CA",-0.0416267373475546
"CAALFM_C100580WA",1.43074854536864
"TUF1",-0.282204105845903
"APC1",-0.422083555814363
"PSD1",0.794292644206073
"MOB2",0.0826635747586669
"CAALFM_C100630WA",0.460614965046972
"RPO41",-0.954953370323914
"SNF7",-0.280935127825171
"CAALFM_C100660CA",0.242299025058537
"UGA32",1.20338839718993
"ASM3",-0.468108361752696
"RIC1",1.29731467340527
"CAALFM_C100700WA",0.475696520001166
"TUB2",0.294180698709622
"tP(UGG)3",0.0741425190353819
"CMP1",0.0764139753443612
"SPE1",-0.0206216303876376
"VPS27",0.689742559459597
"CAALFM_C100760WA",0.448472468470863
"ROT1",-0.233292355163085
"HGC1",0.20103647820909
"CAALFM_C100790WA",0.3451080820209
"ERG2",-0.212439452847214
"CAALFM_C100810WA",-0.221974530457187
"CAALFM_C100820WA",0.636596963378022
"CAALFM_C100830WA",0.793178932961701
"NRM1",0.0274225363349954
"IHD2",-0.325144370328145
"CAALFM_C100860WA",-0.0311938413712429
"LRO1",-0.27126485790303
"CAALFM_C100880WA",-0.229423224120249
"CAALFM_C100890WA",0.479740659639904
"RRS1",-0.250069969937235
"CAALFM_C100910WA",-0.581184518713207
"CAALFM_C100920WA",0.441945796318245
"SIN3",-0.193288914381308
"RPB11",0.24260213088628
"CDC5",-0.0706776348137615
"SET1",-0.721732268413254
"CAALFM_C100970WA",-0.247185961234915
"CAALFM_C100980WA",-0.260067882487158
"NMA111",-0.517867160446854
"CAALFM_C101000CA",0.330405558573467
"CAALFM_C101010WA",0.0379363358970661
"tA(AGC)4",0.00259583566251137
"HMT1",-0.178259524376777
"CAALFM_C101040WA",-0.786448108649266
"CAALFM_C101050CA",0.281036687855187
"MBF1",0.219784861924002
"CAALFM_C101070CA",-0.256483370223692
"CAALFM_C101080WA",0.271498823283836
"CAALFM_C101090CA",0.204602983205368
"CCH1",-0.0262500239441207
"ZPR1",-0.375551710999861
"CAALFM_C101130WA",-0.371858800468636
"CAALFM_C101140CA",0.351537804150553
