"","condition_LS30_vs_ctl"
"CAALFM_C100020CA",-0.0278989881791477
"CAALFM_C100030CA",2.12692738769219
"CTA2",2.23569879591695
"TUP1",0.205915910120543
"MVD",-0.828960882166108
"RCA1",-0.0835356629000134
"CAALFM_C100090WA",-0.426359890505019
"CAALFM_C100100CA",-2.25253630442948
"CCT8",-1.62686859396314
"TRP1",-0.751931460349436
"VPS53",0.543600811647279
"KEL1",0.38091290443731
"RIM8",-0.886528575964218
"CAALFM_C100160CA",-3.04342287047222
"LEU4",0.518364590879921
"RPL16A",-0.915639780817305
"CAALFM_C100190CA",2.01329778712589
"CAALFM_C100200CA",0.583835838379445
"CAALFM_C100210CA",0.960745917986668
"PHR2",-2.86865644436545
"BFA1",-0.171095563252739
"tT(AGU)6",0.056729456939044
"CAALFM_C100270WA",0.423427106913475
"RFC52",NA
"POL93",-0.111798179407265
"CAALFM_C100310WA",3.39001950317035
"CAALFM_C100320WA",0.318318346727901
"CAALFM_C100330CA",-0.481198155101178
"HBR1",-1.16083151628672
"HMX1",-0.986158893418619
"CDC13",-1.65187580802259
"CAALFM_C100370WA",0.786370170183864
"CAALFM_C100380CA",0.676202906558114
"ENA2",2.69297183700502
"SVF1",-1.5369824873597
"CAALFM_C100410CA",3.81433416343366
"CAALFM_C100420WA",5.83294390066378
"CAALFM_C100430WA",0.678369133495103
"UBP6",0.807867593762128
"CAALFM_C100450CA",0.206447995077957
"CAALFM_C100460WA",0.187789264487233
"CAALFM_C100470CA",-0.998458990603729
"GCN20",-1.80562389286646
"TTR1",1.99277307690884
"GLO1",2.40371441407284
"CAALFM_C100510WA",-0.532864121143138
"CAALFM_C100520WA",-0.796637521285121
"CAALFM_C100530CA",1.63479964470997
"CAALFM_C100540CA",-2.72926079628106
"CIS2",-0.917381418085827
"CNS1",-2.56817030455027
"CAALFM_C100570CA",-0.265859170334926
"CAALFM_C100580WA",3.63446790139174
"TUF1",-1.93018509576246
"APC1",-0.646483998973927
"PSD1",0.836428388900693
"MOB2",-0.57575111363874
"CAALFM_C100630WA",2.1566454841307
"RPO41",-3.0339154364049
"SNF7",0.0120591389086702
"CAALFM_C100660CA",0.230543212035923
"UGA32",2.96344139533045
"ASM3",-0.329680182206561
"RIC1",2.71632663251907
"CAALFM_C100700WA",0.877311849654886
"TUB2",-0.383155012852878
"tP(UGG)3",0.0680215569449138
"CMP1",-0.474627899735884
"SPE1",-1.12088147356817
"VPS27",1.78165330169134
"CAALFM_C100760WA",0.639303849072294
"ROT1",-0.993146610022197
"HGC1",0.556752491072606
"CAALFM_C100790WA",0.377805721753285
"ERG2",-1.42837327599064
"CAALFM_C100810WA",-0.415200336157467
"CAALFM_C100820WA",1.2776982203531
"CAALFM_C100830WA",1.70124010498001
"NRM1",-1.49105223672267
"IHD2",-0.0409188400891102
"CAALFM_C100860WA",1.24359980431512
