"","condition_RS30_vs_ctl"
"CAALFM_C100020CA",-0.0986699533924083
"CAALFM_C100030CA",0.94906302611484
"CTA2",1.13123807910523
"TUP1",-0.0161772703696817
"MVD",-0.219964606593278
"RCA1",-0.850424763465156
"CAALFM_C100090WA",-0.476120777417268
"CAALFM_C100100CA",-1.08458281625616
"CCT8",-0.909779537842258
"TRP1",-0.383168603013291
"VPS53",0.40757614302551
"KEL1",0.449960802394404
"RIM8",-1.26674598301201
"CAALFM_C100160CA",-1.32554402214625
"LEU4",1.44904623007789
"RPL16A",-0.0921942036915914
"CAALFM_C100190CA",-2.04209351764062
"CAALFM_C100200CA",0.447061754294368
"CAALFM_C100210CA",1.31250686045387
"PHR2",-2.80375968127197
"BFA1",0.193050278146885
"tT(AGU)6",-0.22314294611354
"CAALFM_C100270WA",-0.165023063713229
"RFC52",NA
"POL93",-0.522250343018828
"CAALFM_C100310WA",2.24760335045388
"CAALFM_C100320WA",0.129896818954435
"CAALFM_C100330CA",-0.47816650444262
"HBR1",-1.09040183421396
"HMX1",0.251792446773883
"CDC13",-0.443713920902684
"CAALFM_C100370WA",-0.376055673534294
"CAALFM_C100380CA",0.310214622789121
"ENA2",3.85387068929588
"SVF1",-1.22284892710663
"CAALFM_C100410CA",2.74420710749775
"CAALFM_C100420WA",4.95104748322338
"CAALFM_C100430WA",0.150933009264781
"UBP6",0.00867077189064751
"CAALFM_C100450CA",0.383976009422672
"CAALFM_C100460WA",0.0766458592259182
"CAALFM_C100470CA",-0.591620629671992
"GCN20",-0.846761243033606
"TTR1",0.0193088712816058
"GLO1",1.81066604509794
"CAALFM_C100510WA",-0.627985814086027
"CAALFM_C100520WA",-0.668856145557954
"CAALFM_C100530CA",1.7333057651979
"CAALFM_C100540CA",-1.27206959028066
"CIS2",0.587465537061868
"CNS1",-1.41191946439451
"CAALFM_C100570CA",0.0725373250600802
"CAALFM_C100580WA",2.54525436790497
"TUF1",-0.951624847838404
"APC1",-0.494804674712981
"PSD1",0.557505945661688
"MOB2",0.0853810477798898
"CAALFM_C100630WA",2.06268336923106
"RPO41",-1.84937004511262
"SNF7",-0.283929794001551
"CAALFM_C100660CA",-0.150302457602667
"UGA32",3.0044171213857
"ASM3",0.237958099877207
"RIC1",2.50013654849463
"CAALFM_C100700WA",0.320501249974145
"TUB2",0.0102280517617103
"tP(UGG)3",0.301313015911037
"CMP1",-0.0840538517532087
"SPE1",-0.552601421095426
"VPS27",1.00805589090367
"CAALFM_C100760WA",0.382230686038512
"ROT1",-0.546442157490108
"HGC1",0.322546406581669
"CAALFM_C100790WA",0.166251965333707
"ERG2",-0.222579741545822
"CAALFM_C100810WA",-0.0390322604633028
"CAALFM_C100820WA",0.931545301648349
"CAALFM_C100830WA",1.00572268735149
"NRM1",-0.515649575218066
"IHD2",-0.269068729860479
"CAALFM_C100860WA",0.5069056512322
"LRO1",0.220254248163467
"CAALFM_C100880WA",3.65335545446947
"CAALFM_C100890WA",0.898242039789324
"RRS1",-1.46086475440309
"CAALFM_C100910WA",-0.133147725710191
"CAALFM_C100920WA",0.564933962749833
"SIN3",-0.533683558521494
"RPB11",-0.403280278267752
"CDC5",-0.145959981162407
"SET1",-0.882616984653906
"CAALFM_C100970WA",0.389502098445821
"CAALFM_C100980WA",-0.435762553402725
"NMA111",-1.60779815197332
"CAALFM_C101000CA",0.000271851716361479
"CAALFM_C101010WA",-0.384071835941061
"tA(AGC)4",-0.353427408993935
"HMT1",-1.31756332237093
"CAALFM_C101040WA",-0.14090591518281
"CAALFM_C101050CA",0.856463205394358
"MBF1",0.416837766443542
"CAALFM_C101070CA",-0.289555578504586
"CAALFM_C101080WA",-0.108247698073879
"CAALFM_C101090CA",-0.332920123448088
"CCH1",-0.0806340801222481
"ZPR1",-1.28388148079873
"CAALFM_C101130WA",-0.829672181821711
"CAALFM_C101140CA",2.32877747475249
"CAALFM_C101150CA",-1.4578980086041
"CAALFM_C101160CA",-1.59246869195949
"ZCF17",-0.916243769657683
"CAALFM_C101180CA",0.292464872102768
"CAALFM_C101190CA",0.702556899125146
"STB5",0.96967840352302
"CAALFM_C101210WA",-0.153849088272556
"CAALFM_C101220CA",0.312159476680464
"IFD3",3.16234942259048
"CAALFM_C101250WA",0.818599738773957
"TRS20",1.69247310171534
"CTA9",1.05711757432482
"MED22",0.510844588106952
"CAALFM_C101290CA",1.43060646462123
"CAALFM_C101300WA",1.22145697265529
"MRS7",-0.457886759300746
"DUT1",-0.429690973302094
"CAALFM_C101340CA",1.59235001527684
"TIF",-0.856148252932685
"CAALFM_C101360CA",3.99965962531756
"RPS21B",0.225770889171958
"TRM2",-1.35009749729669
"CAALFM_C101390CA",-0.615205662533987
"CAALFM_C101400CA",1.0478051509661
"CRL1",-0.694626506555486
"POX18",2.06277382740281
"ABC1",-0.905125748702638
"CAALFM_C101460WA",0.629849384032806
"CAALFM_C101470WA",-0.732348015289646
"RPS21",-0.12449972383471
"CAALFM_C101490WA",4.67766387173524
"CAALFM_C101510WA",-0.00363196396815692
"SOD2",1.74779893059265
"CAALFM_C101530CA",-0.714370562009663
"CAALFM_C101540WA",0.961710029036791
"VPS17",0.304409599859706
"SIZ1",-0.806177408307549
"RPB7",-0.216846336016567
"CAALFM_C101580WA",-0.381645513694846
"CAALFM_C101590CA",-0.823000376364972
"MRP20",-0.290543505952533
"CAALFM_C101610CA",0.869703311835507
"CAALFM_C101620CA",0.661369544972523
"CAALFM_C101630WA",1.09266540668554
"RPS42",-0.618913321948384
"ISN1",1.71371539986388
"tS(UGA)1",-0.00702143352126848
"ESP1",-0.0103469314681478
"CAALFM_C101680CA",-0.333069860989388
"LSC1",0.420072314765422
"ARP8",0.844762059964211
"CAALFM_C101710WA",0.00261600540100535
"CAALFM_C101720CA",0.782265682161744
"tA(AGC)3",-0.0134048609102777
"CTN1",2.95336138418851
"CAALFM_C101750WA",0.68634069366478
"FGR38",1.60345026832387
"MAK32",1.70821087830642
"HOL4",-0.12956698579689
"SWI4",-0.374101071411304
"CAALFM_C101800WA",-0.264945080905354
"UGA2",0.546955195833174
"CAALFM_C101820CA",-0.395309292806828
"UBC8",1.69935016612341
"CAALFM_C101840CA",2.52842788686213
"CAALFM_C101850CA",-0.539907848231662
"CAALFM_C101860WA",-1.12466928794771
"CYS4",-1.04441981219303
"PTR3",0.316459907047453
"CAALFM_C101890CA",0.0971848121536879
"CAALFM_C101900CA",-0.505199747084053
"CAALFM_C101910WA",-0.968627239799297
"ROA1",-1.45005622568834
"CAALFM_C101930WA",4.06367327360756
"CAALFM_C101940CA",0.00257567948006706
"CAALFM_C101950CA",0.953326492049413
"CAALFM_C101970WA",-1.11898974287543
"HGT1",4.51388347365584
"HSP30",0.359609119411535
"CAALFM_C102000WA",0.304274687640366
"ZCF24",1.41450982719618
"CAALFM_C102020WA",0.850650516228083
"CAALFM_C102030CA",-0.0754187436576732
"CAALFM_C102040CA",2.86734872093789
"PHO91",0.856280448834331
"CAALFM_C102060WA",4.64022249442322
"HSP31",0.131763000385408
"SET6",-1.76036822890139
"CAALFM_C102090CA",-0.966822068107848
"CAALFM_C102100WA",0.556334575989414
"HGT2",3.5869741912288
"SHA3",2.52483412927495
"GAL1",4.92109425675732
"GAL10",5.99003436674963
"CAALFM_C102160WA",0.432280598870183
"GAL102",0.991213930237051
"GAL7",1.87554838357475
"ABP140",-1.57938496174596
"CAALFM_C102200CA",1.14916163619529
"CAALFM_C102210WA",0.4194562966124
"CAALFM_C102220CA",0.948169932142099
