"","condition_SS30_vs_ctl"
"CAALFM_C100020CA",-0.350090541296698
"CAALFM_C100030CA",0.904483744831496
"CTA2",1.13771256606719
"TUP1",-0.0945816041011088
"MVD",-0.863131721626228
"RCA1",-0.682241494821729
"CAALFM_C100090WA",-0.960593236748391
"CAALFM_C100100CA",-1.59387992305684
"CCT8",-0.936959492006133
"TRP1",-0.73290599676766
"VPS53",1.46905114348084
"KEL1",2.58020208090962
"RIM8",-1.30522907353597
"CAALFM_C100160CA",-1.16690427408015
"LEU4",-0.588267927613072
"RPL16A",-0.189358072976877
"CAALFM_C100190CA",1.73563792511173
"CAALFM_C100200CA",1.66921258310469
"CAALFM_C100210CA",1.3630841439421
"PHR2",-3.31308912476374
"BFA1",0.0687667404931443
"tT(AGU)6",-0.843411655748625
"CAALFM_C100270WA",-1.20533116529308
"RFC52",NA
"POL93",-1.52710421611995
"CAALFM_C100310WA",1.94346574096231
"CAALFM_C100320WA",-0.0355296348432529
"CAALFM_C100330CA",-0.433873632380161
"HBR1",-1.05171095838294
"HMX1",0.39256582763614
"CDC13",-1.10696713351933
"CAALFM_C100370WA",-0.472487890130243
"CAALFM_C100380CA",0.7557873788375
"ENA2",3.68275020552465
"SVF1",-1.06759564910996
"CAALFM_C100410CA",5.46158341046737
"CAALFM_C100420WA",5.42742345583977
"CAALFM_C100430WA",1.31528511773168
"UBP6",0.25391641635664
"CAALFM_C100450CA",0.452359791681096
"CAALFM_C100460WA",0.362358745781448
"CAALFM_C100470CA",-1.09374548715041
"GCN20",-0.705547346704262
"TTR1",-1.40324177226225
"GLO1",0.720587360459354
"CAALFM_C100510WA",-0.300593030012715
"CAALFM_C100520WA",-1.25544901906634
"CAALFM_C100530CA",0.633788353808035
"CAALFM_C100540CA",-0.86646083830614
"CIS2",0.877396709552681
"CNS1",-1.05785519441199
"CAALFM_C100570CA",-0.0591116303573658
"CAALFM_C100580WA",3.03373309867643
"TUF1",-0.514299433082625
"APC1",-0.660839668672128
"PSD1",0.855373528920997
"MOB2",0.0172122233132689
"CAALFM_C100630WA",1.97841461781107
"RPO41",-1.18293433109491
"SNF7",-0.125775377866939
"CAALFM_C100660CA",0.299286599982957
"UGA32",5.2591402676755
"ASM3",2.09794789091536
"RIC1",2.24165670297034
"CAALFM_C100700WA",0.401349795922143
"TUB2",-0.48020694617903
"tP(UGG)3",-0.901777553478991
"CMP1",-0.0872179709040469
"SPE1",-0.590165725327965
"VPS27",1.3755845240942
"CAALFM_C100760WA",0.0566827937468361
"ROT1",-0.439095352515949
"HGC1",0.419178349534614
"CAALFM_C100790WA",-0.665975955768351
"ERG2",-1.36405805891039
"CAALFM_C100810WA",-0.613240366038375
"CAALFM_C100820WA",0.259195430137651
"CAALFM_C100830WA",1.70449463035714
"NRM1",-0.955112290396032
"IHD2",-0.711756938574993
"CAALFM_C100860WA",0.273057424711873
"LRO1",-0.241606918501088
"CAALFM_C100880WA",4.30983177514783
"CAALFM_C100890WA",1.24751171738188
"RRS1",-1.16393304040211
"CAALFM_C100910WA",-0.443026502184622
"CAALFM_C100920WA",0.664612233630181
"SIN3",0.125709140444423
"RPB11",-0.381888460798127
"CDC5",-0.370451238951323
"SET1",-0.60656296368941
"CAALFM_C100970WA",-0.229006618808346
"CAALFM_C100980WA",-0.150540280599353
"NMA111",-1.24867207417636
"CAALFM_C101000CA",-0.225909189811097
"CAALFM_C101010WA",0.204363300267577
"tA(AGC)4",-0.354153431032974
"HMT1",-1.06562063589203
"CAALFM_C101040WA",0.0618689175598231
"CAALFM_C101050CA",0.368392016374237
"MBF1",0.231553629003983
"CAALFM_C101070CA",-0.741779872387399
"CAALFM_C101080WA",-0.39965138407038
"CAALFM_C101090CA",0.121477395138114
"CCH1",-0.468479958702132
"ZPR1",-1.15179374129446
"CAALFM_C101130WA",0.287487427884524
"CAALFM_C101140CA",2.94104555015466
"CAALFM_C101150CA",-1.10862197745889
"CAALFM_C101160CA",-0.92179948065321
"ZCF17",-0.87949225063911
"CAALFM_C101180CA",0.267804711757041
"CAALFM_C101190CA",0.658423633413197
"STB5",2.0720874144164
"CAALFM_C101210WA",-0.442482409532576
"CAALFM_C101220CA",1.23047512044707
"IFD3",5.95491067270374
"CAALFM_C101250WA",1.56420206676452
"TRS20",1.03778517303428
"CTA9",0.651253867573321
"MED22",0.33799117913735
"CAALFM_C101290CA",1.3471513098489
"CAALFM_C101300WA",0.662290534006057
"MRS7",0.234847213538252
"DUT1",-0.989999488295881
"CAALFM_C101340CA",1.70426649683681
"TIF",-0.872571002360785
"CAALFM_C101360CA",2.48366219946372
"RPS21B",-0.0730857658704217
"TRM2",-0.750774336488127
"CAALFM_C101390CA",-0.650148216349857
"CAALFM_C101400CA",1.27924465713933
"CRL1",-1.04612084532815
"POX18",4.56787810543288
"ABC1",0.642457935652513
"CAALFM_C101460WA",0.236499692907355
"CAALFM_C101470WA",-0.741961077392661
"RPS21",-0.294684350520621
"CAALFM_C101490WA",4.48343403048431
"CAALFM_C101510WA",1.23818213028232
"SOD2",1.88176302496931
"CAALFM_C101530CA",-0.586557378348899
"CAALFM_C101540WA",1.3923817131122
"VPS17",0.940974067684578
"SIZ1",-0.698957361680459
"RPB7",-0.670203424162192
"CAALFM_C101580WA",-0.275173455735096
"CAALFM_C101590CA",-0.535813216320249
"MRP20",-0.237066760838725
"CAALFM_C101610CA",-0.817589441664964
"CAALFM_C101620CA",1.55743657025847
"CAALFM_C101630WA",1.27781020927095
"RPS42",-0.675203045495829
"ISN1",1.4596147887213
"tS(UGA)1",0.0178696069101806
"ESP1",-0.784267697772595
"CAALFM_C101680CA",-0.4208552131749
"LSC1",0.19202672596544
"ARP8",0.869668072640086
"CAALFM_C101710WA",2.11134318170751
"CAALFM_C101720CA",0.703292254363515
"tA(AGC)3",-0.0127986647254386
"CTN1",7.63762837351148
"CAALFM_C101750WA",0.708157662081584
"FGR38",1.20329092218683
"MAK32",1.60848180362132
"HOL4",0.489473223726831
"SWI4",-0.417384672959696
"CAALFM_C101800WA",-0.273118204319948
"UGA2",1.2013137339385
"CAALFM_C101820CA",-0.265830188208045
"UBC8",1.64173853957324
