"","condition_LL3_vs_ctl"
"CAALFM_C100020CA",0.44016913049695
"CAALFM_C100030CA",2.43548173230794
"CTA2",4.76044803682208
"TUP1",0.686781813297258
"MVD",0.530003876720213
"RCA1",-0.374971930637461
"CAALFM_C100090WA",-0.635232004729131
"CAALFM_C100100CA",-0.754867860358077
"CCT8",-0.917731747430082
"TRP1",-0.597579219318745
"VPS53",1.2568893055134
"KEL1",1.95413125979626
"RIM8",-0.402807862182408
"CAALFM_C100160CA",-4.11428400059707
"LEU4",-1.55457458783858
"RPL16A",-1.43270624613031
"CAALFM_C100190CA",-0.0894826096429567
"CAALFM_C100200CA",0.524009928300074
"CAALFM_C100210CA",0.42594306814971
"PHR2",-4.37119597816419
"BFA1",0.257770028920378
"tT(AGU)6",-0.221367440865299
"CAALFM_C100270WA",-1.09693909355821
"RFC52",NA
"POL93",-0.689424987514966
"CAALFM_C100310WA",3.621906936363
"CAALFM_C100320WA",1.1096173196296
"CAALFM_C100330CA",-0.23688930924579
"HBR1",-1.27782251478528
"HMX1",0.000261134200263514
"CDC13",-0.570932393962877
"CAALFM_C100370WA",-0.316527132181093
"CAALFM_C100380CA",0.162263841356215
"ENA2",2.14649068405912
"SVF1",-0.946460952211994
"CAALFM_C100410CA",5.62161651094648
"CAALFM_C100420WA",4.4857486035783
"CAALFM_C100430WA",1.12025817970051
"UBP6",-0.174378469383293
"CAALFM_C100450CA",0.305634663037817
"CAALFM_C100460WA",0.376337896392315
"CAALFM_C100470CA",-0.577797540307426
"GCN20",-1.50136447057255
"TTR1",-0.446024026147345
"GLO1",2.31715598408934
"CAALFM_C100510WA",-1.11755690860779
"CAALFM_C100520WA",-0.462418927392383
"CAALFM_C100530CA",1.50391774069665
"CAALFM_C100540CA",-1.39524155528738
"CIS2",1.12474730157314
"CNS1",-1.5315168332242
"CAALFM_C100570CA",0.143168006540942
"CAALFM_C100580WA",3.14255303986658
"TUF1",-1.37963856468917
"APC1",0.252973064098913
"PSD1",0.360128589763564
"MOB2",-0.0109232531703237
"CAALFM_C100630WA",1.86741131359201
"RPO41",-2.12958971009348
"SNF7",-0.134315495260485
"CAALFM_C100660CA",0.132149969281444
"UGA32",3.50016335941442
"ASM3",-0.16668137659729
"RIC1",2.42304983921398
"CAALFM_C100700WA",-0.926529078180533
"TUB2",-0.0315765148453436
"tP(UGG)3",1.65099674730267
"CMP1",-0.0366988208814638
"SPE1",-1.4193780070892
"VPS27",1.63543118141622
"CAALFM_C100760WA",0.861137213533137
"ROT1",-1.7042324297025
"HGC1",3.26579429717863
"CAALFM_C100790WA",-0.294760827119713
"ERG2",-0.394258002684095
"CAALFM_C100810WA",-0.081513735484676
"CAALFM_C100820WA",0.718699556151168
"CAALFM_C100830WA",1.67720584063958
"NRM1",-0.658405214782775
"IHD2",1.05728547589921
"CAALFM_C100860WA",0.613469870249594
"LRO1",0.402172740634123
"CAALFM_C100880WA",5.58672467621968
"CAALFM_C100890WA",0.792187632394445
"RRS1",-2.50318350372828
"CAALFM_C100910WA",0.790692661367807
"CAALFM_C100920WA",0.849412238667415
"SIN3",-0.561025806208948
"RPB11",-0.51553820847821
"CDC5",0.306833182783295
"SET1",-0.17709830621451
"CAALFM_C100970WA",0.388233522762163
"CAALFM_C100980WA",-0.534825693954472
"NMA111",-2.44097364641589
"CAALFM_C101000CA",0.219276106073951
"CAALFM_C101010WA",-0.556678221220918
"tA(AGC)4",-0.0801277609878325
"HMT1",-3.18607044965434
"CAALFM_C101040WA",0.0867682811559896
"CAALFM_C101050CA",0.760913750731001
"MBF1",-0.115195105455764
"CAALFM_C101070CA",-0.0559411570176334
"CAALFM_C101080WA",0.261267820132917
"CAALFM_C101090CA",-0.695017139183775
"CCH1",0.0233704410703462
"ZPR1",-2.90485994372618
"CAALFM_C101130WA",-0.61281101756038
"CAALFM_C101140CA",2.1125800164684
"CAALFM_C101150CA",-1.88202467622696
"CAALFM_C101160CA",-1.7370584338422
"ZCF17",-0.980600828278581
"CAALFM_C101180CA",1.36653682838507
"CAALFM_C101190CA",1.12103477195995
"STB5",1.98348245232022
"CAALFM_C101210WA",-1.03318119103304
"CAALFM_C101220CA",1.13756718199543
"IFD3",3.36661478287146
"CAALFM_C101250WA",0.8236389092266
"TRS20",0.908331337033755
"CTA9",1.15022898482909
"MED22",0.446162052834561
"CAALFM_C101290CA",1.63698159714921
"CAALFM_C101300WA",0.807032109558086
"MRS7",-0.592026394455346
"DUT1",-1.09329077087112
"CAALFM_C101340CA",2.05184399221009
"TIF",-1.72219845570121
"CAALFM_C101360CA",3.5434441729975
"RPS21B",-0.947898353589765
"TRM2",-2.17909005829698
"CAALFM_C101390CA",0.642260259201024
"CAALFM_C101400CA",1.26341116884133
"CRL1",-0.179646132335038
"POX18",2.64633408794345
"ABC1",-1.26925955863505
"CAALFM_C101460WA",1.13394617686033
"CAALFM_C101470WA",-1.441101267984
"RPS21",-1.39235897394393
"CAALFM_C101490WA",4.55984160177692
"CAALFM_C101510WA",-0.438121709372581
"SOD2",2.9557312968941
"CAALFM_C101530CA",-1.59443165682516
"CAALFM_C101540WA",1.13636297051899
"VPS17",0.599765911708488
"SIZ1",-0.374745600631281
"RPB7",-0.426093600333904
"CAALFM_C101580WA",-1.01398335325401
"CAALFM_C101590CA",-1.03296713741324
"MRP20",-1.40971904975483
"CAALFM_C101610CA",3.14020853854853
"CAALFM_C101620CA",2.47532877688203
"CAALFM_C101630WA",0.655621255222215
"RPS42",-2.80804788860846
"ISN1",0.972049337837715
"tS(UGA)1",0.13148385320993
"ESP1",0.625345083053836
"CAALFM_C101680CA",-0.730783446206607
"LSC1",-0.136999911444176
"ARP8",-0.172701817988365
"CAALFM_C101710WA",0.330869920051295
"CAALFM_C101720CA",0.0547070698907048
"tA(AGC)3",0.149258855460582
"CTN1",9.71049732897586
"CAALFM_C101750WA",-0.24048739618222
"FGR38",1.70002678514871
"MAK32",2.46809700143467
"HOL4",0.897790502695367
"SWI4",-1.24554370210301
"CAALFM_C101800WA",0.0925514958549196
"UGA2",2.66020316503532
"CAALFM_C101820CA",-0.295973358603035
"UBC8",2.81853208278
"CAALFM_C101840CA",2.87977871750058
"CAALFM_C101850CA",-0.827522440780217
"CAALFM_C101860WA",-1.078201434413
"CYS4",-1.47852330634535
"PTR3",0.327214940899466
"CAALFM_C101890CA",0.295336839200186
"CAALFM_C101900CA",-0.66874919936007
"CAALFM_C101910WA",-2.37336210634609
"ROA1",-2.82035451524918
"CAALFM_C101930WA",4.67583120877672
"CAALFM_C101940CA",-0.25892894376862
"CAALFM_C101950CA",1.04315593136934
"CAALFM_C101970WA",-0.614290641105444
"HGT1",7.30512002747495
"HSP30",1.09976949136438
"CAALFM_C102000WA",0.849390670981122
"ZCF24",2.58784033291872
"CAALFM_C102020WA",1.4542027191882
"CAALFM_C102030CA",0.219676478808268
"CAALFM_C102040CA",2.45556083028883
"PHO91",0.111618128753263
"CAALFM_C102060WA",5.4517038085141
"HSP31",-0.0928009662679139
"SET6",-2.31164440206191
"CAALFM_C102090CA",-1.60517426085526
"CAALFM_C102100WA",1.12748443573725
"HGT2",7.11802313559981
"SHA3",-0.303624878772285
"GAL1",4.68245722759096
"GAL10",5.57737903939691
"CAALFM_C102160WA",0.83659525530856
"GAL102",1.7132656567449
"GAL7",0.84243016133885
"ABP140",-2.19130362636603
"CAALFM_C102200CA",1.69976887881336
"CAALFM_C102210WA",1.78206618221043
"CAALFM_C102220CA",1.25516283359797
"SEP7",-0.414686025021459
"CAALFM_C102240WA",-0.689609814030464
"CWH8",0.925352026662491
"AGE3",0.313311117725877
"CAALFM_C102270CA",6.4851749505255
"PSY2",-0.113527986475994
"CAALFM_C102290CA",-0.205247401749226
"CAALFM_C102300WA",-0.0949069162455987
"CAALFM_C102310CA",0.165803183676147
"CAALFM_C102320CA",1.76135296166389
"CAALFM_C102330CA",-1.69748566349847
"tR(CCG)1",0.207739254620064
"TIM21",-0.677951206993657
"PGA5",-0.712248641397704
"CAALFM_C102370CA",-0.340987627577606
"CAALFM_C102380CA",-0.0828448442371869
"CAALFM_C102390WA",-0.745186135849362
"MNN11",-0.852809395863423
"CAALFM_C102410CA",0.341357846303165
"GSC1",-1.74645126585629
"CAALFM_C102430CA",-1.64215392113896
"CAALFM_C102440CA",1.22751180952244
"CAALFM_C102450CA",-2.07921177072971
"RPL10",-1.32752917580044
"CAALFM_C102470WA",1.5888833898536
"PMM1",-0.859529445685478
"CAALFM_C102490CA",-0.780610784222753
"CAALFM_C102500WA",0.529966992202126
"CAALFM_C102510WA",-0.0670513157256846
"SCW4",5.34343210995222
"DIP5",1.78328168554153
"tR(UCU)4",6.15810376551049
"PUT4",0.377919073924035
"HNM4",0.453186614024595
"SNZ1",8.72783339357197
"SNO1",7.98332723364494
"IML1",1.18795872028136
"HOM6",0.697875929127582
"EXG2",0.437003104692375
"TOM20",-1.45623449660907
"CAALFM_C102650WA",-0.400133517159471
"MGM101",-0.919276291983968
"CAALFM_C102670CA",-0.421818906877592
"CAALFM_C102680CA",0.46197462401586
"CAALFM_C102690CA",0.0452988974027246
"CAALFM_C102700CA",5.58106192054908
"FRS2",-1.07101618216004
"CAALFM_C102720WA",-0.0496826299245276
"CAALFM_C102730WA",1.54665380978206
"CAALFM_C102740CA",1.01529389237887
"CAALFM_C102750CA",-0.602046012751215
"CAALFM_C102760WA",-0.195156829073995
"CAALFM_C102770WA",0.530440932136721
"CAALFM_C102780WA",3.69449983498445
"TIF34",-1.84875359191119
"CAALFM_C102800WA",-0.257366390675201
"RAD16",-2.14782008026093
"LYS2",2.52523548862719
"CAALFM_C102830WA",0.41563113846558
"PDE2",-0.801771913091552
"CAALFM_C102850WA",-1.4245290770025
"YKT6",0.460747304258514
"YPT7",0.458973940206554
"MIA40",-1.44934326182203
"CAALFM_C102890CA",-0.0137235002274955
"CAALFM_C102900CA",-0.614976602108092
"CAALFM_C102910CA",2.18261554795421
"CDC73",-0.342737404854842
"MST1",-0.98729397706273
"CAALFM_C102940CA",0.156930844770674
"CAALFM_C102950WA",1.03983381446123
"CAALFM_C102960CA",-0.0653331630108982
"CAALFM_C102970WA",2.83131496717848
"GOR1",5.45329027482118
"XOG1",0.229373623692634
"HOL1",0.927251939551212
"RPP1A",-1.51705912336414
"RPL13",-1.45276403150318
"RPS16A",-1.21024849153007
"CAALFM_C103040WA",-0.561142484457626
"CAALFM_C103050WA",0.157896342536891
"TSR2",-1.9819620198313
"ORC1",-0.00249717314043164
"TEM1",1.49343404767237
"RPS1",-1.49411153834778
"CAALFM_C103100WA",2.88820950129992
"RPL6",-1.4293102832612
"CAALFM_C103120WA",0.88494726764922
"GGA2",1.14558621482489
"CAALFM_C103140WA",2.80234458457623
"CAALFM_C103150CA",5.00982881056816
"COQ4",0.790060904082164
"CAALFM_C103170CA",1.68020464424444
"CAALFM_C103180WA",0.204115525265672
"ECM33",-0.0360952679431705
"ARO80",0.493625457511623
"CDC12",0.144748234573193
"BMH1",0.488039414114948
"ARX1",-3.05395832155155
"CAALFM_C103240WA",0.309572295440577
"SPP1",0.0431773527783494
"CAALFM_C103260WA",-0.533416130490177
"CAALFM_C103270WA",1.61049343402561
"CAALFM_C103280WA",-0.966669373688329
"NGG1",-0.134435074018941
"MAS1",-0.956965466927469
"CAALFM_C103310WA",-0.124884925392172
"EHD3",4.54630416551892
"CAALFM_C103330CA",1.20902269785861
"SEC62",-0.696306104324693
"RLI1",-2.30685956225897
"CAALFM_C103360WA",-0.458493889290171
"CAALFM_C103370WA",-3.23491318964591
"TPS2",2.32405147628043
"EHT1",-1.72348668111348
"CAALFM_C103400WA",-0.152189629593458
"CAALFM_C103410WA",0.293314109116282
"tN(GUU)3",0.305029058038675
"CAALFM_C103430WA",1.09148799112647
"CAALFM_C103440CA",-0.185857001552414
"CAALFM_C103450CA",2.64534526400302
"CAALFM_C103460CA",-2.63600876855894
"CAALFM_C103470CA",-0.0966945433777477
"AGE1",1.9313076115744
"CAALFM_C103490WA",2.78267512105234
"YPT1",0.0556077477751217
"CAALFM_C103510CA",4.2194198672218
"RPN3",0.0860788450450682
"MED17",-0.515174474068735
"CAALFM_C103540CA",-0.341264309587177
"COQ6",0.338133204768762
"SUA71",-1.36122341413255
"tL(UAA)3",0.0878391889364562
