"","condition_SL3_vs_ctl"
"CAALFM_C100020CA",0.0400596044453014
"CAALFM_C100030CA",1.9257473298052
"CTA2",3.74289678569306
"TUP1",0.698056546699426
"MVD",0.494414279881314
"RCA1",-0.38181116949145
"CAALFM_C100090WA",-0.199353232206778
"CAALFM_C100100CA",-0.553586412830734
"CCT8",-0.569505033469597
"TRP1",-0.474050751107469
"VPS53",0.698357167832665
"KEL1",0.865989843847279
"RIM8",-0.936829442828988
"CAALFM_C100160CA",-2.95956131519368
"LEU4",-0.688020701390036
"RPL16A",-0.7381562852995
"CAALFM_C100190CA",-0.5015020174808
"CAALFM_C100200CA",0.974417040221036
"CAALFM_C100210CA",0.662190055363994
"PHR2",-3.87306648587248
"BFA1",0.116715612093751
"tT(AGU)6",0.0602333972990759
"CAALFM_C100270WA",0.13554039119948
"RFC52",NA
"POL93",0.61648092883044
"CAALFM_C100310WA",3.0471300362425
"CAALFM_C100320WA",0.8573326147871
"CAALFM_C100330CA",-0.0116335040223805
"HBR1",-0.783821161517013
"HMX1",-0.989388215447209
"CDC13",-1.08524401732946
"CAALFM_C100370WA",-0.263660217629918
"CAALFM_C100380CA",0.0196838693395212
"ENA2",2.36974149700573
"SVF1",-1.07980017363721
"CAALFM_C100410CA",4.91957122581971
"CAALFM_C100420WA",4.36922033307579
"CAALFM_C100430WA",0.441234259368033
"UBP6",-0.113801494298172
"CAALFM_C100450CA",0.586884440881007
"CAALFM_C100460WA",0.499978613036979
"CAALFM_C100470CA",-0.630536279250875
"GCN20",-1.08577208512925
"TTR1",-0.892220343716097
"GLO1",2.19262498905333
"CAALFM_C100510WA",-0.79458048206468
"CAALFM_C100520WA",-0.597832453062758
"CAALFM_C100530CA",1.56318883068015
"CAALFM_C100540CA",-1.03843300000303
"CIS2",0.135227392820864
"CNS1",-1.26675261296167
"CAALFM_C100570CA",-0.0338772341940669
"CAALFM_C100580WA",2.16809902500048
"TUF1",-0.449214907620508
"APC1",0.275377174781674
"PSD1",0.345275807371347
"MOB2",-0.266535947755127
"CAALFM_C100630WA",1.60071219728329
"RPO41",-1.30040243814666
"SNF7",-0.255384346991205
"CAALFM_C100660CA",-0.142142853296985
"UGA32",3.45298317544595
"ASM3",0.617120312768784
"RIC1",2.58736734838221
"CAALFM_C100700WA",-0.187102097023821
"TUB2",-0.270708414611149
"tP(UGG)3",0.879241871052474
"CMP1",0.0435339632603375
"SPE1",-0.812123038073272
"VPS27",1.23982199485712
"CAALFM_C100760WA",0.591009338823556
"ROT1",-1.17506211786921
"HGC1",2.39247027449824
"CAALFM_C100790WA",-0.511056055694418
"ERG2",-0.0351101083693946
"CAALFM_C100810WA",-0.0353201057406543
"CAALFM_C100820WA",0.6242482737402
"CAALFM_C100830WA",1.09510343482368
"NRM1",-0.641684327575824
"IHD2",0.546482538586636
"CAALFM_C100860WA",-0.0272363182210752
"LRO1",0.283734957112397
"CAALFM_C100880WA",4.16485549943836
"CAALFM_C100890WA",0.983635613197579
"RRS1",-1.86117284838903
"CAALFM_C100910WA",0.346185571494216
"CAALFM_C100920WA",0.58295587861986
"SIN3",-0.438066299330794
"RPB11",-0.402478556892685
"CDC5",0.22834528889003
"SET1",-0.425154843206294
"CAALFM_C100970WA",0.665603655891259
"CAALFM_C100980WA",-0.00532596682788957
"NMA111",-1.93346739533292
"CAALFM_C101000CA",0.141739063350886
"CAALFM_C101010WA",-0.0558932502800613
