"","condition_FL3_vs_ctl","condition_FL30_vs_ctl","condition_FS3_vs_ctl","condition_FS30_vs_ctl","condition_LL3_vs_ctl","condition_LL30_vs_ctl","condition_LS3_vs_ctl","condition_LS30_vs_ctl","condition_RL3_vs_ctl","condition_RL30_vs_ctl","condition_RS3_vs_ctl","condition_RS30_vs_ctl","condition_SL3_vs_ctl","condition_SL30_vs_ctl","condition_SS3_vs_ctl","condition_SS30_vs_ctl","condition_YL30_vs_ctl","condition_YS3_vs_ctl","condition_YS30_vs_ctl"
"CAALFM_C100020CA",0.490616196775358,1.6496154371645,-0.137358384934596,0.723983574628792,1.07105051250953,2.35022421873496,0.0289879181772608,0.593083981311028,0.794456878186426,1.14265747318939,-0.0547928494437423,0.456256137198931,0.566541345004956,1.57194681458981,-0.0895772132435498,0.2538903897923,0.602686766412064,-0.0296441473515101,0.737165830265171
"CAALFM_C100030CA",1.21189334865098,0.949243792546357,0.525626089863237,0.704409748806998,1.81993836318921,1.63796579793966,0.225095830010021,1.53482384197045,0.493720308196753,0.611167285396935,0.165205758673435,0.320903842105424,1.20318153415141,0.872267628539979,0.325631170048774,0.355711216624448,-0.44601174830782,0.0101026411817688,-0.0766274831702723
"CTA2",1.43744197098181,-0.216212176185627,0.9585166406339,-0.574063998995079,2.16964157963581,1.49945986721012,0.913861913649812,-0.162361717600806,2.21715835519791,0.853206579797539,0.662027316588288,-1.06375467990857,1.03771002387773,0.256265342262321,0.13213975001604,-1.12839613903984,-2.42790248168127,-0.0172839872637428,-2.33882038585852
"TUP1",-0.0702154393988569,-0.221378780726939,-0.396844505427691,-0.700322823359766,-0.151235199040032,0.24528248430697,-0.666702648092897,-0.634404836955688,0.160451042923946,-0.264099594948818,-0.413850698616932,-0.828087304657584,-0.119786137122804,0.14983608874649,-0.537640286028134,-0.933227152889039,-0.834141699239146,-0.124429927430651,-0.535772638820765
"MVD",-0.288378905980228,-1.44376222005696,-0.524255485247053,-1.25876526538283,-0.511020229004877,-0.96963635152889,-0.403460308747069,-1.93335676027679,0.05643636995168,-0.980626684545946,-0.284052606993731,-1.27083368745061,-0.488540630428519,-1.39798979525335,-0.67920431777996,-1.96287117411072,-1.05323636960828,-0.0504282825833006,-0.844207179625661
"RCA1",0.16170244490553,-0.112821101850114,-0.0905004945043699,-0.268483223744763,-0.0528056290172369,0.0826643221687008,-0.176622157622526,0.240092559161731,-0.0349629260256968,-0.16098467419246,-0.186233898869112,-0.465865437109039,-0.0391627658238366,-0.0663946189212908,-0.10229110861159,-0.333401543259665,0.309521118055074,-0.0109448997272759,0.26458533119419
"CAALFM_C100090WA",-0.0414205097489231,-0.0637135076707825,0.00151071518106303,-0.476694874250145,-0.688591713869517,-0.510731957635466,-0.0949740541140016,-0.506350151568347,-0.264060073700678,-0.410847589611027,-0.0666139906322923,-0.478351781468017,-0.192338958458376,-0.587451418301119,-0.305055303265638,-1.02605995203524,-0.0734096402549345,-0.00432939049067142,-0.151952120163258
"CAALFM_C100100CA",-0.288299815736917,-0.283308574442867,-0.401731748234209,-0.825458648671273,-0.584811021860703,-0.140206860097307,-0.311865170457619,-2.09262203713402,-0.213880058367855,-0.292671777731136,-0.336151167406298,-0.880813384564395,-0.31606389726299,-0.386082486165156,-0.484985294821398,-1.42814730211738,0.136638840313231,-0.0267367457414599,-0.549314113122311
"CCT8",-0.324998252251041,-0.485243679751794,-0.499345738700204,-0.551416706246617,-0.829506473600604,-0.436897596531452,-0.406945324961277,-1.55447385584877,-0.198240575632511,-0.397649340119438,-0.277460176391545,-0.778528622757525,-0.399961706611028,-0.435848390432539,-0.532924943251381,-0.847531951323643,0.0651499959699201,-0.0251424880387252,-0.0726895074622955
"TRP1",-0.0105284161774402,-0.0619999569965798,-0.0834861840079547,0.271865658190222,-0.213787700847053,0.314407806276043,-0.0250639363737348,-0.363528374536461,0.142659064821816,0.035542568471694,-0.0352106355561795,-0.00576095409717346,-0.078942541463502,-0.29597295397807,-0.220577955828573,-0.339065073192267,0.376769132353641,8.53278269762575e-05,0.22953232738727
"VPS53",0.252146224807933,-0.00502304048809508,0.108807109260528,0.189493595812184,0.867177777706141,0.604876170111505,0.196517414225269,0.170383720515629,0.352467945926372,0.175370426321923,0.114570110263577,0.0341069625093927,0.286670696337821,0.820598590128522,0.105395006717378,1.077779191537,-0.365209132716966,0.0174476732487538,-0.237135588040873
"KEL1",0.128439597178153,0.307427463143777,0.00732239858206678,-0.222589808904265,1.22946850484544,0.575222180385293,0.0573150818873821,-0.26476995011634,0.159934643961264,0.171423623204281,0.00546601606347684,-0.161159065033817,0.148964566526174,1.25870161007735,0.0180244250150675,1.85549986149792,-0.632319055973925,-0.00864475004281789,-0.388823741414076
"RIM8",-0.0427622370683491,1.31825141329313,-0.583851960472832,-0.333246380362566,0.120427650019806,-0.107289320696023,-0.637181955795784,-0.343080607593197,-0.211663466506961,0.264637323672383,-0.929784367317355,-0.649266239905415,-0.313539829890778,0.425094141813456,-0.751446975720709,-0.7298945852304,0.501927813843111,-0.0381396827087866,0.00995783051790063
"CAALFM_C100160CA",-1.0946845883337,-0.367910879865568,-0.279897758451399,0.166219968380745,-2.4384323087265,-2.33509659546147,-0.202395463371673,-1.38192506521776,-1.42764847332345,-0.063762190915417,-0.147495116306601,0.101656160517393,-1.17640265769291,-2.33174210836162,-0.35058894947343,0.261946274105337,1.48037331403663,0.00356286737030349,0.985453758457167
