"","FL.log2FoldChange","FS.log2FoldChange","LL.log2FoldChange","LS.log2FoldChange","RL.log2FoldChange","RS.log2FoldChange","SL.log2FoldChange","SS.log2FoldChange","YS.log2FoldChange"
"CAALFM_C100540CA",-0.124725563222754,0.00392710794436413,-0.478905435458916,-0.0332215172597199,-0.399069284521634,-0.197478517672707,-0.090928704405096,-0.02717187064145,0.0379318386061764
"CIS2",0.370577562912143,0.262363181663549,1.44867833425084,0.013843669074774,-0.0360390495013208,-0.23468960187379,0.352199839791922,0.00484201489770961,-0.0313547450814701
"CNS1",-0.45271286736149,0.222697403054819,-0.784690864303709,0.232707039021091,-0.440997321666532,0.0659834873579838,-0.459269541628825,0.0438003801672484,0.0484674615074141
"CAALFM_C100570CA",0.253695158752596,0.17372148715137,0.400193230305189,-0.0237371479917827,0.134312801047136,0.122850419027464,0.230220568983145,0.329925830758244,0.211496390094725
"CAALFM_C100580WA",0.597995636093669,0.0616114244408189,1.573423540408,-0.281443476785841,0.53732343029766,-0.442536218646007,0.595267926378242,0.055882456020965,-0.10467055891607
"TUF1",-1.07651152301004,-1.68980204004437,-1.87006904944387,-1.19754116975385,-1.04052187587674,-1.14534559824285,-0.8692190132232,-1.12805120797458,-0.481505642625959
"APC1",0.447327469694605,0.019755523192231,0.412859398569675,-0.00170308512965784,0.389936199943445,0.0843051765824917,0.434524529725497,0.160513223383561,-0.00371712221694201
"PSD1",0.20313765730219,0.145210323839054,0.242500176192928,0.0341618904176505,0.0647134713180178,-0.103548899444602,0.231877405925932,-0.0473187656362227,-0.0107022194395003
"MOB2",0.29462279683985,0.293004474579726,0.493884881844494,0.000202090791878177,0.511495120140932,-0.198757595625683,0.23964953968375,-0.00393484112943033,-0.0860826486814601
"CAALFM_C100630WA",0.829120358741684,0.972651104056995,1.12839090302632,0.955469003315816,0.77788176951597,0.633263519647547,0.861954388440288,0.950881034952073,0.0512448264612587
"RPO41",-0.585477793229767,-0.198306231510558,-1.37115484338813,-0.118884674893868,-0.584948791395031,-0.109712490562261,-0.465383673929139,-0.148237144784841,0.0105349581500548
"SNF7",-0.0533114614317533,0.0180240840319307,0.111742198888323,-0.213317556423956,0.0634595044643136,-0.209887868747865,0.0139674385662279,-0.189039208871372,-0.0614650322556332
"CAALFM_C100660CA",-0.0232975874861698,-0.269195218795703,0.278638729828514,-0.17405128393465,0.130745802714866,-0.391297741149199,0.0277038192964046,-0.152160128836249,-0.0774937029815584
"UGA32",0.578314450947261,0.118918234600492,0.940717103611123,-0.219820774763645,0.51285085302189,0.113637772566308,0.876397234394531,0.796738701911801,-0.033817471064847
"ASM3",1.19510719736103,1.18699759753642,0.369874691183591,0.349924791815956,0.624166147775462,1.12107713080056,1.15629875970563,1.33051246430116,0.0931244460548864
"RIC1",0.0947891252081967,-0.243400211647195,0.0447880589256937,0.0266292178534136,0.20327270749218,0.0575321139627689,0.207644522882866,0.25218371862158,0.0465972630950393
"CAALFM_C100700WA",-0.518556741954946,-1.26559668699232,-1.23375942428264,-0.827933479191221,-0.892611146457916,-0.47372435924837,-0.38494612808812,-0.417890706571479,-0.0824354447870505
"TUB2",0.428507372380347,0.199737060238198,0.491210351226958,0.239772695994643,0.365373734109227,0.0975261886698225,0.259164360960628,-0.128807995422859,-0.00675338190096482
"tP(UGG)3",0.0353003047518199,-0.61286066442189,0.400376376744053,-0.533104970068016,-0.225370406236447,-0.183898076645917,-0.0605889011448642,-1.88354557335409,-0.0631503906297348
"CMP1",-0.0828806382637693,-0.293068854340079,-0.144079572783798,-0.213036945828121,-0.0527874850509506,-0.197949990636338,-0.0367701558223638,-0.2386549439016,-0.0720038026745384
"SPE1",-0.389566295494654,-0.422973562007554,-0.979898023667663,-0.258529513949302,-0.198848836674499,-0.0636060256913569,-0.324325542470631,-0.188767945340385,-0.0250921303522601
"VPS27",0.269935542473621,0.253262566967943,0.672409641621996,0.012219495236937,0.296585413517072,0.0598876404139581,0.279497207049656,0.01049958417024,0.0347429271687377
"CAALFM_C100760WA",0.149621052920472,0.270221060144631,0.446414759669745,0.00406347045676203,0.290992961708168,0.0582894107382383,0.195129546776317,0.0434847878994444,0.00961925080996701
"ROT1",-0.341523849834033,0.0231245672692147,-0.980455726981603,0.137068364372902,-0.537742703149463,0.0935808236977025,-0.389349177274572,-0.110842345749808,0.0831576142064806
"HGC1",4.71928752461569,4.34485550179101,4.98888425335324,3.50768911878325,4.26039167493132,3.18527302063618,4.15403848121161,1.02181842760829,0.0245058319896617
"CAALFM_C100790WA",0.282068623443907,-0.266971286126707,0.47486557246254,0.0999896062147465,0.162157736223769,-0.134953901972873,0.244952955904433,0.377953712627188,0.0846699457229539
"ERG2",-0.242566156050679,-0.91122675302614,-1.0031160708671,-0.694688595383831,-0.0936214907690671,-0.539185970289813,-0.529319868314646,-0.809160114505159,-0.192691987585216
"CAALFM_C100810WA",-0.463539332290762,-0.954872687777449,-0.507812303010065,-0.366857154549435,-0.0769865853511294,-0.302637861093696,-0.369901625394522,-0.670831019217184,-0.0281391255034805
"CAALFM_C100820WA",0.347466667114412,0.0983558099935433,0.348791334831412,-0.0233767058019595,0.338093617399208,0.135275628863546,0.254815231701538,0.176242359614235,-0.028134631801942
"CAALFM_C100830WA",0.64875678794959,1.02807489467998,1.24482155895324,0.391178505704613,0.437689409431278,0.418263258341616,0.592484488473412,0.446413664123012,4.30864707285505e-05
"NRM1",-0.0301503499150866,-0.561130546541711,-0.0820102561097262,-0.289753185646301,0.10046253187485,-0.243804922417828,-0.0365954140151862,-0.0612434739584433,-0.0318963836330349
"IHD2",3.0144057548465,2.75659604978325,3.2302721704194,1.98052686149944,3.43996944189371,1.85173169812884,2.72099195993288,1.57156911972901,0.00451576341541693
"CAALFM_C100860WA",0.626952611706125,0.528384682017887,1.16319502837796,0.00265352559641795,0.624774401383147,-0.0815886082354871,0.502984857469207,0.375121236582224,0.00438616775029611
"LRO1",0.609420141683377,0.454659288184959,0.664592388541366,0.45532268259013,0.622243216047723,0.340445850505008,0.553078634576357,0.513403421538462,-0.0274504775992739
"CAALFM_C100880WA",0.29943140984719,0.142809307376774,1.85801408597662,0.38718159389222,0.888696268510014,1.76967371287355,0.411017167867593,0.897576842215482,0.0590937073572279
"CAALFM_C100890WA",0.0564330713558989,-0.0758857671454028,0.081942244099741,0.0385630631379048,0.0280460378287472,0.130350924978469,0.289317101562991,0.383557489910029,0.189777467416821
"RRS1",-0.342015208109853,0.391590246563796,-1.08248225677628,0.13583832529008,-0.450559366778529,0.109013710120026,-0.35462238497867,0.0100698726832732,0.00796369611178786
"CAALFM_C100910WA",-0.123092650852282,-0.613850311393329,0.207105476171177,-0.708451521708797,0.0418000439889316,-0.741362473605969,-0.177420448910326,-0.396136983767101,-0.369024151640573
"CAALFM_C100920WA",0.401845886782945,0.133005335486438,0.577050646299807,0.0637321315411621,0.657947158324,0.139480397816559,0.315861304081916,0.0163102152564763,0.0245450678762378
"SIN3",-0.191615549915564,-0.120557355855906,-0.195864852514914,-0.00289577144267037,-0.20373554876536,-0.0418534860196797,-0.0452790295477338,0.121938269473679,0.0645213126871162
"RPB11",-0.435322634406513,-0.341030119397091,-0.605429018370578,-0.220437527062567,-0.210641216084373,-0.238475002790477,-0.379411085045369,-0.274773739417849,-0.0347429120023009
"CDC5",0.12076820231627,-0.304328762809424,0.189928896855069,-0.557580943970276,0.0422672742890799,-0.272496086670032,0.124649039423532,-0.232607794800212,-0.163696616931828
"SET1",0.0787192937207119,-0.129562162742629,0.340966205336868,0.0166542692939435,0.158518258268804,0.0479438619747743,0.107670099816098,-0.0384964621996421,0.039785310467259
"CAALFM_C100970WA",-0.0680775099003914,-0.0395901919895086,-0.27518943112232,0.0308689786894272,-0.11523552127314,0.00790238110936129,0.0182273046042375,-0.0726997210485192,0.0177093567410803
"CAALFM_C100980WA",-0.522531133255296,-0.87959252920874,-1.07728300628184,-0.523951085915223,-0.414631635112257,-0.577617327307614,-0.455329963032456,-0.503797519145496,-0.0734819491443532
"NMA111",-0.289468093621998,0.346385815418755,-0.89611557057699,0.159744079722207,-0.322888039501174,0.165692782927051,-0.332288538178223,-0.0311855576867308,0.0328459246800489
"CAALFM_C101000CA",-0.171173456073081,-0.411283620593326,-0.251920554205178,-0.453956117022209,-0.10501685261046,-0.410542126330169,-0.290523181579221,-0.120706066879828,-0.100695999128851
"CAALFM_C101010WA",-0.357542284355575,-0.787772463579759,-0.745744236017526,-0.228921523806226,-0.659797586840279,-0.233378419529442,-0.187620514426492,-0.0658155549446239,0.00653098390047341
"tA(AGC)4",-0.0152638730184763,0.150350377704579,-0.152016864453333,0.056936952444367,-0.0260830429948727,0.0167326100777356,0.0333216613783003,0.00312473101599786,-0.0030151039518308
"HMT1",-0.669481960512782,0.0463726305943346,-1.70396655897384,-0.0476742625380981,-0.83438423837793,-0.0942685855390046,-0.639993690901882,-0.225821986903024,-0.00880790943043002
"CAALFM_C101040WA",0.635067122108833,0.804553223012292,1.03527649785658,0.246433016605886,0.874819265999191,0.249073205058713,0.746118287326837,0.118661104379275,-0.11141806211499
"CAALFM_C101050CA",-0.302254663800181,-0.450706823646904,-0.489655316326598,-0.213759055987802,-0.119449151225564,-0.273250045730727,-0.308747226718396,-0.358219590141682,-0.103142264466196
"MBF1",-0.503129699031922,-0.710632027551481,-0.527418009656989,-0.34349968967872,-0.1940059027832,-0.243231695802561,-0.371549396347651,-0.44843750935564,-0.0292103967471224
"CAALFM_C101070CA",-0.110043744262808,-0.15074179856103,-0.00131775056171203,-0.145591972515567,-0.197719140979117,-0.0720776748712007,0.0209766113914202,0.101606733955334,0.00346831390522365
"CAALFM_C101080WA",0.261462143295865,0.0777186505670546,0.416943637227984,0.174747008771472,0.110767092026701,0.0597841023743667,0.338043078520912,0.343477981124425,0.0801874117908561
"CAALFM_C101090CA",-0.48126561404067,-0.597501378063149,-0.899413543172905,-0.207215447990835,-0.401418938951617,-0.178401933206188,-0.388878754424844,-0.305333765534083,0.00503940970679266
"CCH1",0.38609509317092,0.756285077689835,0.338523102690486,0.452479322853561,0.432607389149237,0.327767086483445,0.370506077502542,0.192808698080896,0.642149186771591
"ZPR1",-0.648057448596274,0.0806530727332704,-1.71470216353299,0.0382302022773695,-0.974974270239987,0.0604449944164081,-0.72488666421804,-0.119393727707313,0.0397522562736759
"CAALFM_C101130WA",0.288206996636252,1.36545417096638,0.128017163438209,0.136355951368315,-0.331619340003032,0.00577262598855173,0.273063119668888,0.294506912926547,0.0808019074562902
"CAALFM_C101140CA",0.572276507038699,0.582743769496883,0.904428363255863,0.544516114567149,0.324861382664744,0.0210438064294961,0.362147500105581,0.110923870538992,0.00175414931796025
"CAALFM_C101150CA",-0.63239863743395,-0.0437968446337539,-1.32541869538319,0.107266979798188,-0.632667260335431,0.0752158957791602,-0.574906275513716,-0.0180145041765581,0.0430802415415949
"CAALFM_C101160CA",-0.312284138464442,0.364480474140857,-0.830026754603149,0.301511467297094,-0.535915705770816,0.126272325902535,-0.357067275320601,0.0326082252025395,0.0399372551376653
"ZCF17",-0.463667487370154,0.00470984102750239,-0.576514167570695,0.0161138676042857,-0.454862409582999,0.0218496518426181,-0.442548760371708,-0.17858274075112,0.0292039707128385
"CAALFM_C101180CA",0.0994031408308625,-0.301145278234789,0.485242931118276,0.00586603079909785,0.208413352406236,-0.186667353610953,0.14189187583054,-0.963579711852983,-0.0779296775997525
"CAALFM_C101190CA",0.0440341561543213,-0.362636833291767,0.170718598040293,-0.0989257386417961,0.246472974257125,-0.138636899388444,0.0994248946835065,-0.0996621851950992,-0.00366733777779296
"STB5",-0.110675682546127,-0.678467415832207,0.357869052706813,-0.4842307226992,-0.0351865117246109,-0.390186831088952,0.0511134214490223,-0.184716995536921,-0.0166924595789217
"CAALFM_C101210WA",-0.160543213124605,0.859440482552342,-0.0385914783901527,0.284862110072639,0.185097182824841,0.301243850666732,-0.401260577531904,-0.527668701762546,0.0167509174603187
"CAALFM_C101220CA",2.90150660428138,2.78862769944942,4.4070303466817,1.57758537941189,1.6203168386354,0.367839734908551,2.64837738776729,2.5987969608345,0.00721726000653425
"IFD3",0.401524516323079,0.329886420104982,0.63138835976587,0.276646054049827,0.114369491963931,0.12840990539718,1.0161024863359,1.38040897550333,-0.0107232135524686
"CAALFM_C101250WA",-0.929935555978516,-1.19936953790331,-1.19182370377458,-0.84328795569133,-0.628554568046092,-0.57988444250914,-0.587023490468526,-0.637587148902818,-0.131779174493988
"TRS20",0.262204978785598,-0.222326874509984,0.477164340750138,-0.201020998645182,0.261177767930462,-0.0663815019248838,0.114406303927721,-0.147934148914962,-0.0437009766555052
"CTA9",0.230054368188576,-0.654242041084568,0.679691012752838,-0.384841677015984,0.215373833311486,-0.386186916039629,0.147530351393682,-0.120616788696604,-0.0267661137090853
"MED22",-0.169614856253899,-0.0668858687068188,0.00135073606172175,-0.0445745998778895,0.0743719181919403,0.00740968252766375,-0.068763522802236,0.00391535027932256,-0.0425139434823776
"CAALFM_C101290CA",0.932712798528312,0.662956167784353,1.20425532025316,0.0987793116452174,0.792179674610449,0.131631856628735,0.602556351912967,0.281743625658567,0.112920241838977
"CAALFM_C101300WA",-0.214646837104437,-0.43925661975404,-0.240192205687526,-0.433025837136731,-0.177543556644597,-0.309726673443509,-0.21334880277285,-0.437174780039918,-0.0570757456890613
"MRS7",-0.577194446564328,-0.695124652394845,-0.791196631771625,-0.26588562675796,-0.658054300201252,-0.222886401576365,-0.362098338690948,-0.212743767245296,-0.00750191944219775
"DUT1",0.00256129104964786,-0.764777045489734,-0.533773055011459,-0.817630429865461,0.0327612022062954,-0.629925877989973,-0.243588624453712,-0.563190531386997,-0.468006871108765
"CAALFM_C101340CA",0.953767306226539,0.335793703041164,1.62737260812612,0.137647535782928,1.10658133276043,0.137150555014564,1.08776240487521,0.702157187621879,0.00250377135134143
"TIF",-0.635309007288502,-0.395079952566877,-1.16093915938804,-0.224834866480152,-0.557445328244763,-0.173680888773428,-0.64050139675458,-0.406458766046326,-0.00560867912167332
"CAALFM_C101360CA",1.08839466644996,1.81543825197235,1.32967525099679,0.512526791193865,0.673788530762587,0.0843706580188685,0.711392092458128,0.645947648050949,0.0238845268991705
"RPS21B",-0.464404499875509,-0.411065807579143,-1.05148656771477,-0.0945137646394272,-0.256459305551214,-0.0597392288393175,-0.434611752245371,-0.262294422893601,0.0100902639011302
"TRM2",-0.308552234304295,0.513020453698731,-1.05920030413156,0.203301864066208,-0.573761705295696,0.154395657266034,-0.318202197301125,0.139763496130099,0.0385645309284507
"CAALFM_C101390CA",0.131668056667086,0.228907748516662,0.395041182887472,-0.130381842869759,-0.0315552522724011,-0.170874499925638,0.152312278611476,-0.230356325396691,-0.104599508724241
