"","condition_FL3_vs_ctl"
"CAALFM_C100020CA",0.490616196775358
"CAALFM_C100030CA",1.21189334865098
"CTA2",1.43744197098181
"TUP1",-0.0702154393988569
"MVD",-0.288378905980228
"RCA1",0.16170244490553
"CAALFM_C100090WA",-0.0414205097489231
"CAALFM_C100100CA",-0.288299815736917
"CCT8",-0.324998252251041
"TRP1",-0.0105284161774402
"VPS53",0.252146224807933
"KEL1",0.128439597178153
"RIM8",-0.0427622370683491
"CAALFM_C100160CA",-1.0946845883337
"LEU4",-0.218771687019219
"RPL16A",-0.692060212620037
"CAALFM_C100190CA",0.453581220118713
"CAALFM_C100200CA",0.539412550486366
"CAALFM_C100210CA",0.12402201603535
"PHR2",-1.51313987095279
"BFA1",0.112534338927151
"tT(AGU)6",-0.0412624044736612
"CAALFM_C100270WA",5.60202850291847
"RFC52",NA
"POL93",4.62062142330931
"CAALFM_C100310WA",1.33166966007701
"CAALFM_C100320WA",0.140241718173331
"CAALFM_C100330CA",-0.0538132939719479
"HBR1",-0.362164950690877
"HMX1",0.59020431117971
"CDC13",0.272300941930234
"CAALFM_C100370WA",-0.26732015294727
"CAALFM_C100380CA",-0.300338681026079
"ENA2",1.75420178734413
"SVF1",-0.211558316724589
"CAALFM_C100410CA",-0.069355187868325
"CAALFM_C100420WA",0.20467870829498
"CAALFM_C100430WA",0.298939141234403
"UBP6",-0.18158632123628
"CAALFM_C100450CA",-0.519235649673866
"CAALFM_C100460WA",-0.29863813956408
"CAALFM_C100470CA",-0.069653619576901
"GCN20",-0.299427566395526
"TTR1",0.0898909525226341
"GLO1",-0.0805167690164212
"CAALFM_C100510WA",-0.618786910137604
"CAALFM_C100520WA",-0.0957740679675197
"CAALFM_C100530CA",0.326632673473517
"CAALFM_C100540CA",-0.0769343882855122
"CIS2",0.399655043405628
"CNS1",-0.333965424906852
"CAALFM_C100570CA",0.246058644527247
"CAALFM_C100580WA",0.574397015049455
"TUF1",-1.02854816852104
"APC1",0.465450317706596
"PSD1",0.220026841869034
"MOB2",0.284749409228284
"CAALFM_C100630WA",0.820727421125993
"RPO41",-0.472466093368336
"SNF7",-0.0287086004274715
"CAALFM_C100660CA",-0.00486438053113762
"UGA32",0.606313588101276
"ASM3",1.22722403063868
"RIC1",0.0919657122552637
"CAALFM_C100700WA",-0.516186774575357
"TUB2",0.441986304069747
"tP(UGG)3",0.0434749880129763
"CMP1",-0.0629995992266514
"SPE1",-0.359680527893204
"VPS27",0.309085801391122
"CAALFM_C100760WA",0.166469674397504
"ROT1",-0.319703165167432
"HGC1",4.73755227801641
"CAALFM_C100790WA",0.302579202577433
"ERG2",-0.198289031610493
"CAALFM_C100810WA",-0.447607826971964
"CAALFM_C100820WA",0.359898502489595
"CAALFM_C100830WA",0.724648990165486
"NRM1",-0.00619632269172107
"IHD2",3.05047897865483
"CAALFM_C100860WA",0.627403382034063
"LRO1",0.629879127131564
"CAALFM_C100880WA",0.202777997343621
