"","condition_RL30_vs_ctl"
"PTR3",0.713617049006508
"CAALFM_C101890CA",0.73983411468403
"CAALFM_C101900CA",0.207054283007913
"CAALFM_C101910WA",-0.380282700892072
"ROA1",-0.563815273828075
"CAALFM_C101930WA",0.0914202143610955
"CAALFM_C101940CA",-0.0404785657440264
"CAALFM_C101950CA",-0.897077241819294
"CAALFM_C101970WA",0.118021300358859
"HGT1",3.17358757299698
"HSP30",0.231330700765
"CAALFM_C102000WA",-0.270877463475367
"ZCF24",0.00292462226861759
"CAALFM_C102020WA",0.396387038079135
"CAALFM_C102030CA",-0.485334959160568
"CAALFM_C102040CA",0.196147842958248
"PHO91",0.765506720607671
"CAALFM_C102060WA",-1.22240585576549
"HSP31",-0.0576073460248158
"SET6",-0.122268226011251
"CAALFM_C102090CA",0.00836324516347549
"CAALFM_C102100WA",0.495983193368663
"HGT2",0.087989078182556
"SHA3",2.04159318761188
"GAL1",0.0790215230147119
"GAL10",0.456991220205991
"CAALFM_C102160WA",0.663649183843158
"GAL102",0.228309738032615
"GAL7",-0.199418976579066
"ABP140",-0.0161363977212507
"CAALFM_C102200CA",-0.117587185315943
"CAALFM_C102210WA",-0.334645808179806
"CAALFM_C102220CA",-0.103387719085848
"SEP7",0.380739185780245
"CAALFM_C102240WA",0.419518909036881
"CWH8",-1.30568761221908
"AGE3",-0.361717575145724
"CAALFM_C102270CA",-0.486271619916859
"PSY2",0.353532660475461
"CAALFM_C102290CA",-0.744891246968277
"CAALFM_C102300WA",-0.208139691831142
"CAALFM_C102310CA",0.0664515984456581
"CAALFM_C102320CA",-0.651119835560769
"CAALFM_C102330CA",-0.632922264646974
"tR(CCG)1",0.427430080239342
"TIM21",-1.2399133826249
"PGA5",-1.54820760677756
"CAALFM_C102370CA",-0.227114955083461
"CAALFM_C102380CA",0.117936415284633
"CAALFM_C102390WA",0.612665497562095
"MNN11",-0.173275531937483
"CAALFM_C102410CA",-0.848367522328278
"GSC1",0.696151854272086
"CAALFM_C102430CA",-0.147337750395336
"CAALFM_C102440CA",-1.70811844071471
"CAALFM_C102450CA",-0.729081903454776
"RPL10",-0.350592945345268
"CAALFM_C102470WA",0.140048591723376
"PMM1",0.620476077707964
"CAALFM_C102490CA",-0.9289380640447
"CAALFM_C102500WA",0.70552476477717
"CAALFM_C102510WA",0.960077057856583
"SCW4",0.413731466534509
"DIP5",0.123601029415023
"tR(UCU)4",0.106236903558178
"PUT4",0.0458014315288905
"HNM4",0.943176259527145
"SNZ1",-0.786028560612659
"SNO1",-0.402221013951511
"IML1",0.176751568084347
"HOM6",-0.391580424287502
"EXG2",2.03988437320357
"TOM20",-0.160613233519164
"CAALFM_C102650WA",-0.842510571290027
"MGM101",-0.774520842716627
"CAALFM_C102670CA",1.48141210916969
"CAALFM_C102680CA",1.71861229209939
"CAALFM_C102690CA",1.69935760943018
"CAALFM_C102700CA",-0.847261295259991
"FRS2",0.0752344098924035
"CAALFM_C102720WA",0.0418631703685528
"CAALFM_C102730WA",8.9402937388556e-06
"CAALFM_C102740CA",0.260859917574144
"CAALFM_C102750CA",-0.224912283431967
"CAALFM_C102760WA",0.257882823809025
"CAALFM_C102770WA",0.449269354869656
"CAALFM_C102780WA",-0.263965273459648
"TIF34",-0.0173087466775167
"CAALFM_C102800WA",1.48275058046519
"RAD16",1.78463453264501
"LYS2",-0.739198485270478
"CAALFM_C102830WA",0.0202850144691455
"PDE2",0.24855401882094
"CAALFM_C102850WA",-0.0465381252599611
"YKT6",0.609480930071419
"YPT7",0.237396100912187
"MIA40",-1.29016847720543
"CAALFM_C102890CA",-0.579296878080811
"CAALFM_C102900CA",-0.111085662475296
"CAALFM_C102910CA",0.11929133123671
"CDC73",-0.425811020587289
"MST1",-0.801007269010428
"CAALFM_C102940CA",0.425720407390788
"CAALFM_C102950WA",0.909300394154053
"CAALFM_C102960CA",-0.18543673099984
"CAALFM_C102970WA",-0.935870499039681
"GOR1",-3.11593458543976
"XOG1",3.35948012291214
"HOL1",0.564455862160391
"RPP1A",-0.574552798110359
"RPL13",-0.437434898692936
"RPS16A",-0.41402451127017
"CAALFM_C103040WA",0.854078280207759
"CAALFM_C103050WA",0.224670603421061
"TSR2",-0.125116080661907
"ORC1",0.165402244442559
"TEM1",-0.0675797205148744
"RPS1",-0.347015339533126
"CAALFM_C103100WA",-0.336147852441944
"RPL6",-0.352884914919153
"CAALFM_C103120WA",0.56367400638411
"GGA2",-0.337776532710433
"CAALFM_C103140WA",-0.928789129214576
"CAALFM_C103150CA",-2.01471573881927
"COQ4",-0.820449144422302
"CAALFM_C103170CA",0.373631615513004
"CAALFM_C103180WA",-0.247392746661309
"ECM33",0.410428582055665
"ARO80",-0.214947914711853
"CDC12",0.903250462129572
"BMH1",-0.29917191116499
"ARX1",-0.133526953779113
"CAALFM_C103240WA",-0.615000896482703
"SPP1",0.449026150476215
"CAALFM_C103260WA",0.537055735227827
"CAALFM_C103270WA",-0.0307639359313516
"CAALFM_C103280WA",-0.666874150338115
"NGG1",0.279557367522216
"MAS1",-0.641295196657833
"CAALFM_C103310WA",-0.04677176738463
