"","condition_YS30_vs_ctl"
"CAALFM_C101890CA",0.602373283502243
"CAALFM_C101900CA",-0.0570368200252849
"CAALFM_C101910WA",0.964636219284303
"ROA1",0.288860808340461
"CAALFM_C101930WA",0.25501630048428
"CAALFM_C101940CA",0.235814174684611
"CAALFM_C101950CA",-0.597831896570616
"CAALFM_C101970WA",0.0247504920298056
"HGT1",-0.962431143516974
"HSP30",-0.270806848562479
"CAALFM_C102000WA",-0.116542637349779
"ZCF24",-1.92269215383534
"CAALFM_C102020WA",-1.30672963992675
"CAALFM_C102030CA",-0.600334240573521
"CAALFM_C102040CA",-0.171906382548699
"PHO91",0.902956016778072
"CAALFM_C102060WA",-1.9136684853344
"HSP31",1.98387295880403
"SET6",0.182416314724596
"CAALFM_C102090CA",0.497690347406164
"CAALFM_C102100WA",0.226662423961046
"HGT2",1.35159020062111
"SHA3",5.83917830340399
"GAL1",2.41023481610412
"GAL10",3.84830461914572
"CAALFM_C102160WA",0.502349774270602
"GAL102",1.22455673809709
"GAL7",3.35925107338712
"ABP140",0.698205588483102
"CAALFM_C102200CA",-0.15765311041819
"CAALFM_C102210WA",-0.474474010879166
"CAALFM_C102220CA",-0.358390139951901
"SEP7",0.749523393436228
"CAALFM_C102240WA",0.256462767761191
"CWH8",0.0365566676113653
"AGE3",-0.217670990255604
"CAALFM_C102270CA",-1.22765158678866
"PSY2",0.500686796990676
"CAALFM_C102290CA",-0.504425809117409
"CAALFM_C102300WA",-0.0380654931482418
"CAALFM_C102310CA",-0.0585312680751983
"CAALFM_C102320CA",0.0441923713164908
"CAALFM_C102330CA",0.382973784668433
"tR(CCG)1",-0.0301412364169178
"TIM21",-1.00174218886215
"PGA5",-1.11742235125862
"CAALFM_C102370CA",1.39685951985706
"CAALFM_C102380CA",0.30689918109579
"CAALFM_C102390WA",0.727545876302668
"MNN11",-0.0805148059441706
"CAALFM_C102410CA",0.10584922996869
"GSC1",0.974581914244719
"CAALFM_C102430CA",0.228775918720897
"CAALFM_C102440CA",-1.55824127626871
"CAALFM_C102450CA",-0.12017761167413
"RPL10",0.180852850538663
"CAALFM_C102470WA",-0.598119979159945
"PMM1",0.928799764243644
"CAALFM_C102490CA",-0.529347246693773
"CAALFM_C102500WA",1.06300304487276
"CAALFM_C102510WA",0.894826802008828
"SCW4",0.310661565846809
"DIP5",0.142757211830831
"tR(UCU)4",0.355521987459348
"PUT4",-0.0999330646715075
"HNM4",1.44864298999899
"SNZ1",-5.96494262552555
"SNO1",-6.58970230011473
"IML1",-1.21143375741472
