"","condition_YS3_vs_ctl"
"CAALFM_C100020CA",-0.0296441473515101
"CAALFM_C100030CA",0.0101026411817688
"CTA2",-0.0172839872637428
"TUP1",-0.124429927430651
"MVD",-0.0504282825833006
"RCA1",-0.0109448997272759
"CAALFM_C100090WA",-0.00432939049067142
"CAALFM_C100100CA",-0.0267367457414599
"CCT8",-0.0251424880387252
"TRP1",8.53278269762575e-05
"VPS53",0.0174476732487538
"KEL1",-0.00864475004281789
"RIM8",-0.0381396827087866
"CAALFM_C100160CA",0.00356286737030349
"LEU4",-0.0256540081484755
"RPL16A",0.0159486233597427
"CAALFM_C100190CA",-0.00978181246932411
"CAALFM_C100200CA",-0.00608910070057593
"CAALFM_C100210CA",0.0553366770369362
"PHR2",-0.0103729645353061
"BFA1",-0.027726777432439
"tT(AGU)6",-0.0142665063193418
"CAALFM_C100270WA",0.0171336720896416
"RFC52",NA
"POL93",-0.00525496450863643
"CAALFM_C100310WA",-0.00441438823293192
"CAALFM_C100320WA",-0.0126871553254641
"CAALFM_C100330CA",-0.00917239871830522
"HBR1",-0.000773184005297866
"HMX1",-0.000379794120693766
"CDC13",-0.0312054528272941
"CAALFM_C100370WA",0.0156397323382754
"CAALFM_C100380CA",0.0294850757267008
"ENA2",0.0949955879219576
"SVF1",-0.00857402533784511
"CAALFM_C100410CA",-0.00920267839360518
"CAALFM_C100420WA",-0.00287552728613849
"CAALFM_C100430WA",0.0035920362473179
"UBP6",0.0311725873743087
"CAALFM_C100450CA",-0.0120401872261436
"CAALFM_C100460WA",-0.00256645512439998
"CAALFM_C100470CA",0.00302857490958574
"GCN20",0.0295273873647266
"TTR1",-0.0529427506414806
"GLO1",-0.000135902416095697
"CAALFM_C100510WA",-0.00380034437780379
"CAALFM_C100520WA",-0.00384050105077245
"CAALFM_C100530CA",-0.0614369736270369
"CAALFM_C100540CA",0.00706029682039235
"CIS2",-0.0183557973117608
"CNS1",0.011074156918432
"CAALFM_C100570CA",0.0506762603838319
"CAALFM_C100580WA",-0.0374937113771598
"TUF1",-0.255364167300727
"APC1",0.00345143033232498
"PSD1",0.00181742497937303
"MOB2",-0.0259007702500695
"CAALFM_C100630WA",0.0225354468276377
"RPO41",0.00343025598695179
"SNF7",-0.0248822575693027
"CAALFM_C100660CA",-0.0324441782422274
"UGA32",-0.0172184868409532
"ASM3",0.0594909566205572
"RIC1",0.0141901477536102
"CAALFM_C100700WA",-0.0555361215411339
"TUB2",-0.00126577058936965
"tP(UGG)3",-0.0297087571017542
