"","condition_LS30_vs_ctl"
"CAALFM_C100020CA",0.593083981311028
"CAALFM_C100030CA",1.53482384197045
"CTA2",-0.162361717600806
"TUP1",-0.634404836955688
"MVD",-1.93335676027679
"RCA1",0.240092559161731
"CAALFM_C100090WA",-0.506350151568347
"CAALFM_C100100CA",-2.09262203713402
"CCT8",-1.55447385584877
"TRP1",-0.363528374536461
"VPS53",0.170383720515629
"KEL1",-0.26476995011634
"RIM8",-0.343080607593197
"CAALFM_C100160CA",-1.38192506521776
"LEU4",0.99050791994336
"RPL16A",-0.842621068860845
"CAALFM_C100190CA",5.30872984093228
"CAALFM_C100200CA",0.544057634690185
"CAALFM_C100210CA",0.525378589913195
"PHR2",-1.77367664625168
"BFA1",-0.102830440918603
"tT(AGU)6",-0.355069451783444
"CAALFM_C100270WA",4.80690464412026
"RFC52",NA
"POL93",2.7961521353291
"CAALFM_C100310WA",1.85357620791608
"CAALFM_C100320WA",-0.311511156933976
"CAALFM_C100330CA",-0.439259957258512
"HBR1",-0.806740174074034
"HMX1",0.866941883752804
"CDC13",-0.321186979093739
"CAALFM_C100370WA",0.779298879871509
"CAALFM_C100380CA",0.35110867300477
"ENA2",2.49769668746497
"SVF1",-0.835672160307857
"CAALFM_C100410CA",-0.652801424268063
"CAALFM_C100420WA",1.63627946027478
"CAALFM_C100430WA",0.428570857466595
"UBP6",0.890303828265425
"CAALFM_C100450CA",-0.724111293942974
"CAALFM_C100460WA",-0.5230013087468
"CAALFM_C100470CA",-0.529948993953407
"GCN20",-1.04361288769798
"TTR1",2.73899218420092
"GLO1",-0.0885208494541451
"CAALFM_C100510WA",-0.434353135974296
"CAALFM_C100520WA",-0.431041884459288
"CAALFM_C100530CA",0.340047054099717
"CAALFM_C100540CA",-1.68335452407447
"CIS2",-0.525306538710684
"CNS1",-1.70294605013171
"CAALFM_C100570CA",0.0283878526212533
"CAALFM_C100580WA",2.09837684373751
"TUF1",-2.3690845290018
"APC1",-0.435596475228749
"PSD1",0.768651821243398
"MOB2",-0.0312561091702058
"CAALFM_C100630WA",1.45756117565756
"RPO41",-2.16368313523054
"SNF7",0.304178116927485
"CAALFM_C100660CA",0.419453128483011
"UGA32",0.487505416336001
"ASM3",0.258783810290231
"RIC1",0.356147122626258
"CAALFM_C100700WA",0.60630151779036
"TUB2",0.186791883414027
"tP(UGG)3",-0.929450748036709
"CMP1",-0.538504267025694
"SPE1",-0.646513534539411
"VPS27",0.892026969512764
"CAALFM_C100760WA",0.271988879979225
"ROT1",-0.261629058591273
"HGC1",2.28635146290082
"CAALFM_C100790WA",1.21924610718109
"ERG2",-2.02688077060256
