"","condition_LS3_vs_ctl"
"CAALFM_C100020CA",0.0289879181772608
"CAALFM_C100030CA",0.225095830010021
"CTA2",0.913861913649812
"TUP1",-0.666702648092897
"MVD",-0.403460308747069
"RCA1",-0.176622157622526
"CAALFM_C100090WA",-0.0949740541140016
"CAALFM_C100100CA",-0.311865170457619
"CCT8",-0.406945324961277
"TRP1",-0.0250639363737348
"VPS53",0.196517414225269
"KEL1",0.0573150818873821
"RIM8",-0.637181955795784
"CAALFM_C100160CA",-0.202395463371673
"LEU4",-0.139810850415454
"RPL16A",-0.102876065759714
"CAALFM_C100190CA",-0.0804484074014378
"CAALFM_C100200CA",0.422804832457799
"CAALFM_C100210CA",0.239702350156576
"PHR2",-1.55824389713829
"BFA1",-0.0728623468821863
"tT(AGU)6",-0.0143005985098742
"CAALFM_C100270WA",1.64156630511144
"RFC52",NA
"POL93",0.633740745118936
"CAALFM_C100310WA",0.32804792246141
"CAALFM_C100320WA",-0.0713707994690519
"CAALFM_C100330CA",-0.140728387829334
"HBR1",-0.0885827184995099
"HMX1",0.413402887607096
"CDC13",-0.131433718850601
"CAALFM_C100370WA",-0.0286442575731478
"CAALFM_C100380CA",-0.0316927579466364
"ENA2",0.89801899411863
"SVF1",0.0857629668273594
"CAALFM_C100410CA",-0.301826560952122
"CAALFM_C100420WA",0.0559533694214025
"CAALFM_C100430WA",0.167266155838502
"UBP6",0.105530885328928
"CAALFM_C100450CA",-0.168353375918891
"CAALFM_C100460WA",-0.194742480863574
"CAALFM_C100470CA",0.148536566548819
"GCN20",0.0335063979243623
"TTR1",-0.207877830632044
"GLO1",0.0578867174041847
"CAALFM_C100510WA",-0.191181963957425
"CAALFM_C100520WA",-0.0630390280722456
"CAALFM_C100530CA",-0.147402791414181
"CAALFM_C100540CA",-0.0115776092935011
"CIS2",0.0155685857187085
"CNS1",0.16122956818769
"CAALFM_C100570CA",-0.00827249367354272
"CAALFM_C100580WA",-0.228242507547951
"TUF1",-1.15228941114263
"APC1",0.0118041493021918
"PSD1",0.0445999602612262
"MOB2",0.0112946173451902
"CAALFM_C100630WA",0.934433779017198
"RPO41",-0.0761959158170866
"SNF7",-0.178801573803517
"CAALFM_C100660CA",-0.147510112145076
"UGA32",-0.213857778045696
"ASM3",0.33667110335546
"RIC1",0.0256324216622465
"CAALFM_C100700WA",-0.833534612085795
"TUB2",0.243292993092736
"tP(UGG)3",-0.430137729442282
"CMP1",-0.19759157812489
"SPE1",-0.232972581232955
"VPS27",0.0235863828191863
"CAALFM_C100760WA",0.0265078579922027
"ROT1",0.143621534003998
"HGC1",3.51563911005055
"CAALFM_C100790WA",0.115324142562299
