"","condition_LL3_vs_ctl"
"CAALFM_C100020CA",1.07105051250953
"CAALFM_C100030CA",1.81993836318921
"CTA2",2.16964157963581
"TUP1",-0.151235199040032
"MVD",-0.511020229004877
"RCA1",-0.0528056290172369
"CAALFM_C100090WA",-0.688591713869517
"CAALFM_C100100CA",-0.584811021860703
"CCT8",-0.829506473600604
"TRP1",-0.213787700847053
"VPS53",0.867177777706141
"KEL1",1.22946850484544
"RIM8",0.120427650019806
"CAALFM_C100160CA",-2.4384323087265
"LEU4",-1.01856916575695
"RPL16A",-1.34200961127577
"CAALFM_C100190CA",2.15653949395576
"CAALFM_C100200CA",0.472060099492929
"CAALFM_C100210CA",-0.00657813358416312
"PHR2",-3.27503622929301
"BFA1",0.324537070864423
"tT(AGU)6",-0.541935849610531
"CAALFM_C100270WA",2.58002751012821
"RFC52",NA
"POL93",2.03475521400168
"CAALFM_C100310WA",2.0751826411603
"CAALFM_C100320WA",0.459046484098444
"CAALFM_C100330CA",-0.193139889247143
"HBR1",-0.906226004406163
"HMX1",1.9322701813441
"CDC13",0.647439238885617
"CAALFM_C100370WA",-0.310740534092303
"CAALFM_C100380CA",-0.159264418346307
"ENA2",1.9399280918696
"SVF1",-0.250184284716345
"CAALFM_C100410CA",1.00638847034122
"CAALFM_C100420WA",0.359915997495153
"CAALFM_C100430WA",0.853858599418771
"UBP6",-0.0920567042788949
"CAALFM_C100450CA",-0.616937718760959
"CAALFM_C100460WA",-0.323174285987846
"CAALFM_C100470CA",-0.124261736930207
"GCN20",-0.732725694409012
"TTR1",0.233193096557373
"GLO1",-0.150739799574048
"CAALFM_C100510WA",-1.01197363569634
"CAALFM_C100520WA",-0.0925068551700505
"CAALFM_C100530CA",0.215409977967507
"CAALFM_C100540CA",-0.39064904961753
"CIS2",1.51576895023446
"CNS1",-0.666331332683078
"CAALFM_C100570CA",0.43021382788053
"CAALFM_C100580WA",1.59795134390886
"TUF1",-1.81074240314219
"APC1",0.457420666808479
"PSD1",0.289010233570397
"MOB2",0.522630301319716
"CAALFM_C100630WA",1.15648317735409
"RPO41",-1.26854951769285
"SNF7",0.155973283157751
"CAALFM_C100660CA",0.317021907349099
"UGA32",0.993958529073173
"ASM3",0.412911105394709
"RIC1",0.0830862818463804
"CAALFM_C100700WA",-1.20082578694823
"TUB2",0.534098481147147
