"","condition_RL3_vs_ctl"
"CAALFM_C100020CA",0.794456878186426
"CAALFM_C100030CA",0.493720308196753
"CTA2",2.21715835519791
"TUP1",0.160451042923946
"MVD",0.05643636995168
"RCA1",-0.0349629260256968
"CAALFM_C100090WA",-0.264060073700678
"CAALFM_C100100CA",-0.213880058367855
"CCT8",-0.198240575632511
"TRP1",0.142659064821816
"VPS53",0.352467945926372
"KEL1",0.159934643961264
"RIM8",-0.211663466506961
"CAALFM_C100160CA",-1.42764847332345
"LEU4",-0.568703521539838
"RPL16A",-0.492478224689536
"CAALFM_C100190CA",-0.146144217612553
"CAALFM_C100200CA",0.335092663051914
"CAALFM_C100210CA",0.305626829858208
"PHR2",-3.35613273284981
"BFA1",0.220155129785836
"tT(AGU)6",-0.225546251144627
"CAALFM_C100270WA",4.00072171316265
"RFC52",NA
"POL93",2.93880252175831
"CAALFM_C100310WA",1.50291184397341
"CAALFM_C100320WA",0.412889351804046
"CAALFM_C100330CA",0.041423351018472
"HBR1",-0.380377330446154
"HMX1",0.852421016100097
"CDC13",0.399167900687467
"CAALFM_C100370WA",-0.294635616609497
"CAALFM_C100380CA",-0.201057540112623
"ENA2",2.22778395526977
"SVF1",-0.432281179583812
"CAALFM_C100410CA",-0.0418580928408173
"CAALFM_C100420WA",-0.0350927846587052
"CAALFM_C100430WA",0.0421224018070468
"UBP6",-0.00467847208788596
"CAALFM_C100450CA",-0.312357416722258
"CAALFM_C100460WA",-0.16814738610395
"CAALFM_C100470CA",0.0547896584200647
"GCN20",-0.203006403807465
"TTR1",0.18105550025471
"GLO1",-0.184533635414069
"CAALFM_C100510WA",-0.402824298812971
"CAALFM_C100520WA",0.130052545891227
"CAALFM_C100530CA",0.426168570600969
"CAALFM_C100540CA",-0.280304941908544
"CIS2",-0.021894875640501
"CNS1",-0.316009045348272
"CAALFM_C100570CA",0.138928329798821
"CAALFM_C100580WA",0.518290172060931
"TUF1",-0.989378677689107
"APC1",0.411713429541345
"PSD1",0.0883779810398585
"MOB2",0.494133461991928
"CAALFM_C100630WA",0.777484510969621
"RPO41",-0.464347512387858
"SNF7",0.0861560315075211
"CAALFM_C100660CA",0.142059341713536
"UGA32",0.543026889330273
"ASM3",0.659554639672835
"RIC1",0.191738393952199
"CAALFM_C100700WA",-0.888138233031999
"TUB2",0.382853179565769
"tP(UGG)3",-0.197187165085116
"CMP1",-0.0278826331923306
"SPE1",-0.170658565251108
"VPS27",0.340953654725165
"CAALFM_C100760WA",0.30797620054436
"ROT1",-0.508079139767375
"HGC1",4.27894693974812
"CAALFM_C100790WA",0.185385294087774
"ERG2",-0.0619868963983724
"CAALFM_C100810WA",-0.0605910508410183
"CAALFM_C100820WA",0.36364199116197
"CAALFM_C100830WA",0.520597892440696
"NRM1",0.0954536945807387
"IHD2",3.48427238535841
"CAALFM_C100860WA",0.636071385489774
"LRO1",0.650450717260079
"CAALFM_C100880WA",0.61046816438201
"CAALFM_C100890WA",0.0467299806072116
"RRS1",-0.372483963992932
"CAALFM_C100910WA",0.0620941793574817
"CAALFM_C100920WA",0.673146321266838
"SIN3",-0.173236313401572
"RPB11",-0.219908139951641
"CDC5",0.0600065364919976
"SET1",0.170854424945541
"CAALFM_C100970WA",-0.0852127907848706
"CAALFM_C100980WA",-0.40886189212884
"NMA111",-0.232032521794869
"CAALFM_C101000CA",-0.0761680577883672
"CAALFM_C101010WA",-0.690376629532517
"tA(AGC)4",-0.0158729094572025
"HMT1",-0.699390380306268
"CAALFM_C101040WA",0.86547398295217
"CAALFM_C101050CA",-0.0861530123105734
"MBF1",-0.176177471281077
"CAALFM_C101070CA",-0.166930486423195
"CAALFM_C101080WA",0.132781118400713
"CAALFM_C101090CA",-0.433549218230428
"CCH1",0.514406262655989
"ZPR1",-0.841549692654727
"CAALFM_C101130WA",-0.32194487540745
"CAALFM_C101140CA",0.185521365888987
"CAALFM_C101150CA",-0.575148393011381
"CAALFM_C101160CA",-0.36736632922787
"ZCF17",-0.396145453830189
"CAALFM_C101180CA",0.239591294395871
"CAALFM_C101190CA",0.2750674189483
"STB5",-0.0188656733927507
"CAALFM_C101210WA",0.20171169763336
"CAALFM_C101220CA",1.62408493483836
"IFD3",0.1317912983057
"CAALFM_C101250WA",-0.55829420948496
"TRS20",0.217218717512096
"CTA9",0.179048338779437
"MED22",0.0985372490811119
"CAALFM_C101290CA",0.820583232560261
"CAALFM_C101300WA",-0.142899515098143
"MRS7",-0.655263339974101
"DUT1",0.0438615783975365
"CAALFM_C101340CA",1.13499435768848
"TIF",-0.494488865128359
"CAALFM_C101360CA",0.525184016195075
"RPS21B",-0.266057802482859
"TRM2",-0.502025209087222
"CAALFM_C101390CA",-0.00636236953496108
"CAALFM_C101400CA",0.299067161868848
"CRL1",0.173425355247649
"POX18",-0.0766037992222917
"ABC1",-0.362736396385103
"CAALFM_C101460WA",0.611182971788479
"CAALFM_C101470WA",-0.474385048553324
"RPS21",-0.495314086388632
"CAALFM_C101490WA",0.00279685565548501
"CAALFM_C101510WA",-0.431646595403283
"SOD2",-0.578351851393895
"CAALFM_C101530CA",-0.721062382061725
"CAALFM_C101540WA",0.157378331133076
"VPS17",0.290905894830957
"SIZ1",0.281899376777776
"RPB7",-0.261590936707892
"CAALFM_C101580WA",-0.561033433194649
"CAALFM_C101590CA",-0.30370575039638
"MRP20",-0.99538980902234
"CAALFM_C101610CA",0.856518167766502
"CAALFM_C101620CA",-0.192022890496922
"CAALFM_C101630WA",-0.0409645462251562
"RPS42",-0.469581662215952
"ISN1",0.675970968303842
"tS(UGA)1",0.0241148902084336
"ESP1",0.0417860586801336
"CAALFM_C101680CA",-0.504029681044259
"LSC1",0.172135807245514
"ARP8",-0.12736516133847
"CAALFM_C101710WA",0.159385830812649
"CAALFM_C101720CA",-0.189874214887716
"tA(AGC)3",-0.00234881472085224
"CTN1",0.480482535022094
"CAALFM_C101750WA",-0.25926931754721
"FGR38",0.880336803182695
"MAK32",0.231665715837575
"HOL4",0.982032489632521
"SWI4",-0.180063360031088
"CAALFM_C101800WA",0.164579505853421
"UGA2",1.38381125700801
"CAALFM_C101820CA",-0.151280399223597
"UBC8",0.324985485337141
"CAALFM_C101840CA",1.67135125315824
"CAALFM_C101850CA",-0.149648866333521
"CAALFM_C101860WA",-0.109846787786748
"CYS4",-0.582813877597233
"PTR3",0.517184944243118
"CAALFM_C101890CA",0.549352037252481
"CAALFM_C101900CA",-0.147242945183281
"CAALFM_C101910WA",-0.871628407142589
"ROA1",-1.4136336786567
"CAALFM_C101930WA",2.12409527139905
"CAALFM_C101940CA",-0.159346615415336
"CAALFM_C101950CA",-0.116466324622134
"CAALFM_C101970WA",-0.192215925524069
"HGT1",3.67595641825161
"HSP30",-0.163800146325071
"CAALFM_C102000WA",0.447732771510981
"ZCF24",0.625645477654603
"CAALFM_C102020WA",0.418043501806745
"CAALFM_C102030CA",-0.0654011406862701
"CAALFM_C102040CA",-0.0210086877806587
"PHO91",0.425445969114465
"CAALFM_C102060WA",0.617471501769718
"HSP31",-0.334393980193983
"SET6",-0.481406308269702
"CAALFM_C102090CA",-0.373745599528003
"CAALFM_C102100WA",0.6696463265558
"HGT2",0.108464656672175
"SHA3",0.526392417229546
"GAL1",0.199621653159352
"GAL10",0.512064175389166
"CAALFM_C102160WA",0.54527013012072
"GAL102",0.424078554302473
"GAL7",-0.0551501363808977
"ABP140",-0.282591682893765
"CAALFM_C102200CA",0.314819633125859
"CAALFM_C102210WA",0.28352901506469
"CAALFM_C102220CA",0.54921123096506
"SEP7",0.194563704687626
"CAALFM_C102240WA",-0.0336815968186128
"CWH8",0.508481459288285
"AGE3",-0.186754033504791
"CAALFM_C102270CA",0.115331981316222
"PSY2",0.180089229319138
"CAALFM_C102290CA",-0.59412723261456
"CAALFM_C102300WA",-0.138737195382842
"CAALFM_C102310CA",0.090874865473425
"CAALFM_C102320CA",-0.0275757698280269
"CAALFM_C102330CA",-0.816754155102956
"tR(CCG)1",0.203934133776188
"TIM21",-0.989161409156394
"PGA5",-0.755703307520198
"CAALFM_C102370CA",0.191211900355614
"CAALFM_C102380CA",0.0322193947784238
"CAALFM_C102390WA",0.142999156441647
"MNN11",-0.0853883694182316
"CAALFM_C102410CA",-0.240001173200396
"GSC1",-0.1132080302726
"CAALFM_C102430CA",-0.593404375567581
"CAALFM_C102440CA",-0.242210731121864
"CAALFM_C102450CA",-0.999582672453821
"RPL10",-0.494700565854005
"CAALFM_C102470WA",0.444393338523388
"PMM1",0.0537578757175325
"CAALFM_C102490CA",-1.03679267722127
"CAALFM_C102500WA",0.234249361644595
"CAALFM_C102510WA",0.209345938806565
"SCW4",0.0339156727945856
"DIP5",-0.425800981114353
"tR(UCU)4",6.21827349884112
"PUT4",0.136949919199256
"HNM4",0.70486815663441
"SNZ1",0.77598588057667
"SNO1",0.436287877010759
"IML1",0.0782149215376417
"HOM6",-0.326225900360723
"EXG2",2.06464270113943
"TOM20",-0.541799175656143
"CAALFM_C102650WA",-0.818847628013413
"MGM101",-0.546421467988151
"CAALFM_C102670CA",0.252993509513092
"CAALFM_C102680CA",1.23140726966965
"CAALFM_C102690CA",-0.0195433062284777
"CAALFM_C102700CA",1.69488082195745
"FRS2",-0.243374690176596
"CAALFM_C102720WA",-0.152787009343088
"CAALFM_C102730WA",0.492417502258004
"CAALFM_C102740CA",0.605311499537251
"CAALFM_C102750CA",-0.206261311135538
"CAALFM_C102760WA",0.0436757215266309
"CAALFM_C102770WA",0.476741255846674
"CAALFM_C102780WA",0.490354475549382
"TIF34",-0.412311598683921
"CAALFM_C102800WA",0.0276690223059082
"RAD16",0.120178475774937
"LYS2",-0.652530459147054
"CAALFM_C102830WA",0.114101890942171
"PDE2",-0.281038105504729
"CAALFM_C102850WA",-0.413034289362394
"YKT6",0.221756268734993
"YPT7",0.227219405866499
"MIA40",-1.20044305946672
"CAALFM_C102890CA",-0.457942523136317
"CAALFM_C102900CA",-0.0967238636043143
"CAALFM_C102910CA",0.723551400683533
"CDC73",-0.34278542676712
"MST1",-0.636241393379417
"CAALFM_C102940CA",0.351110981320067
"CAALFM_C102950WA",0.600315043637917
"CAALFM_C102960CA",0.0585752914511894
"CAALFM_C102970WA",-0.307840363314735
"GOR1",-0.550067762783814
"XOG1",2.08315608394611
"HOL1",0.726698535890484
"RPP1A",-0.585307814140471
"RPL13",-0.524597707767096
"RPS16A",-0.439042651974472
"CAALFM_C103040WA",0.299376601548096
"CAALFM_C103050WA",0.0787627964264764
"TSR2",-0.306419858222091
"ORC1",0.123461179965862
"TEM1",0.258670841186413
"RPS1",-0.543295048626811
"CAALFM_C103100WA",0.58361955299215
"RPL6",-0.481819224073667
"CAALFM_C103120WA",0.360894068520443
"GGA2",-0.0651834844849726
"CAALFM_C103140WA",0.450023875907838
"CAALFM_C103150CA",0.519348555044408
"COQ4",-0.152897293136864
"CAALFM_C103170CA",0.836220798972318
"CAALFM_C103180WA",0.107895333828642
"ECM33",0.269956246259901
"ARO80",0.149024531751439
"CDC12",0.573493017472786
"BMH1",-0.190689071503969
"ARX1",-0.795971291121634
"CAALFM_C103240WA",-0.0915225418392925
"SPP1",0.502456234026067
"CAALFM_C103260WA",0.273709137113636
"CAALFM_C103270WA",0.621902337885834
"CAALFM_C103280WA",-0.668361692129854
"NGG1",0.174679945827722
"MAS1",-0.672622910115719
"CAALFM_C103310WA",-0.0879768240139507
"EHD3",0.511223861167758
"CAALFM_C103330CA",0.773957565502433
"SEC62",0.514764016901717
"RLI1",-0.530483988730465
"CAALFM_C103360WA",-0.233687589715762
"CAALFM_C103370WA",-1.27050435210241
"TPS2",0.386369541177625
"EHT1",-0.51941942209122
"CAALFM_C103400WA",0.0068240336277272
"CAALFM_C103410WA",0.0702463576252233
"tN(GUU)3",-0.144178469203948
"CAALFM_C103430WA",0.29332989268331
"CAALFM_C103440CA",-0.109657521446815
"CAALFM_C103450CA",0.506299582259492
"CAALFM_C103460CA",-1.623072826598
"CAALFM_C103470CA",0.262766426207808
"AGE1",0.0724980110431064
"CAALFM_C103490WA",0.0825406296397226
"YPT1",0.305753432934719
"CAALFM_C103510CA",0.171387055498237
"RPN3",-0.113751725018869
"MED17",0.00332420647139295
"CAALFM_C103540CA",0.161615710007221
"COQ6",-0.334891706558765
"SUA71",-0.316357220155916
"tL(UAA)3",-0.00402790425230693
"CAALFM_C103580WA",0.0585296362927818
"CAALFM_C103600WA",0.3485803150888
"IMP1",0.156113648003782
"CAALFM_C103620CA",-0.890670027938458
"CAALFM_C103630WA",-0.0328207500303119
"HFL1",0.0643333638994764
"MRPL27",-0.32118623023066
"CAALFM_C103660WA",0.84069099265056
"DAO1",0.0305496339987375
"ENG1",-0.599369148867448
"CAALFM_C103690WA",0.034869647007367
"tT(CGU)1",0.00321590989911272
"MSB1",0.0589664780299312
"CAALFM_C103720CA",0.18157948729561
"MNS1",0.522570329268922
"WAR1",-0.113695406940812
"CAALFM_C103750WA",0.307892241480311
"STR2",-0.103458460219993
"SKO1",-0.098465025775226
"HMG1",0.0476888745673846
"CAALFM_C103790CA",-0.75242865571895
"RPP1",-0.495272205731735
"ELA1",-0.126214170234996
"PDR16",-0.0867019859661074
"CAALFM_C103830CA",-0.531416315739802
"CAALFM_C103840WA",-0.499365928693118
"BNI4",0.262969799206791
"CAALFM_C103870CA",-1.86952033049163
"CAALFM_C103880CA",-0.0454909240431101
"CAALFM_C103890WA",-0.491899649444593
"SEN15",-0.610266776431785
"CAALFM_C103910CA",0.103010689143064
"CAALFM_C103920CA",0.323793644593481
"CAALFM_C103930WA",-0.539597447072198
"CAALFM_C103940WA",-1.14544796292293
"CAALFM_C103950CA",-0.126103414890169
"CAALFM_C103960CA",0.0484065186248963
"SPC19",0.0520622260812159
"CAALFM_C103990WA",-0.240205615279341
"KTR4",-0.234618784493274
"CAALFM_C104010CA",0.119989050780235
"CSH1",2.99974679487655
"CAALFM_C104030WA",-0.366827864449553
"CAALFM_C104040CA",-0.704738900468463
"MFALPHA",0.37877611607794
"IFI3",0.398450260215906
"BET4",0.13805088202101
"MAD2",0.110713875668146
"CAALFM_C104090CA",-0.326627398503785
"POR1",-0.241994295326775
"CAALFM_C104110WA",-0.0987541103149049
"CAALFM_C104120CA",-0.278989857207519
"ERB1",-0.526070080001243
"IFD6",-0.332909159073396
"CAALFM_C104150CA",0.717740551041111
"CAALFM_C104160CA",0.4474649114704
"HTA2",-0.129175315395037
"CAALFM_C104180WA",-0.109416543728695
"CAALFM_C104190CA",0.231149112494245
"CAALFM_C104200CA",0.258565785397936
"CDC3",0.801670805721096
"CAALFM_C104220CA",0.103838152110033
"CAALFM_C104230WA",-0.0257393349183659
"HHF1",-0.0828907222735068
"HHT21",-0.161368405722168
"CAALFM_C104270CA",0.271578367377217
"CAALFM_C104280CA",0.267164483702194
"ACS2",-0.393835975422547
"SSA2",-0.395726828400206
"GIG1",0.680628187367736
"GPM2",0.0742428077748007
"RPN4",0.0642769245878859
"CAALFM_C104340CA",-0.105792848899798
"CAALFM_C104350CA",0.283075646206969
"CAALFM_C104360CA",-0.376804630519057
"CAALFM_C104370CA",-0.781446584732267
"SIT4",-0.545304481027467
"NOP4",-0.638667236075089
"APE2",-1.30803799150541
"ESS1",-0.242702893676835
"URA6",-0.140651395893287
"CAALFM_C104430CA",0.949713743651926
"CAALFM_C104440WA",NA
"FMA1",-4.16977945403113
"CAALFM_C104460CA",-0.0340979493771163
"CAALFM_C104470CA",0.577238724643611
"TUS1",0.909503344051685
"CAALFM_C104490WA",-0.139071747407589
"ICL1",-0.121071179634315
"CAALFM_C104510WA",-0.237104511842026
"PHO85",0.276729165598165
"CAALFM_C104530CA",0.130474340299387
"VPS16",0.196823321127612
"ELC1",-0.0144085194702679
"CAALFM_C104560WA",0.506942412913447
"CHL4",0.378085156317324
"CAALFM_C104580CA",0.490592441446235
"CAALFM_C104590WA",0.467532560432789
"CAALFM_C104600CA",-0.741695826347441
"ATP1",-0.517407197936068
"CAALFM_C104620WA",0.577040875730489
"CAALFM_C104630CA",0.465723208609347
"CAALFM_C104640WA",0.18808677620078
"DUR3",-0.0572621222621235
"DUR1%2C2",0.0456730688259829
"HAT1",-0.00808703352125155
"PIL1",0.194084521625134
"CAALFM_C104690CA",0.0308322540851859
"CAALFM_C104700CA",0.807332489080477
"CAALFM_C104710CA",-0.523813870665566
"CAALFM_C104720WA",0.302555121736973
"LYS21",-0.411920887308415
"LPG20",0.0819491850954057
"IFE1",-0.419816969494714
"SYG1",0.636674980776174
"ERG3",0.18023477236532
"CAALFM_C104780CA",0.214839384075069
"CAALFM_C104790WA",-0.161561419951034
"CAALFM_C104800CA",0.876510240017279
"TCO89",0.17330550290582
"CAALFM_C104820CA",-0.515158434478699
"SEC21",0.102204265073494
"CAALFM_C104840CA",0.0679133593680975
"CAALFM_C104850CA",0.0338164478347579
"CAALFM_C104860WA",0.229350599662735
"SAP7",-1.00314988266796
"MRPL37",-0.564398852621161
"YBN5",-0.327767788986092
"MNN15",0.530295301447285
"CAALFM_C104910CA",-0.365795574562815
"CAALFM_C104930CA",2.02925519447478
"CAALFM_C104940CA",1.6884952487705
"RPM2",-0.296948814327846
"CAALFM_C104960CA",-0.029220665882786
"CAALFM_C104970WA",-0.955036444727956
"CAALFM_C104980CA",0.245429595809196
"CAALFM_C104990CA",0.0774744010510928
"RHD1",-1.8995980022715
"CAALFM_C105010CA",-0.101018928759323
"ARG2",-0.262048386152437
"PSF2",0.427584212547067
"RRP6",-0.6012499965218
"REI1",-0.650724551179539
"GPI7",0.0957262123539618
"GPT1",0.138404329240682
"TRY2",-0.163532059503504
"CAALFM_C105100WA",0.463447260625148
"ARO4",-0.76132407711272
"CAALFM_C105120WA",0.597081235851175
"BRG1",2.82143117373732
"CAALFM_C105150CA",0.127968054849947
"CAALFM_C105160CA",0.280625896399425
"CUE5",0.145907886036902
"CAALFM_C105180CA",-0.802632738450717
"CAALFM_C105190CA",-0.909048892499004
"CAALFM_C105200CA",0.324725499268857
"CAALFM_C105210CA",-0.522543688808129
"CAALFM_C105220CA",-0.108216545681166
"CAALFM_C105230WA",-0.559869727811613
"RPT1",0.0302344377935052
"CAALFM_C105250WA",NA
"SDH1",-0.000300004908580659
"CAALFM_C105270CA",-0.442722379767129
"CAALFM_C105280WA",0.307307502175781
"GRS1",-0.584438739279366
"PRD1",1.33846044351532
"tP(UGG)1",-0.048512851377647
"CAALFM_C105320CA",0.580438995688119
"CAALFM_C105330CA",0.122665072426436
"ZCF2",-0.193078757633236
"YPT53",0.245846362400636
"CAALFM_C105360CA",-0.179066361224123
"CAALFM_C105370CA",1.05378206900244
"CAALFM_C105380CA",0.000297651551535595
"CAALFM_C105390CA",-0.0868549002332677
"CAALFM_C105400CA",0.125722361199721
"TRP99",-0.100438208681981
"CAALFM_C105420WA",-0.302947966077307
"SPT20",-0.00462256455682662
"CAALFM_C105440CA",1.2160125821144
"CAALFM_C105450WA",NA
"KOG1",0.303515090139989
"MTM1",0.0257869544628611
"CAALFM_C105480CA",-0.226158016548934
"CAALFM_C105490CA",-0.18396061593061
"RSM22",-0.819725116491007
"RPS27A",0.179801706992941
"CAALFM_C105520WA",1.18188491534761
"SSH1",-0.201602541694002
"CAALFM_C105540CA",1.07787087874357
