"","condition_SS3_vs_ctl"
"CAALFM_C100020CA",-0.0895772132435498
"CAALFM_C100030CA",0.325631170048774
"CTA2",0.13213975001604
"TUP1",-0.537640286028134
"MVD",-0.67920431777996
"RCA1",-0.10229110861159
"CAALFM_C100090WA",-0.305055303265638
"CAALFM_C100100CA",-0.484985294821398
"CCT8",-0.532924943251381
"TRP1",-0.220577955828573
"VPS53",0.105395006717378
"KEL1",0.0180244250150675
"RIM8",-0.751446975720709
"CAALFM_C100160CA",-0.35058894947343
"LEU4",-0.390230141024368
"RPL16A",-0.262028081123561
"CAALFM_C100190CA",0.160535033505172
"CAALFM_C100200CA",0.746729097511154
"CAALFM_C100210CA",0.090409734888634
"PHR2",-4.10526325219118
"BFA1",0.0682101625791491
"tT(AGU)6",-0.162708621406959
"CAALFM_C100270WA",3.29591323463208
"RFC52",NA
"POL93",1.65558208421242
"CAALFM_C100310WA",0.896238792741891
"CAALFM_C100320WA",-0.00437203446786607
"CAALFM_C100330CA",-0.185789669669662
"HBR1",-0.191134686164061
"HMX1",0.23310269602872
"CDC13",-0.264912711796663
"CAALFM_C100370WA",-0.0779195703703766
"CAALFM_C100380CA",-0.147794447690928
"ENA2",2.55941466139367
"SVF1",-0.319614727316979
"CAALFM_C100410CA",0.188941764307194
"CAALFM_C100420WA",0.0617988637898996
"CAALFM_C100430WA",0.19940457815168
"UBP6",-0.0336784528328073
"CAALFM_C100450CA",-0.125066545575498
"CAALFM_C100460WA",-0.169879941922061
"CAALFM_C100470CA",0.127008054702606
"GCN20",-0.0922941851881362
"TTR1",-0.662477894437818
"GLO1",-0.207967512258454
"CAALFM_C100510WA",-0.33533999888706
"CAALFM_C100520WA",-0.242122294624821
"CAALFM_C100530CA",-0.0892637920997096
"CAALFM_C100540CA",-0.00861975618053006
"CIS2",0.0122919499030656
"CNS1",0.0389811175722702
"CAALFM_C100570CA",0.293037146979863
"CAALFM_C100580WA",0.0568248242134527
"TUF1",-1.08207854454015
"APC1",0.172356729377976
"PSD1",-0.0346377474097232
"MOB2",0.00744154219413651
"CAALFM_C100630WA",0.932105470415577
"RPO41",-0.0997231398924714
"SNF7",-0.15810440551735
"CAALFM_C100660CA",-0.124199506570945
"UGA32",0.819979802416114
"ASM3",1.35570138420283
"RIC1",0.198554616382938
"CAALFM_C100700WA",-0.437014061039776
"TUB2",-0.107569065090816
"tP(UGG)3",-1.79869121763423
"CMP1",-0.22439270709179
"SPE1",-0.180470107957255
"VPS27",0.0233317071327698
"CAALFM_C100760WA",0.0642934985552353
"ROT1",-0.0912497562635795
"HGC1",1.05013770036868
"CAALFM_C100790WA",0.397476959596287
"ERG2",-0.731735094689159
"CAALFM_C100810WA",-0.675036412875003
"CAALFM_C100820WA",0.189847535356811
"CAALFM_C100830WA",0.53402093762089
"NRM1",-0.0303891335222652
"IHD2",1.61798333538871
"CAALFM_C100860WA",0.367186230486556
"LRO1",0.529773013408848
"CAALFM_C100880WA",0.490791437345394
"CAALFM_C100890WA",0.330804315009761
"RRS1",0.0177064834757304
"CAALFM_C100910WA",-0.378360541725109
"CAALFM_C100920WA",0.0386209566246919
"SIN3",0.134003406682134
