"","condition_SL3_vs_ctl"
"CAALFM_C101890CA",0.417612538371309
"CAALFM_C101900CA",-0.0404881353564945
"CAALFM_C101910WA",-0.418251055743565
"ROA1",0.696918620757481
"CAALFM_C101930WA",1.92050945909142
"CAALFM_C101940CA",-0.175358749756133
"CAALFM_C101950CA",-0.206678295331281
"CAALFM_C101970WA",-0.0181983670232786
"HGT1",4.92183139425446
"HSP30",0.306853129290895
"CAALFM_C102000WA",0.195908429061625
"ZCF24",0.336385622877968
"CAALFM_C102020WA",0.392573214733792
"CAALFM_C102030CA",-0.0965470424043845
"CAALFM_C102040CA",0.0599395418756887
"PHO91",0.597595086835536
"CAALFM_C102060WA",0.472390217272173
"HSP31",0.168966795808791
"SET6",-0.346540850535847
"CAALFM_C102090CA",-0.294252098172847
"CAALFM_C102100WA",0.65181178811443
"HGT2",1.82049687633985
"SHA3",1.59423860173493
"GAL1",1.52266857882206
"GAL10",2.96244122157608
"CAALFM_C102160WA",0.425613566834243
"GAL102",0.855825887312273
"GAL7",0.370636891205448
"ABP140",-0.246508398191484
"CAALFM_C102200CA",0.5394653837785
"CAALFM_C102210WA",0.627357455004332
"CAALFM_C102220CA",0.60210791879843
"SEP7",0.0433385663281891
"CAALFM_C102240WA",-0.0392832796098568
"CWH8",1.18511058578184
"AGE3",-0.271527169297706
"CAALFM_C102270CA",4.06280226811476
"PSY2",0.135623189063567
"CAALFM_C102290CA",-0.414838468063498
"CAALFM_C102300WA",-0.29281844976289
"CAALFM_C102310CA",0.0258834016938665
"CAALFM_C102320CA",0.254900846513708
"CAALFM_C102330CA",-0.971338258272941
"tR(CCG)1",0.461935680579817
"TIM21",-0.820968487848275
"PGA5",-0.518407191719611
"CAALFM_C102370CA",0.163476530987012
"CAALFM_C102380CA",0.0265984013510966
"CAALFM_C102390WA",0.313544031196357
"MNN11",-0.275773150393245
"CAALFM_C102410CA",-0.22514692788197
"GSC1",-0.0386107284946854
"CAALFM_C102430CA",-0.586620984000611
"CAALFM_C102440CA",-0.207737421645969
"CAALFM_C102450CA",-0.860489002350444
"RPL10",-0.575312835350094
"CAALFM_C102470WA",0.348115017242421
"PMM1",-0.329794020188167
"CAALFM_C102490CA",-0.447158585144883
"CAALFM_C102500WA",0.130026685251052
"CAALFM_C102510WA",0.180310207769937
"SCW4",0.372567332442149
"DIP5",0.420411274195408
"tR(UCU)4",6.44645761366068
"PUT4",0.424787748692904
"HNM4",1.01177175467397
"SNZ1",0.316332107254006
"SNO1",0.0642458537374962
"IML1",0.168795831302456
"HOM6",-0.492404621407176
"EXG2",1.01797629948214
"TOM20",-0.675332366128215
"CAALFM_C102650WA",-0.332150665173543
"MGM101",-0.456633446415915
"CAALFM_C102670CA",1.05220043640258
"CAALFM_C102680CA",1.27737518965898
"CAALFM_C102690CA",0.234593646144272
"CAALFM_C102700CA",1.37437055327263
"FRS2",-0.325381215320567
"CAALFM_C102720WA",-0.0723540711535611
"CAALFM_C102730WA",0.674941646102796
"CAALFM_C102740CA",0.302286137801839
"CAALFM_C102750CA",-0.210064495456259
"CAALFM_C102760WA",-0.00137501586655796
"CAALFM_C102770WA",0.122544160340572
"CAALFM_C102780WA",0.0208675569906962
"TIF34",-0.461276119198097
"CAALFM_C102800WA",0.907915396209897
"RAD16",0.229861846647895
"LYS2",-0.653255839472403
"CAALFM_C102830WA",0.00515244032211964
"PDE2",0.24984755512123
"CAALFM_C102850WA",-0.312513814273705
"YKT6",0.0296225794326989
"YPT7",0.0735452276341093
