"","condition_RS30_vs_ctl"
"CAALFM_C100020CA",0.456256137198931
"CAALFM_C100030CA",0.320903842105424
"CTA2",-1.06375467990857
"TUP1",-0.828087304657584
"MVD",-1.27083368745061
"RCA1",-0.465865437109039
"CAALFM_C100090WA",-0.478351781468017
"CAALFM_C100100CA",-0.880813384564395
"CCT8",-0.778528622757525
"TRP1",-0.00576095409717346
"VPS53",0.0341069625093927
"KEL1",-0.161159065033817
"RIM8",-0.649266239905415
"CAALFM_C100160CA",0.101656160517393
"LEU4",1.93087462727936
"RPL16A",-0.0202201711963843
"CAALFM_C100190CA",0.0835998791531997
"CAALFM_C100200CA",0.365457687490225
"CAALFM_C100210CA",0.866815162535849
"PHR2",-1.63130717391371
"BFA1",0.251069861357316
"tT(AGU)6",-0.376091345453129
"CAALFM_C100270WA",3.87070076169246
"RFC52",NA
"POL93",2.21618824414943
"CAALFM_C100310WA",0.655469116193163
"CAALFM_C100320WA",-0.490859412821307
"CAALFM_C100330CA",-0.412996515361661
"HBR1",-0.683942485094703
"HMX1",2.19255784461292
"CDC13",0.692648896637352
"CAALFM_C100370WA",-0.330512569510683
"CAALFM_C100380CA",-0.0090657699828346
"ENA2",3.6534156849627
"SVF1",-0.51106096114366
"CAALFM_C100410CA",-1.66128987155382
"CAALFM_C100420WA",0.640710011269605
"CAALFM_C100430WA",-0.0848439116857492
"UBP6",0.0856874782704134
"CAALFM_C100450CA",-0.518226505622992
"CAALFM_C100460WA",-0.574869482659767
"CAALFM_C100470CA",-0.132672257375839
"GCN20",-0.100534560555697
"TTR1",0.65553968437587
"GLO1",-0.58839839818322
"CAALFM_C100510WA",-0.50313837428021
"CAALFM_C100520WA",-0.279131728393197
"CAALFM_C100530CA",0.41140879244298
"CAALFM_C100540CA",-0.241889730006847
"CIS2",0.912095632452247
"CNS1",-0.489205536699467
"CAALFM_C100570CA",0.334253170699605
"CAALFM_C100580WA",0.970772140343736
"TUF1",-1.36231525357335
"APC1",-0.269934081058749
"PSD1",0.465642445328061
"MOB2",0.590769720157806
"CAALFM_C100630WA",1.33780227784871
"RPO41",-0.921926502897074
"SNF7",0.0104760322164368
"CAALFM_C100660CA",0.02818313333294
"UGA32",0.483893575754514
"ASM3",0.780977648739186
"RIC1",0.118675072461588
"CAALFM_C100700WA",0.0503864549247318
"TUB2",0.559861297032893
"tP(UGG)3",-0.434562263993671
"CMP1",-0.150203454391694
"SPE1",-0.0830890788415865
"VPS27",0.132377488265651
"CAALFM_C100760WA",0.0163110373805488
"ROT1",0.146914155183339
"HGC1",2.00443837987377
"CAALFM_C100790WA",0.970835948060164
"ERG2",-0.701695144777821
"CAALFM_C100810WA",-0.399824514097731
"CAALFM_C100820WA",0.585697276330258
"CAALFM_C100830WA",0.628441305070055
"NRM1",0.0761641192052677
"IHD2",1.87509662839219
"CAALFM_C100860WA",1.07439369390326
"LRO1",0.51721388712719
"CAALFM_C100880WA",0.0628085943894518
"CAALFM_C100890WA",0.2072858291693
"RRS1",-0.0867641355877606
"CAALFM_C100910WA",-0.635153760077527
"CAALFM_C100920WA",0.324768498372836
"SIN3",-0.115130562709127
"RPB11",-0.4573651239207
"CDC5",-0.209489344613892
"SET1",-0.292500557399704
"CAALFM_C100970WA",-0.20798841272944
"CAALFM_C100980WA",-0.928251545183069
"NMA111",-0.0593792656723908
"CAALFM_C101000CA",-0.408581177440604
