"","condition_LL30_vs_ctl"
"CAALFM_C100020CA",2.35022421873496
"CAALFM_C100030CA",1.63796579793966
"CTA2",1.49945986721012
"TUP1",0.24528248430697
"MVD",-0.96963635152889
"RCA1",0.0826643221687008
"CAALFM_C100090WA",-0.510731957635466
"CAALFM_C100100CA",-0.140206860097307
"CCT8",-0.436897596531452
"TRP1",0.314407806276043
"VPS53",0.604876170111505
"KEL1",0.575222180385293
"RIM8",-0.107289320696023
"CAALFM_C100160CA",-2.33509659546147
"LEU4",0.420685477145444
"RPL16A",-0.704448431284193
"CAALFM_C100190CA",1.60595500136909
"CAALFM_C100200CA",1.02633257457563
"CAALFM_C100210CA",0.635923817186166
"PHR2",-2.92879128785319
"BFA1",0.923092795427721
"tT(AGU)6",-0.278688171824462
"CAALFM_C100270WA",2.96223920245819
"RFC52",NA
"POL93",2.728264049564
"CAALFM_C100310WA",0.750529169461063
"CAALFM_C100320WA",0.283368960209697
"CAALFM_C100330CA",-0.144733466148669
"HBR1",-1.32613620977402
"HMX1",0.0860188665546217
"CDC13",1.50500154884444
"CAALFM_C100370WA",-0.259250776181106
"CAALFM_C100380CA",-0.569173642031338
"ENA2",2.39030395163052
"SVF1",-0.127275265516071
"CAALFM_C100410CA",-1.27529076695608
"CAALFM_C100420WA",0.0420316209514082
"CAALFM_C100430WA",0.245287572340179
"UBP6",0.311840662117141
"CAALFM_C100450CA",-0.772925723889149
"CAALFM_C100460WA",-0.463687850845875
"CAALFM_C100470CA",-0.332250212153014
"GCN20",-0.194549646999332
"TTR1",1.35354905721835
"GLO1",-0.535909510451983
"CAALFM_C100510WA",-0.565946452547021
"CAALFM_C100520WA",0.259373362093118
"CAALFM_C100530CA",0.630191616510869
"CAALFM_C100540CA",-0.200630071006139
"CIS2",0.86704521725386
"CNS1",-0.97307867475113
"CAALFM_C100570CA",-0.134260029116156
"CAALFM_C100580WA",0.620812931175046
"TUF1",-1.41055753460351
"APC1",0.13825332158734
"PSD1",0.223492160966028
"MOB2",1.13077469588249
"CAALFM_C100630WA",2.08118709157497
"RPO41",-1.3511751632219
"SNF7",0.73441961447879
"CAALFM_C100660CA",0.831384890912419
"UGA32",0.351692706945818
"ASM3",0.994590377722742
"RIC1",0.152388407773487
"CAALFM_C100700WA",-0.588948728059843
"TUB2",0.368124042107012
"tP(UGG)3",-0.522010158097826
"CMP1",0.718376376853035
"SPE1",-0.369827155410954
"VPS27",0.312775955295591
"CAALFM_C100760WA",0.433408606733164
"ROT1",0.104179884032243
"HGC1",6.05797854844015
"CAALFM_C100790WA",1.20911534880047
"ERG2",-0.679492730384877
"CAALFM_C100810WA",-0.568098114810405
"CAALFM_C100820WA",0.737115017742043
"CAALFM_C100830WA",0.62889051282149
"NRM1",-1.15458876896145
"IHD2",1.29051687222252
"CAALFM_C100860WA",0.779847842741471
"LRO1",0.613188402316206
"CAALFM_C100880WA",0.592315631774851
"CAALFM_C100890WA",-0.434683902103185
"RRS1",-0.891252142529615
"CAALFM_C100910WA",-0.741315001485081
"CAALFM_C100920WA",0.908515628089537
"SIN3",-0.13196371096506
"RPB11",-0.249289004788236
"CDC5",-0.920876375707214
"SET1",-0.274413176063396
"CAALFM_C100970WA",-0.967740902193865
"CAALFM_C100980WA",-0.946528029930933
"NMA111",-0.566570640671861
"CAALFM_C101000CA",-0.21409429996764
"CAALFM_C101010WA",-0.581932206261044
"tA(AGC)4",-0.304889107036877
"HMT1",-1.22505665312798
"CAALFM_C101040WA",2.21480230650702
"CAALFM_C101050CA",-0.551278649958894
"MBF1",0.450684043926674
"CAALFM_C101070CA",-0.215642921068573
"CAALFM_C101080WA",-0.252138696221262
"CAALFM_C101090CA",-0.898230660720884
"CCH1",0.33282532279193
"ZPR1",-1.35765844403787
"CAALFM_C101130WA",0.307102527899197
"CAALFM_C101140CA",0.390957470402865
"CAALFM_C101150CA",-1.36603249295616
"CAALFM_C101160CA",-0.65133728289987
"ZCF17",-0.68604387117165
"CAALFM_C101180CA",0.92023598550583
"CAALFM_C101190CA",0.26248338744111
"STB5",-0.0466322835739806
"CAALFM_C101210WA",1.21614270706882
"CAALFM_C101220CA",3.74027319948593
"IFD3",-0.375374100400445
"CAALFM_C101250WA",-1.66899604548381
"TRS20",0.657955109435155
"CTA9",0.0461805572901762
"MED22",0.419409696825229
"CAALFM_C101290CA",0.682139615169044
"CAALFM_C101300WA",-0.403906707184824
"MRS7",-0.64431840929054
"DUT1",-1.99502084501365
"CAALFM_C101340CA",1.85543708932728
"TIF",-0.303376421773227
"CAALFM_C101360CA",0.729277680996224
"RPS21B",-0.464769439200689
"TRM2",-0.534400084617657
"CAALFM_C101390CA",0.751540741615888
"CAALFM_C101400CA",0.239284611044437
"CRL1",-0.408284189287642
"POX18",1.04197534520587
"ABC1",-0.0957070833316759
"CAALFM_C101460WA",0.242056223659137
"CAALFM_C101470WA",-0.500297669930712
"RPS21",-0.708585500273978
"CAALFM_C101490WA",-0.993739816010348
"CAALFM_C101510WA",0.155753507093486
"SOD2",-2.53069411697088
"CAALFM_C101530CA",-1.6054750311074
"CAALFM_C101540WA",0.570086511297747
"VPS17",0.930970768521278
"SIZ1",0.430664380842026
"RPB7",-0.399860044944913
"CAALFM_C101580WA",-1.21595228398955
"CAALFM_C101590CA",-0.0418852589169279
"MRP20",-1.61984246444263
"CAALFM_C101610CA",0.669113237031583
"CAALFM_C101620CA",-0.63344279003188
"CAALFM_C101630WA",-0.332701327182672
"RPS42",-0.13176308885219
"ISN1",1.7927642723921
"tS(UGA)1",0.0622888474486736
"ESP1",-0.956632233522672
"CAALFM_C101680CA",-1.22040045177726
"LSC1",0.0933357143186161
"ARP8",-0.0468561133191373
"CAALFM_C101710WA",1.44116159975232
"CAALFM_C101720CA",-1.00916445478788
"tA(AGC)3",0.0740052027210288
"CTN1",0.178286716471409
"CAALFM_C101750WA",0.880437038530123
"FGR38",2.10776243534136
"MAK32",-0.216979708977328
"HOL4",0.772598261209355
"SWI4",-0.611698136394463
"CAALFM_C101800WA",-0.0183473375049189
"UGA2",0.4824766744533
"CAALFM_C101820CA",-0.360306646902462
"UBC8",0.533528419090074
"CAALFM_C101840CA",2.54701668641089
"CAALFM_C101850CA",0.171926149784183
"CAALFM_C101860WA",-0.20265739527348
"CYS4",-1.07413780248233
"PTR3",0.109800077900627
"CAALFM_C101890CA",0.797604193118945
"CAALFM_C101900CA",-0.0795182502197812
"CAALFM_C101910WA",-1.7703450986501
"ROA1",-1.17404404286211
"CAALFM_C101930WA",1.38269533352706
"CAALFM_C101940CA",-0.17608058763809
"CAALFM_C101950CA",-0.632147798176463
"CAALFM_C101970WA",0.306119218852852
"HGT1",3.78037031387088
"HSP30",0.580284064792901
"CAALFM_C102000WA",0.367152047419846
"ZCF24",0.643663328852405
"CAALFM_C102020WA",0.388867576652299
"CAALFM_C102030CA",0.0392022257919592
"CAALFM_C102040CA",0.193245603271373
"PHO91",0.712307050961501
"CAALFM_C102060WA",-0.521801171142094
"HSP31",0.351598501983804
"SET6",-0.85004441486207
"CAALFM_C102090CA",-0.704718918272409
"CAALFM_C102100WA",1.2380085481971
"HGT2",0.490782892339945
"SHA3",1.73939281024281
"GAL1",-0.0861875259516357
"GAL10",0.821685573557797
"CAALFM_C102160WA",0.731423606095482
"GAL102",0.764574488217316
"GAL7",-0.880686619233367
"ABP140",-0.928185826259154
"CAALFM_C102200CA",0.324761140735218
"CAALFM_C102210WA",-0.458868273322456
"CAALFM_C102220CA",-0.0170357971545449
"SEP7",0.455915344695643
"CAALFM_C102240WA",0.0511861129677984
"CWH8",-0.943430613996111
"AGE3",-0.348073284863839
"CAALFM_C102270CA",-0.6956411407434
"PSY2",0.330944626023035
"CAALFM_C102290CA",-1.08807765517534
"CAALFM_C102300WA",-0.108715666492084
"CAALFM_C102310CA",-0.041903053056633
"CAALFM_C102320CA",-0.478762634164613
"CAALFM_C102330CA",-0.928789551446534
"tR(CCG)1",0.286701913273237
"TIM21",-1.67087066944985
"PGA5",-1.16186100171354
"CAALFM_C102370CA",-2.27138933147728
"CAALFM_C102380CA",-0.614964275032802
"CAALFM_C102390WA",0.0667975078925118
"MNN11",-0.225163489082035
"CAALFM_C102410CA",-0.424887184281607
"GSC1",0.608061542468692
"CAALFM_C102430CA",-0.367703627253593
"CAALFM_C102440CA",-1.06230908700309
"CAALFM_C102450CA",-1.37852800960875
"RPL10",-0.478787985051302
"CAALFM_C102470WA",0.61679793334321
"PMM1",1.04278519730715
