"","condition_FL30_vs_ctl"
"CAALFM_C100020CA",1.6496154371645
"CAALFM_C100030CA",0.949243792546357
"CTA2",-0.216212176185627
"TUP1",-0.221378780726939
"MVD",-1.44376222005696
"RCA1",-0.112821101850114
"CAALFM_C100090WA",-0.0637135076707825
"CAALFM_C100100CA",-0.283308574442867
"CCT8",-0.485243679751794
"TRP1",-0.0619999569965798
"VPS53",-0.00502304048809508
"KEL1",0.307427463143777
"RIM8",1.31825141329313
"CAALFM_C100160CA",-0.367910879865568
"LEU4",-0.2733058600132
"RPL16A",-0.3230558406333
"CAALFM_C100190CA",5.02557254882225
"CAALFM_C100200CA",1.07253396416759
"CAALFM_C100210CA",0.332913217023884
"PHR2",-0.801340839671699
"BFA1",0.864786278209045
"tT(AGU)6",-1.0865975027936
"CAALFM_C100270WA",3.78112789409179
"RFC52",NA
"POL93",2.81951313687005
"CAALFM_C100310WA",-0.0224261483986348
"CAALFM_C100320WA",-0.204690956337857
"CAALFM_C100330CA",-0.173202760116012
"HBR1",-0.65949594270135
"HMX1",-0.281989020201172
"CDC13",1.20258032779773
"CAALFM_C100370WA",-0.149968793459034
"CAALFM_C100380CA",-0.652428687429315
"ENA2",0.5037234688586
"SVF1",0.328679612696291
"CAALFM_C100410CA",-2.53091455635534
"CAALFM_C100420WA",-0.292944821740052
"CAALFM_C100430WA",0.175463984604911
"UBP6",0.172090345785447
"CAALFM_C100450CA",-0.831974859842748
"CAALFM_C100460WA",-0.625803911993337
"CAALFM_C100470CA",0.601841184412324
"GCN20",0.159541202548446
"TTR1",1.84831226060437
"GLO1",-1.11704696579099
"CAALFM_C100510WA",-0.308900030833508
"CAALFM_C100520WA",0.018922841360255
"CAALFM_C100530CA",0.765187276737097
"CAALFM_C100540CA",0.537208602345084
"CIS2",1.33789858545185
"CNS1",-0.563770218341412
"CAALFM_C100570CA",-0.182198621497794
"CAALFM_C100580WA",-0.388714451923633
"TUF1",-1.20768919896559
"APC1",0.129665908645136
"PSD1",0.0886162052995244
"MOB2",1.13381232424257
"CAALFM_C100630WA",1.60702639176721
"RPO41",-0.243909122499192
"SNF7",0.38620755453697
"CAALFM_C100660CA",0.551383549163936
"UGA32",-0.581143798610795
"ASM3",0.358735801302894
"RIC1",-0.131076943023906
"CAALFM_C100700WA",-0.398805553273225
"TUB2",0.275727276872364
"tP(UGG)3",-0.345130812808028
"CMP1",0.986849987590891
"SPE1",-0.146428800718765
"VPS27",-0.224862827467863
"CAALFM_C100760WA",-0.254559474497037
"ROT1",0.115841965117482
"HGC1",6.245850225071
"CAALFM_C100790WA",0.497806681309885
"ERG2",-0.534290555313129
"CAALFM_C100810WA",-0.332400072258226
"CAALFM_C100820WA",0.207336909908003
"CAALFM_C100830WA",-0.6763042611158
"NRM1",-1.34700643061999
"IHD2",0.824940818184123
"CAALFM_C100860WA",0.996146550332482
"LRO1",0.385797860456991
"CAALFM_C100880WA",-0.769521119366937
"CAALFM_C100890WA",-0.759924366470597
"RRS1",0.0198132817920084
"CAALFM_C100910WA",-0.138117578029011
"CAALFM_C100920WA",0.723780480567789
"SIN3",0.0730677687386382
"RPB11",-0.320367225692411
"CDC5",-0.522587651740023
"SET1",0.0231395367528253
"CAALFM_C100970WA",-0.740049238854354
"CAALFM_C100980WA",-0.961454098621233
"NMA111",0.524675408922097
"CAALFM_C101000CA",-0.678434132931892
"CAALFM_C101010WA",-0.437813426101757
"tA(AGC)4",-0.112783043127111
"HMT1",-0.270537512713512
"CAALFM_C101040WA",1.74637074594021
"CAALFM_C101050CA",-1.05806099871654
"MBF1",0.0961111994620164
"CAALFM_C101070CA",0.0660258741239029
"CAALFM_C101080WA",-0.314551030305963
"CAALFM_C101090CA",-0.658809860507263
"CCH1",0.576497029154829
"ZPR1",-0.262032929859353
"CAALFM_C101130WA",0.793153418010201
"CAALFM_C101140CA",0.713450267634325
"CAALFM_C101150CA",0.0308525938168485
"CAALFM_C101160CA",0.0226121652795982
"ZCF17",-0.347763042319933
"CAALFM_C101180CA",0.456812794438783
"CAALFM_C101190CA",-0.28992633076098
"STB5",-0.278328081830372
"CAALFM_C101210WA",1.06790501035277
"CAALFM_C101220CA",5.31117606137369
"IFD3",-0.778175696787136
"CAALFM_C101250WA",-1.74981859635149
"TRS20",0.474388026245601
"CTA9",-0.233464633651127
"MED22",0.0510707754336123
"CAALFM_C101290CA",0.196977520242556
"CAALFM_C101300WA",-0.7563692698107
"MRS7",-0.100756653638009
"DUT1",-2.1747641046247
"CAALFM_C101340CA",0.602202179227893
"TIF",-0.0040657510482868
"CAALFM_C101360CA",-0.172026409840854
"RPS21B",-0.328683217757101
"TRM2",0.234117059303854
"CAALFM_C101390CA",0.776720271757166
"CAALFM_C101400CA",-0.521156377636912
"CRL1",-0.94471778854765
"POX18",-0.464484305712889
"ABC1",0.461786301245467
"CAALFM_C101460WA",-0.00485504217494602
"CAALFM_C101470WA",-0.0920568722486318
"RPS21",-0.532215890500924
"CAALFM_C101490WA",-2.78740254654265
"CAALFM_C101510WA",1.13830300440944
"SOD2",-3.26820207434821
"CAALFM_C101530CA",-1.0281810396065
"CAALFM_C101540WA",0.0255411325373505
"VPS17",0.606255725269081
"SIZ1",0.687007921960064
"RPB7",-0.508353790217237
"CAALFM_C101580WA",-0.911118807333881
"CAALFM_C101590CA",0.105916122513905
"MRP20",-1.18214664924459
"CAALFM_C101610CA",1.34438552877659
"CAALFM_C101620CA",-0.916917549136039
"CAALFM_C101630WA",-0.770658289468062
