"","condition_SL30_vs_ctl"
"CAALFM_C100020CA",1.57194681458981
"CAALFM_C100030CA",0.872267628539979
"CTA2",0.256265342262321
"TUP1",0.14983608874649
"MVD",-1.39798979525335
"RCA1",-0.0663946189212908
"CAALFM_C100090WA",-0.587451418301119
"CAALFM_C100100CA",-0.386082486165156
"CCT8",-0.435848390432539
"TRP1",-0.29597295397807
"VPS53",0.820598590128522
"KEL1",1.25870161007735
"RIM8",0.425094141813456
"CAALFM_C100160CA",-2.33174210836162
"LEU4",-3.248535192739
"RPL16A",-1.08693895084236
"CAALFM_C100190CA",3.76752226676577
"CAALFM_C100200CA",0.850771204018603
"CAALFM_C100210CA",1.01142965590616
"PHR2",-3.30120672162505
"BFA1",0.977391595300506
"tT(AGU)6",-0.445810831567235
"CAALFM_C100270WA",4.21329855354311
"RFC52",NA
"POL93",3.05871731966386
"CAALFM_C100310WA",0.843218695140284
"CAALFM_C100320WA",-0.00878938694532846
"CAALFM_C100330CA",-0.199231493184457
"HBR1",-1.43273581043302
"HMX1",-0.289536484890242
"CDC13",1.40465892392485
"CAALFM_C100370WA",-0.498180759561613
"CAALFM_C100380CA",-0.386745454310649
"ENA2",2.65567916155511
"SVF1",0.172753220184887
"CAALFM_C100410CA",0.243863908194359
"CAALFM_C100420WA",0.457764203345565
"CAALFM_C100430WA",0.680130175302565
"UBP6",0.216118425243299
"CAALFM_C100450CA",-0.860070931564253
"CAALFM_C100460WA",-0.32131723774697
"CAALFM_C100470CA",-0.670986461530764
"GCN20",0.00417574543680531
"TTR1",0.219910680628644
"GLO1",-1.23716813693676
"CAALFM_C100510WA",-0.537515902960102
"CAALFM_C100520WA",-0.306377971924832
"CAALFM_C100530CA",0.878513338753536
"CAALFM_C100540CA",0.209993180210503
"CIS2",1.41005996484769
"CNS1",-1.33957917866384
"CAALFM_C100570CA",0.559540034192771
"CAALFM_C100580WA",0.769316513279908
"TUF1",-0.933233018441173
"APC1",0.612057659491793
"PSD1",0.88746459860916
"MOB2",1.16899253188637
"CAALFM_C100630WA",2.12776480745129
"RPO41",-0.929182703136271
"SNF7",0.376623557847496
"CAALFM_C100660CA",0.892653654879601
"UGA32",1.58132557440606
"ASM3",2.30765513682714
"RIC1",0.492550006444397
"CAALFM_C100700WA",-0.400736707928158
"TUB2",0.145079042542174
"tP(UGG)3",-1.77254840185817
"CMP1",0.668300655170998
"SPE1",-0.531879866503217
"VPS27",0.653486338119563
"CAALFM_C100760WA",0.0974085670017087
"ROT1",0.211384438796103
"HGC1",6.71449285969521
"CAALFM_C100790WA",0.927532984795516
"ERG2",-0.71577712504157
"CAALFM_C100810WA",-0.803807703360461
"CAALFM_C100820WA",0.382872216933043
"CAALFM_C100830WA",1.2640416468338
"NRM1",-1.18065642461265
"IHD2",1.6265621752206
"CAALFM_C100860WA",0.509831156056315
"LRO1",0.838224513878622
"CAALFM_C100880WA",0.518525122358286
"CAALFM_C100890WA",0.0263938664490199
"RRS1",-1.59587512803707
"CAALFM_C100910WA",-1.52423246189976
"CAALFM_C100920WA",1.05745445808388
"SIN3",0.284443434088369
"RPB11",-0.608556694303239
"CDC5",-1.09886625129582
"SET1",0.221994566489254
"CAALFM_C100970WA",-0.801063791847026
"CAALFM_C100980WA",-0.860531932919616
"NMA111",-0.422433852819326
"CAALFM_C101000CA",-0.0343429293045072
"CAALFM_C101010WA",-0.136682614967552
"tA(AGC)4",-0.0717139388151928
"HMT1",-1.30035177930683
"CAALFM_C101040WA",1.77118132681758
"CAALFM_C101050CA",-1.07376435490747
"MBF1",0.138390618553818
"CAALFM_C101070CA",-0.46510534481019
"CAALFM_C101080WA",-0.229803049719001
"CAALFM_C101090CA",-0.816004040859697
"CCH1",0.515700152884884
"ZPR1",-1.56763207067016
"CAALFM_C101130WA",0.225164311231452
"CAALFM_C101140CA",-1.08803927306334
"CAALFM_C101150CA",-1.52831893304965
"CAALFM_C101160CA",-0.964762414841728
"ZCF17",-0.54705116660665
"CAALFM_C101180CA",-0.713699200310874
"CAALFM_C101190CA",0.499352288698874
"STB5",0.496095688669359
"CAALFM_C101210WA",0.757474157645509
"CAALFM_C101220CA",3.03780178419572
"IFD3",2.11400880686381
"CAALFM_C101250WA",-0.952334235142593
"TRS20",0.652596379618558
"CTA9",-0.472524775172576
"MED22",-0.0278436941777426
"CAALFM_C101290CA",0.767293635502869
"CAALFM_C101300WA",-0.794414875053519
"MRS7",0.210667109675999
"DUT1",-2.2940929341802
"CAALFM_C101340CA",1.46859746238077
"TIF",-0.573635503554514
"CAALFM_C101360CA",-1.0885799634428
"RPS21B",-1.1559396316729
"TRM2",-0.695383906097625
"CAALFM_C101390CA",1.40603470710228
"CAALFM_C101400CA",0.796908972403841
"CRL1",-0.530538715356828
"POX18",2.01564187045553
"ABC1",1.28841827442889
"CAALFM_C101460WA",0.0433351303762724
"CAALFM_C101470WA",-0.500550043174679
"RPS21",-1.29414019945975
"CAALFM_C101490WA",-0.478974244975101
"CAALFM_C101510WA",-0.263875986498019
"SOD2",-1.80279276598769
"CAALFM_C101530CA",-1.89808013887536
"CAALFM_C101540WA",0.534662743095798
"VPS17",1.19639405369121
"SIZ1",1.0699226100371
"RPB7",-0.809332026750933
"CAALFM_C101580WA",-0.974963203731048
"CAALFM_C101590CA",0.0970325993767236
"MRP20",-1.14659077227208
"CAALFM_C101610CA",-1.78809129750508
"CAALFM_C101620CA",-1.10585148597698
"CAALFM_C101630WA",-0.666853049866079
"RPS42",-0.729751099711712
"ISN1",1.51257550065869
"tS(UGA)1",0.0737868392215709
"ESP1",-1.24345265738283
"CAALFM_C101680CA",-1.071595200705
"LSC1",0.047275826818741
"ARP8",0.403544039614456
"CAALFM_C101710WA",2.20400236614887
"CAALFM_C101720CA",-1.85641041909266
"tA(AGC)3",0.081490418577977
"CTN1",1.84788346719308
"CAALFM_C101750WA",-0.670328563874716
"FGR38",2.18205910760433
"MAK32",-0.331120225243338
"HOL4",0.596141227572726
"SWI4",-0.000475037787657179
"CAALFM_C101800WA",-0.367397124807323
"UGA2",1.12523462234487
"CAALFM_C101820CA",-0.296188381052484
"UBC8",-0.0345443575140067
"CAALFM_C101840CA",3.03820773221543
"CAALFM_C101850CA",0.0581241872023011
"CAALFM_C101860WA",-0.606084275518653
"CYS4",-1.14468031212763
"PTR3",0.328299068814347
"CAALFM_C101890CA",0.807447116176735
"CAALFM_C101900CA",0.27328582668292
"CAALFM_C101910WA",-1.01333631161826
"ROA1",1.90650385350543
"CAALFM_C101930WA",-1.19442739199693
"CAALFM_C101940CA",-0.396557622865354
"CAALFM_C101950CA",-0.341380265518675
"CAALFM_C101970WA",0.458117924974686
"HGT1",6.4000136930531
"HSP30",0.771400287122404
"CAALFM_C102000WA",-0.119606941636021
"ZCF24",0.960419252207965
"CAALFM_C102020WA",0.832979425892434
"CAALFM_C102030CA",-0.234271370766011
"CAALFM_C102040CA",1.1774850930851
"PHO91",0.918189583103072
"CAALFM_C102060WA",-0.54719644110461
"HSP31",1.89763151268962
"SET6",-1.16599079017009
"CAALFM_C102090CA",-0.791316647764718
"CAALFM_C102100WA",1.10400229528034
"HGT2",3.65115022764582
"SHA3",1.92322019995688
"GAL1",3.62598031883917
"GAL10",3.08589272730576
"CAALFM_C102160WA",0.94160887359633
"GAL102",0.587541675059594
"GAL7",1.33039350323396
"ABP140",-1.27644095118417
"CAALFM_C102200CA",0.0107643568885227
"CAALFM_C102210WA",-0.339494247465821
"CAALFM_C102220CA",-0.334274445701272
"SEP7",0.572026993767179
"CAALFM_C102240WA",0.689006703378954
"CWH8",-0.864571564344074
"AGE3",-0.134801171716781
"CAALFM_C102270CA",6.86492845100548
"PSY2",0.467231302364556
"CAALFM_C102290CA",-0.740304860545676
"CAALFM_C102300WA",-0.662314725249171
"CAALFM_C102310CA",-0.357428800625612
"CAALFM_C102320CA",0.753782916724519
"CAALFM_C102330CA",-1.72549143043167
"tR(CCG)1",0.485396547972743
"TIM21",-1.14915417901627
"PGA5",-1.71902455329852
"CAALFM_C102370CA",-1.34811781752352
"CAALFM_C102380CA",-0.075792025805228
"CAALFM_C102390WA",0.189155396037234
"MNN11",-0.74558216361101
"CAALFM_C102410CA",-0.732681242527067
"GSC1",0.912844459948789
"CAALFM_C102430CA",-0.361786515458774
"CAALFM_C102440CA",-1.12498872479109
"CAALFM_C102450CA",-2.25510724945673
"RPL10",-1.01354825473775
"CAALFM_C102470WA",0.508797431056624
"PMM1",0.429768704551311
"CAALFM_C102490CA",-0.664427165971065
"CAALFM_C102500WA",1.10125766525247
"CAALFM_C102510WA",1.3335879970069
"SCW4",3.26205098332202
"DIP5",1.77491257967338
"tR(UCU)4",0.734555094733735
"PUT4",0.909991150570492
"HNM4",1.30100972011373
"SNZ1",-0.146457983083099
"SNO1",-0.366786228990183
"IML1",0.103914385711981
"HOM6",-1.6767013061979
"EXG2",1.12369711255042
"TOM20",-0.576062151302809
"CAALFM_C102650WA",-0.442153419969589
"MGM101",-0.791926185131013
"CAALFM_C102670CA",2.57801377626916
"CAALFM_C102680CA",2.30265204616727
"CAALFM_C102690CA",1.38025752627795
"CAALFM_C102700CA",-0.193610090703006
"FRS2",-0.459969503336208
"CAALFM_C102720WA",0.278032802216987
"CAALFM_C102730WA",-0.491642703754741
"CAALFM_C102740CA",0.122576252316194
"CAALFM_C102750CA",-0.0455262042077876
"CAALFM_C102760WA",0.666048469216907
"CAALFM_C102770WA",-0.169405055610629
"CAALFM_C102780WA",0.0364003006253863
"TIF34",-0.533107312478097
"CAALFM_C102800WA",1.76606167508534
"RAD16",1.50181700295799
"LYS2",-1.92825037656411
"CAALFM_C102830WA",-0.0894407078208831
"PDE2",0.646842853759083
"CAALFM_C102850WA",-0.159433723996786
"YKT6",1.0510057581347
"YPT7",0.30814764337996
"MIA40",-0.773499267766866
"CAALFM_C102890CA",0.696398742465944
"CAALFM_C102900CA",-0.428605552782847
"CAALFM_C102910CA",0.353478457892383
"CDC73",-0.20963838320945
"MST1",-0.463445300485122
"CAALFM_C102940CA",0.665324974708463
"CAALFM_C102950WA",1.10235422169028
"CAALFM_C102960CA",-0.577805160347336
"CAALFM_C102970WA",-1.64935089419779
"GOR1",-2.16541426435601
"XOG1",2.27881807396025
"HOL1",0.153998504532569
"RPP1A",-1.49756432891924
"RPL13",-1.17665761380846
"RPS16A",-1.13371545890222
"CAALFM_C103040WA",1.16990668028951
"CAALFM_C103050WA",0.409946438687589
"TSR2",-1.87884246698835
"ORC1",0.579568656833658
"TEM1",0.149626726818739
"RPS1",-1.08955854227057
"CAALFM_C103100WA",0.0533160928141658
"RPL6",-1.06747561625149
"CAALFM_C103120WA",0.781696362769887
"GGA2",0.395351823378195
"CAALFM_C103140WA",0.14076541386011
"CAALFM_C103150CA",-0.975174869597753
"COQ4",-0.137292241498024
"CAALFM_C103170CA",0.613391785570454
"CAALFM_C103180WA",-0.432638121964168
"ECM33",0.625332189454645
"ARO80",-0.321129409130616
"CDC12",1.55649427521865
"BMH1",-0.163038369425785
"ARX1",-2.06230862259988
"CAALFM_C103240WA",-2.18262272730741
"SPP1",0.400082672673073
"CAALFM_C103260WA",-0.10966637747067
"CAALFM_C103270WA",0.490945196003748
"CAALFM_C103280WA",-0.514649875071962
"NGG1",0.522583643614593
"MAS1",-0.696214111541317
"CAALFM_C103310WA",-0.310698459559112
"EHD3",5.05904587795222
"CAALFM_C103330CA",1.77239067866697
"SEC62",1.83147208885825
"RLI1",0.0427687940567651
"CAALFM_C103360WA",-0.637615844676697
"CAALFM_C103370WA",-0.653725772810825
"TPS2",0.387096317948417
"EHT1",-3.07537529886217
"CAALFM_C103400WA",-0.396478282479124
"CAALFM_C103410WA",-1.24810434247933
"tN(GUU)3",-4.00334155189838
"CAALFM_C103430WA",0.288788405362921
"CAALFM_C103440CA",-0.118797942513113
"CAALFM_C103450CA",0.498192990624567
"CAALFM_C103460CA",-1.50046944589265
"CAALFM_C103470CA",1.47365177085356
"AGE1",0.893055547132238
"CAALFM_C103490WA",1.28131705568157
"YPT1",0.746643549314189
"CAALFM_C103510CA",-0.764787214567947
"RPN3",0.33656019874378
"MED17",-0.0638588922374241
"CAALFM_C103540CA",-0.256486786548079
"COQ6",-1.02672155027578
"SUA71",-0.207523721279611
"tL(UAA)3",-0.0194813666112627
"CAALFM_C103580WA",0.411596074205426
"CAALFM_C103600WA",0.810404528347753
"IMP1",-0.04171180190482
"CAALFM_C103620CA",-2.39169654829305
"CAALFM_C103630WA",0.127424433927579
"HFL1",-0.0383150910699525
"MRPL27",-0.568887419530086
"CAALFM_C103660WA",0.911323581432143
"DAO1",0.590360780709893
"ENG1",-2.09102357757612
"CAALFM_C103690WA",-0.199642471505863
"tT(CGU)1",-0.580215589180242
"MSB1",1.28122478005671
"CAALFM_C103720CA",1.51697341218659
"MNS1",1.33162699897603
"WAR1",1.07922912704987
"CAALFM_C103750WA",-1.14988242097292
"STR2",-0.43080829999266
"SKO1",0.0325746253254399
"HMG1",-0.85863873575661
"CAALFM_C103790CA",-2.01880888811018
"RPP1",-0.956768834192572
"ELA1",0.149305576872807
"PDR16",1.01272424080868
"CAALFM_C103830CA",-1.52771405329529
"CAALFM_C103840WA",-2.25616443198776
"BNI4",1.38516759544914
"CAALFM_C103870CA",-3.55814503637438
"CAALFM_C103880CA",0.0217766329891898
"CAALFM_C103890WA",-1.60666973357384
"SEN15",-1.25446731145155
"CAALFM_C103910CA",0.200704717975765
"CAALFM_C103920CA",-0.145233549518463
"CAALFM_C103930WA",-0.281763258767377
"CAALFM_C103940WA",-0.555470975281111
"CAALFM_C103950CA",-0.633318572741414
"CAALFM_C103960CA",0.0216630529039054
"SPC19",-0.147425882170938
"CAALFM_C103990WA",0.321345786581787
"KTR4",-1.25892624050632
"CAALFM_C104010CA",0.0954360991486496
"CSH1",0.465977293792946
"CAALFM_C104030WA",0.0879810453555539
"CAALFM_C104040CA",-1.8976430700762
"MFALPHA",0.267017150231715
"IFI3",1.95853993971098
"BET4",-1.41262829639464
"MAD2",-0.827038350382884
"CAALFM_C104090CA",0.136056536817392
"POR1",0.574321095268467
"CAALFM_C104110WA",-0.143415948345559
"CAALFM_C104120CA",-1.81485242549661
"ERB1",-1.78308204021904
"IFD6",-0.81875029018823
"CAALFM_C104150CA",-0.192778138689079
"CAALFM_C104160CA",-0.182788302856658
"HTA2",-2.50607008881742
"CAALFM_C104180WA",-2.58230995960475
"CAALFM_C104190CA",0.567920525901685
"CAALFM_C104200CA",0.44651323831301
"CDC3",1.11413841091513
"CAALFM_C104220CA",-0.423772634124244
"CAALFM_C104230WA",-0.0865709008930643
"HHF1",-1.5199450100287
"HHT21",-2.49217292791417
"CAALFM_C104270CA",0.084995343557969
"CAALFM_C104280CA",0.374146194970426
"ACS2",0.454802656691195
"SSA2",-1.65064123101568
"GIG1",-0.120201403859308
"GPM2",-0.928574551889681
"RPN4",2.30686870055149
"CAALFM_C104340CA",-1.07683951454476
"CAALFM_C104350CA",0.404433852045709
"CAALFM_C104360CA",-0.639020947860298
"CAALFM_C104370CA",-0.687482697250914
"SIT4",0.486911551261967
"NOP4",-1.15118298776745
"APE2",-0.208338002030978
"ESS1",-0.142895728485349
"URA6",-0.184973788214771
"CAALFM_C104430CA",1.12527976174624
"CAALFM_C104440WA",NA
"FMA1",-1.57019505270942
"CAALFM_C104460CA",4.1034452459733
"CAALFM_C104470CA",1.79905427353145
"TUS1",1.31060071908931
"CAALFM_C104490WA",-1.30872251596681
"ICL1",3.71775078933182
"CAALFM_C104510WA",-0.543567090234863
"PHO85",0.814344384131724
"CAALFM_C104530CA",0.000248041887617333
"VPS16",0.149114888664052
"ELC1",-0.458081655933232
"CAALFM_C104560WA",0.3946983748249
"CHL4",-0.67026274452181
"CAALFM_C104580CA",0.394440074141903
"CAALFM_C104590WA",1.54220547525141
"CAALFM_C104600CA",-0.469228149454487
"ATP1",-0.400550101153303
"CAALFM_C104620WA",0.778273279898996
"CAALFM_C104630CA",1.60929455493862
"CAALFM_C104640WA",0.147687858370873
"DUR3",0.329640656672613
"DUR1%2C2",0.00136362214275665
"HAT1",-0.0052641199716986
"PIL1",0.0418312621777418
"CAALFM_C104690CA",0.658194273686297
"CAALFM_C104700CA",0.857690824252084
"CAALFM_C104710CA",-1.1752744942736
"CAALFM_C104720WA",0.210886548037507
"LYS21",-0.611298995009344
"LPG20",-1.17702537593945
"IFE1",1.72497531843403
"SYG1",-0.497626501584403
"ERG3",0.122442856376555
"CAALFM_C104780CA",1.3443156613149
"CAALFM_C104790WA",-0.0199786953297446
"CAALFM_C104800CA",3.18713218145989
"TCO89",1.13969882160655
"CAALFM_C104820CA",-0.627977817164229
"SEC21",1.43143807854848
"CAALFM_C104840CA",-0.0782364235305352
"CAALFM_C104850CA",0.354870170571369
"CAALFM_C104860WA",0.842185709574063
"SAP7",-0.669935347799422
"MRPL37",-0.876756371833354
"YBN5",-0.851342502712891
"MNN15",-0.00518573207503058
"CAALFM_C104910CA",0.186583323216085
"CAALFM_C104930CA",4.33359393564614
"CAALFM_C104940CA",3.87869926246166
"RPM2",-0.14771662186984
"CAALFM_C104960CA",-0.162439217620343
"CAALFM_C104970WA",-0.537769579464084
"CAALFM_C104980CA",0.418329955536076
"CAALFM_C104990CA",-1.09446795990936
"RHD1",-6.33231518179137
"CAALFM_C105010CA",-0.38477380039443
"ARG2",-0.632126624607677
"PSF2",0.460209275933135
"RRP6",-1.176280802795
"REI1",-1.35892448009969
"GPI7",0.14602538294737
"GPT1",0.652703369984394
"TRY2",-0.289221203454956
"CAALFM_C105100WA",0.146405001011191
"ARO4",-0.82265669890603
"CAALFM_C105120WA",-0.395089740939569
"BRG1",6.10604880765882
"CAALFM_C105150CA",1.19592921097139
"CAALFM_C105160CA",0.0908072228167907
"CUE5",0.467528687799761
"CAALFM_C105180CA",-0.453532881403757
"CAALFM_C105190CA",-0.77647518953836
"CAALFM_C105200CA",0.0561329801548201
"CAALFM_C105210CA",-0.956562383391515
"CAALFM_C105220CA",-0.117395940104825
"CAALFM_C105230WA",-2.86796789724529
"RPT1",0.81999552999234
"CAALFM_C105250WA",NA
"SDH1",0.226581880969893
"CAALFM_C105270CA",-0.334689963093862
"CAALFM_C105280WA",0.00380886150981808
"GRS1",-0.550492499131032
"PRD1",2.07403274208
"tP(UGG)1",-0.289874818004333
"CAALFM_C105320CA",1.87739292572364
"CAALFM_C105330CA",0.0275097353025921
"ZCF2",0.215174888296338
"YPT53",0.548296082956072
"CAALFM_C105360CA",-0.790318406439164
"CAALFM_C105370CA",0.626775833427285
"CAALFM_C105380CA",-0.360307563767215
"CAALFM_C105390CA",0.127394449016407
"CAALFM_C105400CA",0.639432587068343
"TRP99",0.0222515336280799
"CAALFM_C105420WA",-0.746551610120559
"SPT20",0.160377655075172
"CAALFM_C105440CA",0.501966829937238
"CAALFM_C105450WA",NA
"KOG1",1.01952644351277
"MTM1",0.980259841108229
"CAALFM_C105480CA",0.629630236954524
"CAALFM_C105490CA",0.280990727673652
"RSM22",-0.893883003877071
"RPS27A",0.822755297714293
"CAALFM_C105520WA",0.306965533932293
"SSH1",-0.628013641647796
"CAALFM_C105540CA",0.110558747327861
"CAALFM_C105550CA",0.0495549766760131
"RIB4",-0.317912908091842
"tN(GUU)2",0.109578831227542
"tN(GUU)1",-3.49668299120418
"tT(AGU)1",0.0121884298775953
"GSL1",0.290409892241021
"CAALFM_C105610WA",-0.158856232678056
"STE3",-0.1883759851537
"CAALFM_C105630CA",-1.50304678083033
"FAL1",-0.97967356578541
"CAALFM_C105650WA",-0.914533537846746
"CAALFM_C105660CA",-0.482642719893602
"CAALFM_C105670WA",-0.695345368996905
"RIM1",-1.20614910403852
"CAALFM_C105690CA",0.701977160574231
"AUT7",0.23957849494801
"UGA4",-0.641534463559788
"CAALFM_C105720WA",-1.2185913567566
"CAALFM_C105730WA",-0.780087410836062
"CAALFM_C105740CA",-0.0353872632055727
"CAALFM_C105750CA",0.511031328262735
"PGA26",-5.84512661359765
"PRC3",0.212135356884108
"CAALFM_C105780WA",0.411479163356123
"CAALFM_C105790WA",-1.05448347678303
"CAALFM_C105800CA",-0.610329756190789
"GIM5",-0.819492344845278
"RAD10",-0.345541766427592
"CAALFM_C105830WA",-1.34320619331927
"PRN1",-1.40628193846051
"POL32",-1.16789663442466
"PRN2",0.680698093100194
"PRN3",0.74424786734434
"PRN4",-0.0800898112370161
"CAALFM_C105890WA",3.13525829631953
"CAALFM_C105900WA",1.20996282278346
"SIP5",2.56202750396134
"CAALFM_C105920WA",4.49550832009907
"CAALFM_C105930CA",-0.700166569812602
"PHO87",-4.8550667411926
"CAALFM_C105950CA",-0.240501749828176
"PGA45",-1.46754547013876
"CAALFM_C105970WA",3.90125753738461
"CAALFM_C105980WA",0.408960727789148
"CAALFM_C105990CA",-1.60231211421095
"CAALFM_C106000WA",0.627990519437266
"CHS7",0.773652959330696
"RGD1",0.849133981258467
"CAALFM_C106030CA",-0.261276283036731
"RTT101",0.0789346729366333
"CAALFM_C106050CA",-0.316707505798147
"ACP1",-0.240847608385165
"CAALFM_C106070WA",-1.27032901599077
"ARC35",-0.149626676928361
"CAALFM_C106090CA",-0.378932068790091
"MSI3",-0.82268059323132
"NPL4",0.372800222788698
"CAALFM_C106120CA",0.173337824528597
