"","condition_YL30_vs_ctl"
"CAALFM_C100020CA",0.602686766412064
"CAALFM_C100030CA",-0.44601174830782
"CTA2",-2.42790248168127
"TUP1",-0.834141699239146
"MVD",-1.05323636960828
"RCA1",0.309521118055074
"CAALFM_C100090WA",-0.0734096402549345
"CAALFM_C100100CA",0.136638840313231
"CCT8",0.0651499959699201
"TRP1",0.376769132353641
"VPS53",-0.365209132716966
"KEL1",-0.632319055973925
"RIM8",0.501927813843111
"CAALFM_C100160CA",1.48037331403663
"LEU4",0.420360160244089
"RPL16A",0.067954267928266
"CAALFM_C100190CA",2.3900765414946
"CAALFM_C100200CA",-0.0351522106907638
"CAALFM_C100210CA",-0.430018962988024
"PHR2",0.866447677073466
"BFA1",0.0693014243588332
"tT(AGU)6",-0.338022555953598
"CAALFM_C100270WA",4.15050853210504
"RFC52",NA
"POL93",2.94700802799558
"CAALFM_C100310WA",-1.40355620787386
"CAALFM_C100320WA",-0.627551240196463
"CAALFM_C100330CA",0.0466198732144536
"HBR1",0.326030068429498
"HMX1",1.91837167216098
"CDC13",1.26389977490027
"CAALFM_C100370WA",-0.00457172752951678
"CAALFM_C100380CA",-0.31360955427465
"ENA2",-0.16464979761126
"SVF1",0.685903158148093
"CAALFM_C100410CA",-4.53089595027198
"CAALFM_C100420WA",-4.02920108839949
"CAALFM_C100430WA",-0.239857556687102
"UBP6",0.0806138556312596
"CAALFM_C100450CA",-0.927121075975272
"CAALFM_C100460WA",-0.699101706494324
"CAALFM_C100470CA",0.443831551943567
"GCN20",0.724109167301116
"TTR1",0.677280722767012
"GLO1",-2.48812117743581
"CAALFM_C100510WA",0.0921556485821606
"CAALFM_C100520WA",0.359767526885655
"CAALFM_C100530CA",-1.26830282033969
"CAALFM_C100540CA",0.939323788805039
"CIS2",0.354314459648147
"CNS1",0.743243436018266
"CAALFM_C100570CA",0.287752388004409
"CAALFM_C100580WA",-1.44201192577535
"TUF1",-0.401416323949852
"APC1",0.202017034351619
"PSD1",-0.064781327875095
"MOB2",0.532859135517916
"CAALFM_C100630WA",-0.651134190398979
"RPO41",0.761696968681138
"SNF7",0.289139239902125
"CAALFM_C100660CA",0.185867276752032
"UGA32",-2.44349314261922
"ASM3",0.57794124732796
"RIC1",-2.3282220975019
"CAALFM_C100700WA",-0.261470227656432
"TUB2",0.565640939177278
"tP(UGG)3",-0.921545556989322
"CMP1",-0.0623710242041619
"SPE1",0.452701366532944
"VPS27",-0.843367856648031
"CAALFM_C100760WA",-0.362142149384645
"ROT1",0.708091466064166
